Marcus Byrne,Molly Crockett,Steven Addis,Adam Davidson,Iraola,isPartial
0,0,16,16,47,False
0,0,0,31,26,False
0,0,0,19,19,False
15,0,0,30,30,False
0,0,0,19,22,False
13,0,13,26,26,False
0,0,0,0,36,False
0,13,0,32,38,False
0,0,0,0,31,False
0,0,0,20,40,False
0,0,0,24,32,False
0,22,0,22,33,False
0,0,10,29,26,False
0,10,0,15,24,False
0,0,0,13,28,False
0,0,0,0,45,False
0,0,0,21,20,False
0,0,8,17,31,False
0,0,0,13,29,False
8,0,0,22,19,False
8,0,0,8,30,False
0,7,0,14,26,False
7,0,0,14,35,False
0,7,0,9,19,False
6,0,0,6,14,False
0,6,0,13,31,False
0,0,5,5,38,False
6,0,6,8,27,False
5,5,5,7,37,False
0,0,0,9,34,False
6,0,0,11,37,False
0,0,0,7,26,False
0,0,0,17,26,False
0,5,0,9,24,False
4,4,4,9,17,False
0,0,5,11,32,False
4,8,0,14,30,False
4,4,4,15,39,False
4,0,0,11,34,False
4,0,0,6,20,False
3,0,0,10,17,False
7,7,0,5,25,False
0,3,0,11,28,False
3,0,0,6,27,False
3,0,3,9,35,False
0,0,3,6,24,False
0,0,4,3,23,False
3,0,0,6,31,False
5,3,0,7,24,False
3,0,3,9,26,False
2,0,0,13,31,False
2,0,2,7,29,False
2,2,0,11,34,False
0,2,0,9,29,False
0,2,2,6,20,False
0,2,2,6,33,False
0,3,2,9,37,False
2,2,2,10,36,False
0,2,0,10,35,False
2,0,0,10,38,False
5,2,0,9,37,False
4,2,0,11,37,False
2,2,2,10,26,False
2,2,2,8,29,False
0,0,0,23,29,False
0,0,0,6,36,False
2,2,0,6,25,False
2,0,2,9,28,False
2,2,0,8,38,False
2,2,0,7,36,False
5,0,2,7,37,False
2,0,0,6,31,False
2,1,0,5,43,False
1,2,0,4,29,False
1,0,1,8,25,False
0,1,1,6,28,False
1,0,0,7,27,False
3,0,0,7,31,False
1,1,3,6,29,False
3,0,1,7,29,False
2,1,1,4,37,False
1,1,1,6,31,False
1,1,1,7,46,False
2,1,0,6,36,False
1,1,1,7,30,False
1,1,1,4,37,False
1,1,0,4,48,False
1,0,2,7,30,False
1,0,0,7,41,False
2,2,0,7,38,False
2,1,1,7,28,False
1,1,0,8,51,False
3,1,1,5,33,False
2,1,0,4,30,False
1,1,1,6,30,False
1,0,0,5,25,False
2,1,1,12,30,False
1,2,0,16,30,False
1,1,0,12,58,False
2,0,0,8,32,False
2,1,1,10,42,False
1,1,0,8,31,False
1,2,1,10,24,False
2,1,1,9,28,False
2,2,0,8,34,False
1,1,0,7,26,False
1,1,0,11,23,False
1,8,2,10,29,False
1,6,2,10,27,False
1,3,1,9,26,False
2,1,1,12,24,False
1,1,1,7,25,False
1,3,0,9,23,False
2,1,2,9,23,False
1,2,1,7,27,False
1,6,1,9,26,False
2,2,1,8,26,False
2,1,1,8,26,False
1,1,0,8,26,False
1,1,1,9,23,False
1,2,0,9,26,False
1,4,0,10,27,False
1,1,1,10,30,False
1,1,1,10,20,False
1,2,1,10,22,False
1,1,1,10,22,False
1,1,0,7,26,False
1,1,1,5,35,False
1,1,0,9,36,False
1,1,0,11,27,False
2,3,0,7,29,False
2,1,1,7,22,False
3,1,1,7,26,False
1,1,1,8,27,False
1,1,1,11,41,False
1,1,1,9,45,False
2,2,1,9,100,False
2,1,0,9,45,False
1,1,1,8,52,False
1,1,0,9,37,False
1,1,1,10,31,False
1,1,0,7,23,False
1,0,0,8,27,False
2,1,1,8,25,False
2,1,0,12,28,False
2,2,1,10,21,False
2,1,0,11,25,False
1,1,1,10,22,False
2,1,0,9,34,False
2,1,1,9,29,False
1,1,1,6,30,False
1,1,1,9,19,False
1,1,1,14,25,False
1,1,0,10,26,False
2,1,1,7,30,False
1,2,0,7,23,False
0,1,0,5,17,False
1,1,1,8,21,False
1,1,0,17,21,False
1,1,1,7,21,False
1,1,1,7,26,False
1,1,0,7,19,False
1,1,0,7,20,False
1,1,0,14,18,False
1,1,0,6,16,False
1,2,0,8,19,False
1,2,0,6,16,False
2,1,0,9,15,False
1,1,0,7,19,False
1,1,0,10,17,False
1,1,0,8,18,False
1,2,0,27,16,False
1,1,0,12,17,False
1,1,0,13,16,False
1,1,1,10,16,False
0,1,0,14,20,False
1,1,0,22,22,False
1,1,0,23,22,False
1,2,1,12,19,False
0,1,1,12,20,False
1,1,0,10,15,False
1,2,0,10,20,False
0,1,0,11,16,False
0,1,1,7,20,False
1,1,0,12,21,False
0,1,0,6,17,False
1,1,0,4,20,False
0,1,0,6,19,False
1,1,0,10,18,False
0,1,0,8,17,False
0,1,1,9,17,False
1,1,0,5,18,False
1,1,0,10,28,False
3,1,0,9,56,False
0,1,0,10,25,False
1,0,0,23,18,False
1,1,1,14,15,False
1,1,1,11,18,False
0,1,0,8,36,False
1,1,0,9,27,False
1,1,0,8,22,False
1,1,0,9,19,True
