Angela Patton,Ellen Jorgensen,Cameron Russell,Richard Weller,Iraola,isPartial
0,0,0,5,16,False
5,0,5,5,9,False
7,0,13,7,7,False
5,0,7,5,10,False
0,0,9,4,7,False
0,0,7,4,9,False
0,0,5,5,12,False
4,0,6,9,13,False
0,4,6,6,11,False
0,0,4,4,13,False
4,0,0,4,11,False
4,0,6,8,11,False
0,0,5,0,9,False
4,0,3,0,8,False
0,0,6,3,10,False
3,0,3,8,15,False
3,3,7,3,7,False
0,0,6,3,11,False
0,0,9,3,10,False
3,0,8,4,7,False
0,3,6,3,10,False
0,2,0,3,9,False
0,0,2,2,12,False
0,0,5,4,6,False
0,0,8,0,5,False
2,0,7,4,11,False
2,0,4,2,13,False
0,0,6,3,9,False
0,0,7,9,13,False
2,0,7,3,11,False
2,0,4,2,13,False
2,0,4,2,9,False
2,0,8,3,9,False
0,0,5,2,8,False
3,0,8,1,6,False
2,0,4,3,11,False
0,1,3,1,10,False
0,0,6,4,13,False
1,1,3,1,11,False
0,0,3,1,7,False
1,0,6,3,6,False
0,1,4,2,8,False
2,0,2,2,9,False
1,0,4,2,9,False
1,0,5,1,12,False
1,0,4,1,8,False
1,0,5,1,8,False
1,0,6,1,10,False
1,2,4,1,8,False
1,0,5,2,9,False
1,0,3,2,10,False
1,0,4,1,10,False
2,0,2,2,12,False
1,0,4,1,10,False
1,1,3,2,7,False
1,0,3,2,11,False
1,0,4,2,13,False
1,0,4,1,12,False
1,0,3,1,12,False
1,0,4,1,13,False
1,0,3,1,13,False
1,0,4,1,13,False
1,0,3,2,9,False
1,0,4,1,10,False
0,0,4,1,10,False
1,0,6,1,12,False
1,0,2,2,9,False
1,0,3,1,9,False
1,0,2,2,13,False
1,0,2,1,12,False
1,0,3,1,13,False
1,0,3,2,11,False
1,0,3,1,15,False
1,0,4,1,10,False
0,0,4,1,8,False
0,0,6,1,10,False
0,0,4,1,9,False
1,0,5,1,11,False
0,0,3,1,10,False
1,0,3,1,10,False
0,0,4,1,13,False
0,0,4,1,11,False
1,0,4,0,16,False
1,0,2,2,12,False
0,0,4,1,10,False
1,0,3,1,13,False
1,0,3,1,16,False
1,0,5,1,10,False
2,1,5,1,14,False
1,0,4,1,13,False
1,0,5,1,9,False
2,0,5,1,17,False
2,0,6,1,11,False
1,0,3,1,10,False
1,1,6,1,10,False
2,0,5,1,8,False
2,0,6,1,10,False
2,0,5,1,10,False
2,0,5,1,20,False
1,1,5,1,11,False
1,0,4,1,14,False
1,0,5,1,11,False
1,0,5,1,8,False
1,0,3,1,10,False
1,0,4,1,11,False
1,0,5,1,9,False
1,0,9,0,8,False
1,0,14,1,10,False
2,1,54,1,9,False
1,1,100,1,9,False
1,0,21,1,8,False
1,0,21,1,8,False
2,0,22,1,8,False
13,0,15,1,8,False
3,0,15,1,9,False
3,0,15,1,9,False
1,0,14,1,9,False
2,0,16,1,9,False
1,0,17,1,9,False
1,0,18,0,8,False
1,0,19,1,9,False
1,0,14,1,9,False
1,0,15,1,10,False
1,0,28,1,7,False
1,0,13,1,8,False
2,0,9,1,8,False
1,0,13,1,9,False
1,0,14,1,12,False
1,1,12,1,12,False
1,1,12,1,9,False
0,0,13,1,10,False
1,0,19,0,8,False
1,0,13,1,9,False
1,0,14,0,9,False
2,0,11,1,14,False
0,0,13,1,15,False
0,0,12,1,34,False
1,0,8,1,15,False
1,0,8,1,18,False
1,0,8,0,13,False
0,0,9,1,10,False
1,0,9,0,8,False
0,0,13,0,9,False
0,0,12,1,9,False
1,0,23,1,9,False
1,0,13,0,7,False
1,0,9,0,8,False
1,0,13,1,8,False
2,0,13,0,11,False
1,0,10,1,10,False
1,0,8,1,10,False
0,0,6,1,7,False
1,0,6,1,8,False
0,0,8,1,9,False
1,0,6,0,10,False
1,0,11,1,8,False
1,0,9,1,6,False
1,1,11,1,7,False
0,0,8,1,7,False
0,0,7,0,7,False
1,0,6,1,9,False
0,0,6,1,6,False
0,0,5,0,7,False
1,0,7,1,6,False
0,0,8,1,5,False
1,0,13,1,6,False
1,0,8,1,6,False
0,0,11,0,5,False
1,0,13,1,6,False
0,0,8,1,6,False
0,0,5,1,6,False
0,0,6,1,6,False
0,0,5,1,6,False
0,0,5,0,5,False
0,0,5,0,5,False
1,0,6,1,7,False
1,0,5,1,7,False
1,0,7,1,8,False
0,1,6,1,6,False
1,0,5,0,7,False
0,0,5,1,5,False
0,0,4,1,7,False
0,0,5,1,5,False
0,0,4,1,7,False
0,0,5,1,7,False
1,0,4,1,6,False
1,0,10,0,7,False
1,0,4,1,6,False
1,0,7,0,6,False
0,0,8,0,6,False
1,0,7,1,6,False
1,0,6,1,6,False
1,0,7,1,10,False
0,0,5,1,19,False
1,0,4,1,8,False
1,0,5,0,6,False
0,0,6,1,5,False
1,0,4,1,6,False
1,0,4,0,12,False
0,0,4,1,9,False
0,0,4,1,7,False
0,1,6,0,7,True
