Emily Oster,Will Wright,David Bolinsky,Allison Hunt,Iraola,isPartial
0,9,0,4,6,False
0,16,0,4,13,False
0,16,0,5,8,False
0,15,0,0,8,False
0,9,0,3,8,False
0,7,0,4,7,False
0,7,0,0,7,False
0,7,0,3,14,False
0,18,0,5,7,False
0,12,0,3,6,False
0,5,0,0,3,False
3,10,0,0,4,False
3,13,0,3,6,False
6,11,0,3,8,False
2,52,0,2,6,False
0,10,0,3,8,False
5,100,0,2,5,False
5,51,0,2,8,False
5,19,0,2,7,False
0,10,0,0,4,False
3,22,0,2,8,False
2,20,0,2,8,False
2,23,0,2,6,False
4,19,0,4,7,False
2,15,0,2,5,False
2,16,0,2,6,False
2,77,0,3,10,False
2,24,0,2,6,False
1,32,0,2,10,False
2,24,0,2,10,False
2,16,0,2,9,False
1,18,0,1,6,False
2,12,0,1,7,False
2,19,0,2,6,False
3,15,0,1,7,False
2,24,0,2,7,False
4,22,0,1,6,False
1,21,0,1,7,False
4,22,0,3,7,False
2,14,0,2,7,False
1,12,1,2,8,False
1,12,0,1,7,False
4,18,1,1,8,False
2,15,2,2,7,False
2,12,0,2,9,False
2,17,1,1,6,False
2,13,1,1,7,False
2,12,1,2,7,False
1,16,1,2,7,False
2,21,1,1,6,False
1,16,1,2,7,False
2,20,1,1,7,False
3,15,1,1,8,False
2,21,0,1,5,False
1,18,0,2,4,False
1,19,1,1,9,False
1,40,1,2,10,False
1,21,0,1,9,False
2,10,0,1,10,False
1,14,0,1,9,False
1,10,1,2,7,False
2,12,1,1,7,False
1,10,0,0,7,False
2,21,0,1,9,False
1,13,1,1,8,False
1,13,0,1,9,False
1,12,0,2,8,False
1,10,0,1,9,False
1,8,1,1,11,False
1,10,1,1,9,False
1,9,0,1,11,False
1,10,0,0,10,False
1,10,0,2,10,False
0,11,1,1,6,False
1,12,0,1,8,False
1,8,0,1,7,False
1,10,1,1,7,False
0,9,0,1,9,False
1,11,0,1,6,False
1,10,1,1,7,False
1,9,1,1,8,False
0,8,0,0,9,False
1,8,0,0,13,False
0,10,0,1,10,False
0,9,0,1,9,False
0,9,0,1,12,False
1,12,1,1,12,False
0,11,0,1,10,False
0,8,0,1,11,False
0,9,0,1,9,False
1,9,0,1,7,False
1,11,0,1,10,False
0,9,0,1,10,False
1,11,0,1,8,False
0,12,0,1,7,False
0,11,0,0,7,False
0,12,0,1,8,False
0,8,0,0,9,False
0,12,0,1,14,False
0,9,0,1,9,False
0,11,0,1,14,False
0,10,0,1,6,False
0,10,0,1,7,False
0,12,0,1,7,False
1,9,0,1,8,False
0,10,0,1,6,False
0,9,0,0,7,False
0,10,0,1,7,False
1,10,0,1,7,False
1,10,0,1,7,False
1,14,0,1,6,False
1,10,0,1,6,False
0,9,0,1,6,False
1,9,0,0,6,False
1,11,0,1,6,False
7,8,1,1,8,False
3,9,0,1,8,False
2,9,0,1,7,False
1,9,0,1,7,False
1,10,0,1,7,False
1,9,0,1,7,False
1,9,0,1,8,False
2,9,0,1,8,False
2,8,0,1,7,False
1,9,0,0,7,False
1,8,0,0,7,False
1,9,0,1,7,False
1,10,0,1,9,False
1,10,0,1,10,False
1,9,0,1,8,False
1,7,0,0,8,False
1,7,0,0,6,False
1,8,0,1,7,False
1,8,0,1,7,False
1,11,0,1,10,False
1,8,0,1,12,False
1,9,0,1,27,False
0,8,0,1,13,False
1,7,0,0,14,False
1,8,0,1,11,False
1,7,0,0,7,False
1,8,0,0,7,False
1,6,0,0,7,False
1,8,0,1,6,False
1,8,0,1,7,False
1,7,0,1,5,False
1,8,0,1,6,False
1,10,0,0,5,False
0,8,0,1,8,False
1,8,0,1,8,False
0,7,0,1,8,False
1,8,0,1,5,False
0,8,0,1,6,False
1,8,0,0,8,False
0,8,0,1,9,False
1,8,0,0,7,False
1,8,0,1,5,False
1,7,0,1,5,False
1,7,0,1,5,False
1,8,0,1,5,False
1,8,0,1,6,False
1,8,0,1,5,False
0,8,0,0,5,False
1,6,0,1,5,False
1,7,0,0,5,False
1,8,0,1,5,False
1,7,0,1,5,False
0,7,0,1,3,False
1,8,0,1,5,False
1,8,0,1,5,False
1,8,0,1,5,False
1,8,0,0,4,False
1,7,0,1,5,False
1,7,0,1,5,False
1,7,0,1,5,False
1,7,0,0,5,False
1,7,0,0,6,False
0,7,0,1,6,False
1,6,0,1,6,False
1,8,0,1,5,False
1,8,0,1,4,False
1,8,0,1,5,False
1,8,0,0,4,False
4,7,0,1,5,False
6,8,0,1,5,False
4,7,0,1,5,False
4,7,0,1,6,False
3,7,0,1,5,False
2,7,0,1,5,False
2,7,0,1,4,False
2,8,0,1,5,False
2,7,0,1,5,False
3,8,0,1,8,False
2,8,0,1,14,False
2,8,0,1,6,False
2,10,0,1,4,False
5,10,0,1,5,False
5,8,0,1,4,False
6,7,0,1,9,False
4,9,0,0,8,False
3,9,0,1,6,False
7,8,0,1,5,True
