Malcolm London,Geoffrey Canada,Angela Lee Duckworth,Meg Jay,Iraola,isPartial
14,14,0,14,28,False
41,14,0,14,37,False
26,17,0,0,17,False
33,0,0,0,31,False
11,11,0,0,27,False
12,23,0,11,35,False
24,24,0,0,28,False
15,22,0,11,39,False
31,15,0,0,31,False
24,14,0,21,21,False
21,25,0,0,14,False
13,10,0,10,33,False
17,17,0,13,26,False
15,18,0,0,23,False
18,23,0,8,18,False
22,17,0,0,17,False
22,15,0,7,17,False
19,15,0,7,15,False
33,19,0,8,15,False
7,15,0,7,15,False
9,7,0,0,29,False
19,22,0,6,31,False
12,19,0,0,27,False
9,6,0,6,23,False
13,16,0,5,16,False
28,13,0,0,20,False
17,8,0,5,38,False
17,17,0,5,19,False
11,25,0,5,25,False
10,13,0,0,26,False
16,12,0,5,29,False
17,6,0,0,24,False
16,10,0,4,20,False
12,7,0,4,20,False
8,10,0,4,21,False
16,7,0,8,32,False
9,7,0,0,23,False
18,4,4,4,30,False
11,6,0,3,34,False
10,10,0,3,21,False
15,13,0,3,22,False
10,24,0,3,28,False
16,12,0,0,16,False
7,7,0,3,21,False
10,13,0,3,30,False
9,6,0,5,27,False
9,11,0,0,16,False
8,8,0,5,26,False
12,13,0,3,22,False
6,10,0,2,27,False
11,4,0,2,26,False
12,6,0,4,32,False
7,9,0,2,29,False
9,9,0,5,18,False
12,4,0,4,21,False
9,5,2,3,34,False
13,8,0,3,33,False
11,18,0,3,29,False
19,10,0,0,28,False
8,13,0,4,27,False
9,11,0,4,28,False
9,10,2,2,29,False
11,10,0,2,23,False
14,9,0,2,29,False
13,15,0,3,28,False
8,10,2,2,23,False
13,15,0,2,25,False
7,13,2,4,26,False
15,15,0,2,37,False
11,8,1,2,32,False
6,17,0,2,32,False
12,29,0,4,32,False
13,15,0,6,35,False
9,17,0,1,23,False
14,21,0,2,25,False
20,16,0,2,26,False
13,15,0,2,26,False
10,23,1,2,27,False
8,18,0,2,18,False
7,21,1,4,23,False
10,41,1,1,33,False
9,44,0,3,33,False
10,32,1,3,41,False
5,21,1,3,29,False
7,22,0,3,26,False
8,29,1,1,31,False
9,25,0,2,39,False
13,23,1,2,29,False
8,17,1,2,31,False
12,16,1,2,28,False
7,16,1,2,24,False
8,13,1,2,34,False
9,13,2,2,32,False
11,13,2,1,25,False
10,15,1,3,27,False
8,17,2,2,23,False
9,14,1,3,24,False
8,13,1,2,25,False
8,15,1,1,55,False
10,19,1,9,27,False
8,15,1,6,39,False
7,12,1,5,26,False
10,11,1,4,24,False
12,11,0,4,24,False
8,11,1,4,25,False
6,14,1,3,25,False
9,11,1,3,20,False
7,9,1,3,24,False
8,10,1,4,25,False
7,12,1,6,25,False
8,9,1,8,21,False
9,10,1,5,25,False
12,15,13,33,21,False
9,12,6,17,22,False
8,13,6,17,23,False
6,8,4,12,23,False
10,10,6,12,25,False
9,10,5,16,24,False
7,9,8,10,24,False
8,8,7,13,24,False
10,10,7,14,24,False
9,12,5,11,23,False
13,12,8,12,26,False
9,6,6,8,18,False
10,9,4,8,21,False
7,6,4,5,19,False
10,6,3,10,20,False
9,5,4,7,29,False
7,9,6,7,30,False
7,11,6,8,26,False
10,7,3,6,26,False
7,5,3,7,19,False
8,5,4,8,22,False
10,7,3,8,25,False
9,8,6,5,31,False
8,7,4,5,36,False
7,4,4,6,100,False
9,7,5,4,40,False
8,3,3,5,48,False
6,4,5,6,33,False
8,6,4,6,27,False
8,6,4,6,22,False
22,6,6,4,20,False
11,3,4,5,22,False
8,4,3,6,24,False
9,7,5,6,18,False
11,4,4,6,21,False
7,5,4,5,20,False
10,5,5,4,26,False
8,4,4,5,24,False
7,4,2,5,27,False
7,3,3,5,16,False
7,5,4,5,22,False
8,7,3,3,22,False
9,4,4,3,27,False
7,4,4,4,20,False
9,5,4,3,17,False
10,5,3,4,19,False
10,4,3,4,18,False
8,5,2,4,17,False
7,5,4,4,19,False
8,4,8,4,18,False
9,3,12,4,17,False
6,4,16,4,15,False
9,4,10,4,14,False
8,4,6,4,14,False
9,5,3,3,15,False
5,4,3,5,11,False
7,4,3,5,16,False
9,5,3,6,18,False
9,5,2,5,17,False
7,6,2,5,12,False
7,4,3,4,16,False
5,4,2,4,17,False
8,5,3,4,15,False
6,3,5,5,16,False
6,5,4,3,17,False
7,5,4,4,19,False
7,3,3,6,15,False
5,4,3,4,15,False
5,4,2,5,15,False
5,5,3,3,18,False
6,5,3,4,15,False
7,4,3,3,16,False
5,3,3,4,19,False
5,3,2,5,15,False
5,4,2,3,19,False
5,3,2,3,19,False
7,4,2,6,15,False
6,4,3,3,16,False
7,4,3,3,17,False
3,4,3,2,15,False
5,3,2,4,25,False
7,8,4,3,46,False
4,4,3,4,20,False
5,5,2,5,13,False
4,6,3,2,13,False
15,7,2,4,16,False
4,3,2,6,28,False
11,3,3,3,26,False
6,4,3,5,19,False
6,2,3,3,16,True
