Maria Bezaitis,Liu Bolin,Jay Silver,Sergey Brin,Iraola,isPartial
0,0,6,10,12,False
0,0,6,43,16,False
0,0,15,37,7,False
0,0,11,72,13,False
0,0,7,31,11,False
0,0,10,21,15,False
0,0,18,13,12,False
0,0,5,80,17,False
0,0,9,28,13,False
0,0,4,34,9,False
0,0,8,17,6,False
0,0,7,24,14,False
0,0,4,40,11,False
0,0,6,46,10,False
0,0,3,26,8,False
0,0,4,22,7,False
0,0,9,22,7,False
0,0,6,20,6,False
0,0,4,21,7,False
0,0,5,29,6,False
0,0,9,45,12,False
0,0,4,53,13,False
0,0,4,41,12,False
0,0,10,41,10,False
0,0,4,68,7,False
0,0,7,38,9,False
2,0,7,40,16,False
0,0,6,36,8,False
0,0,6,30,11,False
0,2,4,34,11,False
0,0,5,30,13,False
0,0,4,25,10,False
0,0,4,38,9,False
0,0,3,42,8,False
0,0,3,30,9,False
0,0,5,19,14,False
0,1,4,27,10,False
0,0,5,28,13,False
0,0,5,31,15,False
0,0,6,33,9,False
1,1,3,61,9,False
0,1,10,27,12,False
0,0,5,30,7,False
0,0,6,23,9,False
0,0,5,51,13,False
0,0,4,42,11,False
0,0,5,54,7,False
0,0,3,42,11,False
0,2,6,30,10,False
0,0,5,35,11,False
0,1,4,21,11,False
0,1,5,33,14,False
0,0,3,42,12,False
0,0,6,43,8,False
0,2,4,23,9,False
0,1,7,21,15,False
0,1,5,65,14,False
0,1,5,29,12,False
0,1,4,27,12,False
1,1,5,23,11,False
0,1,4,21,12,False
0,1,5,24,12,False
0,1,6,32,10,False
0,1,4,26,13,False
0,2,6,26,12,False
0,1,5,29,10,False
0,11,3,21,11,False
0,7,6,23,11,False
0,18,6,31,16,False
0,36,6,41,14,False
0,25,5,45,14,False
0,49,9,34,14,False
0,12,6,42,15,False
0,8,6,33,10,False
0,7,6,46,11,False
0,6,5,32,11,False
0,7,4,32,11,False
0,3,6,28,11,False
0,3,7,23,8,False
0,4,6,24,10,False
0,3,7,40,14,False
0,4,6,40,14,False
0,8,4,34,17,False
0,6,6,31,12,False
0,11,5,64,11,False
0,52,6,30,13,False
0,12,4,29,17,False
0,14,6,28,12,False
0,13,5,32,13,False
0,13,6,23,12,False
0,17,5,38,10,False
0,37,5,36,14,False
0,15,5,42,14,False
0,14,5,43,11,False
0,42,6,34,12,False
0,18,4,28,10,False
0,15,5,28,10,False
0,9,5,27,11,False
0,16,5,27,23,False
0,17,4,54,12,False
0,9,5,34,17,False
0,9,5,36,11,False
0,5,4,25,10,False
0,9,4,26,10,False
0,9,5,36,11,False
0,9,5,28,11,False
0,7,8,30,9,False
0,7,5,24,10,False
0,18,5,73,11,False
0,13,5,56,11,False
0,16,5,52,9,False
0,9,6,52,11,False
0,16,9,48,9,False
0,16,6,34,9,False
0,6,6,30,10,False
0,4,7,100,10,False
0,8,5,79,11,False
0,7,5,60,10,False
0,13,5,55,10,False
0,9,7,42,10,False
0,7,5,44,10,False
0,8,5,38,10,False
0,8,7,53,11,False
0,8,6,48,8,False
0,8,8,46,9,False
0,6,4,34,8,False
0,3,6,40,9,False
0,3,4,60,13,False
0,5,5,42,13,False
0,4,6,37,11,False
0,6,5,45,11,False
0,5,7,39,8,False
0,6,5,35,9,False
0,6,5,41,11,False
0,6,4,35,13,False
0,6,4,35,15,False
0,7,5,33,43,False
0,3,4,38,17,False
0,2,4,32,21,False
0,2,5,66,14,False
0,4,5,47,12,False
0,4,4,38,10,False
0,4,5,34,9,False
0,3,5,35,9,False
0,3,4,30,10,False
0,4,5,31,8,False
0,3,5,34,9,False
0,3,5,28,9,False
0,6,5,27,11,False
0,2,4,23,10,False
0,2,5,19,11,False
0,1,5,19,7,False
0,3,4,26,9,False
0,2,4,25,9,False
0,3,4,21,12,False
0,2,3,23,9,False
0,3,4,43,7,False
0,3,4,34,8,False
0,4,3,28,8,False
0,2,5,25,7,False
0,2,5,26,8,False
0,2,5,23,8,False
0,2,5,18,7,False
0,2,4,22,6,False
0,9,5,24,6,False
0,7,5,26,6,False
0,4,4,24,7,False
0,3,4,20,5,False
0,2,3,21,7,False
0,3,5,24,8,False
0,5,4,23,7,False
0,4,4,27,5,False
0,4,4,23,7,False
0,3,4,19,7,False
0,1,3,22,6,False
0,2,4,21,7,False
0,2,3,34,7,False
0,5,3,23,8,False
0,4,3,23,6,False
0,3,3,19,7,False
0,4,4,24,6,False
0,3,4,22,8,False
0,3,4,20,7,False
0,2,4,19,7,False
0,4,3,19,8,False
0,3,4,18,7,False
0,2,4,17,8,False
0,3,5,25,8,False
0,5,4,29,6,False
0,3,4,23,7,False
0,2,3,21,7,False
0,1,5,52,6,False
0,2,4,22,11,False
0,2,4,20,20,False
0,2,3,17,8,False
0,1,3,18,6,False
0,2,3,20,5,False
0,1,4,20,7,False
0,1,4,29,12,False
0,1,4,21,11,False
0,1,3,27,8,False
0,1,4,22,7,True
