Peter Singer,Phil Hansen,Judy MacDonald Johnston,Alastair Parvin,Iraola,isPartial
72,0,0,0,8,False
75,0,0,0,10,False
71,5,0,0,5,False
100,4,0,0,9,False
90,13,0,0,7,False
55,5,0,0,10,False
61,3,0,0,8,False
51,3,0,0,11,False
49,3,0,0,9,False
74,3,0,0,6,False
77,0,0,0,4,False
75,3,0,0,9,False
61,3,0,0,7,False
61,3,0,0,6,False
69,2,0,0,5,False
66,2,0,0,5,False
51,2,0,0,5,False
51,2,0,0,4,False
40,6,0,0,4,False
46,3,0,0,4,False
42,0,0,0,8,False
57,4,0,2,9,False
68,3,0,0,8,False
36,3,0,0,6,False
36,4,0,0,4,False
54,2,0,2,6,False
62,1,0,0,11,False
59,1,0,0,5,False
57,3,0,0,7,False
38,1,0,0,7,False
33,5,0,0,8,False
33,2,0,0,7,False
40,1,0,0,6,False
42,1,0,0,5,False
47,2,0,0,6,False
57,1,0,0,9,False
52,2,0,0,6,False
41,3,0,0,8,False
57,6,0,0,9,False
46,4,0,0,6,False
43,3,0,0,6,False
38,3,0,0,8,False
26,6,0,0,4,False
28,22,0,0,6,False
34,8,0,0,8,False
35,5,0,0,7,False
38,6,0,0,4,False
35,4,0,0,7,False
32,4,0,0,6,False
39,3,0,0,7,False
38,2,0,0,7,False
45,3,0,0,9,False
45,3,0,0,8,False
31,4,0,0,5,False
32,4,0,0,6,False
26,3,0,0,9,False
33,3,0,0,9,False
37,2,0,0,8,False
40,3,0,0,8,False
32,4,0,1,7,False
31,5,0,0,8,False
35,5,0,0,8,False
55,3,0,0,6,False
52,4,0,0,8,False
43,3,0,0,8,False
29,3,0,0,6,False
34,4,0,0,7,False
39,3,0,0,7,False
33,2,0,0,10,False
38,4,0,1,9,False
42,3,0,0,9,False
38,3,0,0,9,False
31,3,0,0,10,False
34,14,0,0,6,False
41,6,0,0,7,False
45,6,0,0,7,False
39,5,0,0,7,False
33,5,0,0,7,False
28,5,0,0,5,False
28,3,0,0,6,False
29,4,0,0,9,False
31,3,0,0,9,False
35,3,0,0,11,False
29,2,0,0,8,False
24,3,0,0,7,False
28,2,0,0,9,False
34,2,0,0,11,False
35,3,0,0,8,False
32,2,0,0,9,False
30,3,0,0,8,False
25,2,0,0,7,False
27,2,0,0,9,False
27,2,0,0,9,False
33,2,0,0,7,False
33,1,0,0,7,False
28,1,0,0,6,False
25,2,0,0,7,False
28,2,0,0,7,False
33,2,0,0,15,False
32,2,0,0,8,False
29,1,0,0,11,False
27,3,0,0,7,False
20,3,0,0,7,False
20,2,0,0,7,False
26,2,0,0,7,False
27,3,0,0,7,False
29,3,0,0,6,False
28,1,0,0,7,False
23,2,0,0,7,False
28,2,0,0,7,False
26,2,0,1,6,False
30,2,0,0,7,False
30,4,0,1,6,False
25,3,0,1,6,False
17,2,0,0,6,False
22,2,0,0,6,False
22,3,0,0,7,False
30,2,0,0,7,False
28,2,0,0,7,False
28,1,0,1,7,False
25,3,0,0,7,False
25,4,0,0,6,False
28,2,0,0,7,False
27,2,0,0,5,False
26,6,0,0,6,False
22,4,0,0,5,False
18,2,0,0,6,False
18,3,0,0,8,False
21,5,0,0,8,False
25,2,0,0,7,False
26,1,0,0,7,False
23,2,0,0,5,False
19,2,0,0,6,False
24,6,0,0,7,False
26,2,0,0,9,False
30,2,0,0,10,False
38,1,0,0,28,False
26,1,0,0,11,False
20,1,0,0,13,False
23,1,0,0,9,False
23,1,0,0,8,False
27,1,0,0,6,False
25,2,0,0,6,False
24,2,0,0,6,False
21,1,0,0,7,False
24,1,0,0,5,False
24,2,0,0,6,False
26,1,0,0,6,False
24,1,0,0,7,False
23,1,0,0,7,False
19,1,0,0,7,False
19,1,0,0,4,False
23,1,0,0,6,False
30,1,0,0,6,False
26,1,0,0,7,False
22,1,0,0,6,False
23,1,0,0,5,False
25,1,0,0,5,False
26,1,0,0,5,False
27,1,0,0,5,False
26,1,0,0,5,False
21,1,0,0,5,False
18,1,0,0,5,False
18,1,0,0,4,False
21,1,0,0,4,False
23,1,0,0,4,False
24,1,0,0,4,False
20,1,0,0,3,False
21,1,0,0,4,False
21,1,0,0,5,False
22,1,0,0,5,False
21,1,0,0,3,False
25,1,0,0,4,False
19,1,0,0,5,False
15,1,0,0,4,False
15,1,0,0,5,False
19,1,0,0,5,False
19,1,0,0,5,False
22,1,0,0,4,False
19,1,0,0,4,False
19,1,0,0,4,False
22,1,0,0,5,False
21,1,0,0,4,False
20,1,0,0,5,False
21,1,0,0,5,False
18,1,0,0,4,False
15,1,0,0,5,False
14,1,0,0,5,False
17,1,0,0,4,False
20,1,0,0,4,False
19,1,0,0,5,False
21,1,0,0,4,False
21,1,0,0,7,False
22,1,0,0,13,False
20,1,0,0,5,False
23,1,0,0,4,False
21,1,0,0,4,False
21,1,0,0,4,False
16,1,0,0,8,False
15,1,0,0,7,False
19,1,0,0,5,False
18,1,0,0,5,True
