Chris Abani,Vusi Mahlasela,Jeff Skoll,Erin McKean,Iraola,isPartial
0,10,10,0,15,False
10,0,10,0,29,False
0,0,24,0,18,False
0,9,19,0,19,False
8,16,8,0,19,False
8,8,16,0,16,False
0,8,8,0,17,False
0,0,10,0,31,False
7,7,7,0,17,False
7,15,0,0,15,False
7,0,7,0,7,False
7,7,21,0,10,False
6,6,8,0,14,False
13,10,10,0,19,False
5,16,9,5,14,False
12,8,12,0,18,False
0,5,10,5,12,False
8,5,100,0,17,False
5,5,8,5,16,False
5,5,8,0,10,False
11,5,9,5,19,False
7,6,20,0,18,False
4,9,13,0,13,False
0,0,45,4,17,False
6,0,18,4,11,False
4,8,14,4,13,False
3,9,11,3,22,False
7,4,7,4,13,False
10,3,34,3,22,False
3,5,7,4,22,False
7,7,10,3,21,False
3,7,31,3,14,False
3,5,6,0,15,False
4,7,8,0,14,False
3,5,8,3,16,False
3,3,10,3,16,False
6,6,11,7,14,False
3,3,6,3,16,False
3,6,6,2,17,False
4,7,6,2,16,False
3,7,6,2,19,False
2,3,6,2,16,False
2,4,8,3,18,False
4,6,4,3,16,False
2,5,10,5,20,False
3,3,3,3,13,False
4,7,2,4,17,False
4,4,5,2,17,False
2,5,3,2,15,False
3,5,7,3,13,False
4,4,4,1,16,False
3,3,4,2,17,False
4,3,5,3,18,False
5,3,3,0,12,False
5,1,7,2,10,False
6,7,3,2,22,False
7,5,3,1,22,False
10,2,4,0,20,False
2,3,4,2,22,False
4,2,3,2,20,False
2,4,4,2,17,False
3,6,4,2,17,False
3,3,3,1,17,False
5,5,5,2,22,False
2,1,2,2,19,False
3,2,4,2,20,False
3,3,3,1,19,False
3,5,4,1,22,False
3,2,4,1,25,False
3,3,5,2,20,False
4,3,4,1,24,False
3,3,5,2,22,False
2,3,4,1,22,False
2,5,5,2,15,False
5,3,4,2,19,False
3,3,4,2,17,False
4,4,4,2,16,False
2,38,4,2,20,False
1,12,3,2,13,False
2,5,8,1,16,False
3,2,7,2,17,False
2,3,4,1,21,False
3,6,3,1,29,False
2,4,5,1,23,False
2,8,2,1,21,False
2,6,3,3,28,False
2,2,3,1,26,False
4,3,4,1,22,False
2,5,3,1,25,False
2,4,2,1,21,False
3,4,3,1,16,False
2,2,2,1,23,False
3,4,2,1,23,False
3,2,3,1,19,False
4,3,2,1,17,False
3,3,2,1,15,False
1,2,2,1,18,False
2,3,3,1,22,False
2,5,2,1,32,False
3,3,3,1,21,False
2,5,5,1,32,False
3,2,2,1,15,False
2,2,3,1,15,False
2,2,2,1,17,False
2,2,4,1,18,False
3,2,2,0,15,False
2,2,3,1,16,False
2,2,2,1,17,False
2,3,2,1,16,False
2,5,1,1,16,False
2,1,3,1,13,False
3,3,3,1,14,False
2,2,2,1,15,False
2,2,3,1,15,False
2,3,2,1,15,False
2,2,2,1,18,False
2,2,3,0,18,False
2,4,2,0,15,False
2,3,3,0,16,False
3,6,2,1,16,False
3,2,14,1,16,False
3,1,3,0,18,False
3,2,3,1,18,False
2,2,3,0,15,False
2,3,2,0,17,False
2,2,2,1,15,False
2,2,2,1,16,False
1,2,2,0,21,False
3,2,3,0,23,False
2,3,2,0,18,False
2,3,2,1,18,False
1,1,2,1,14,False
2,2,2,1,16,False
2,4,3,2,17,False
2,2,3,1,22,False
2,2,3,0,29,False
2,2,2,0,62,False
1,1,1,1,29,False
1,2,2,1,31,False
1,4,1,1,24,False
2,2,2,1,17,False
1,2,1,1,16,False
2,2,3,1,15,False
1,2,2,1,14,False
1,1,2,1,16,False
2,2,3,1,12,False
1,2,2,0,15,False
3,4,2,0,13,False
1,3,1,1,18,False
1,2,2,1,18,False
1,3,2,1,18,False
1,2,1,0,13,False
2,2,2,1,13,False
1,3,1,1,18,False
1,2,1,0,20,False
1,3,1,1,17,False
1,2,2,0,11,False
2,2,1,1,13,False
1,3,1,0,12,False
2,2,2,1,12,False
1,1,2,0,14,False
1,1,1,0,12,False
1,3,1,1,11,False
1,3,2,0,12,False
1,1,1,0,11,False
1,2,1,1,12,False
1,1,1,1,11,False
1,1,1,0,8,False
1,2,1,0,11,False
1,1,1,0,12,False
1,2,1,1,10,False
1,2,2,0,9,False
1,1,1,0,12,False
1,2,1,1,11,False
1,1,1,1,11,False
1,2,1,0,12,False
1,2,1,1,13,False
1,3,2,0,13,False
1,1,2,1,13,False
0,2,1,0,12,False
1,1,2,0,10,False
1,1,1,0,12,False
1,1,2,0,10,False
1,1,1,0,11,False
1,2,1,0,10,False
1,1,1,1,11,False
0,1,1,0,14,False
0,2,1,0,12,False
1,1,1,0,12,False
1,1,1,0,10,False
0,1,1,0,11,False
0,3,0,0,11,False
1,2,1,0,18,False
1,1,2,0,33,False
0,1,2,0,13,False
1,2,2,1,10,False
0,1,1,0,10,False
1,1,2,0,9,False
1,1,0,0,21,False
1,2,1,1,18,False
1,1,1,0,14,False
1,1,1,0,12,True
