Andrew Solomon,Alex Laskey,Anas Aremeyaw Anas,Denise Herzing,Iraola,isPartial
14,0,0,0,28,False
14,14,0,0,37,False
26,0,0,0,17,False
18,0,0,0,31,False
23,0,0,0,27,False
17,0,0,0,35,False
18,0,0,0,28,False
22,11,0,0,39,False
26,0,0,0,31,False
32,0,0,0,21,False
21,0,0,0,14,False
19,0,0,0,33,False
23,0,0,0,26,False
21,0,0,0,23,False
30,0,0,0,18,False
23,0,0,0,17,False
19,0,0,7,17,False
8,0,0,0,15,False
23,0,0,0,15,False
15,0,0,7,15,False
13,0,0,0,29,False
10,0,0,0,31,False
31,0,0,0,27,False
10,6,0,0,23,False
22,0,0,0,16,False
25,6,0,0,20,False
10,0,0,0,38,False
15,5,0,0,19,False
19,5,0,0,25,False
8,0,0,0,26,False
10,0,0,0,29,False
14,5,0,5,24,False
7,0,0,0,20,False
25,0,0,0,20,False
12,0,0,0,21,False
11,0,0,0,32,False
12,3,0,0,23,False
6,0,0,0,30,False
12,0,0,0,34,False
10,3,0,0,21,False
12,0,0,0,22,False
7,0,0,3,28,False
15,0,0,0,16,False
11,0,0,0,21,False
9,0,0,0,30,False
11,2,0,0,27,False
6,0,0,0,16,False
5,0,0,0,26,False
7,2,0,0,22,False
10,2,0,0,27,False
11,0,0,0,26,False
10,0,0,0,32,False
8,0,0,0,29,False
6,0,0,0,18,False
6,0,0,0,21,False
8,0,0,0,34,False
8,2,2,0,33,False
10,0,0,0,29,False
5,0,0,0,28,False
5,0,2,0,27,False
7,0,2,2,28,False
10,0,0,2,29,False
9,0,2,0,23,False
7,2,0,0,29,False
8,2,3,0,28,False
4,0,0,0,23,False
9,3,3,0,25,False
3,2,0,0,26,False
5,0,0,0,37,False
8,0,0,0,32,False
7,1,0,0,32,False
4,0,1,0,32,False
6,1,0,0,35,False
8,0,1,0,23,False
7,0,0,1,25,False
6,0,4,0,26,False
9,0,2,0,26,False
7,0,1,0,27,False
10,0,1,1,18,False
7,0,0,0,23,False
10,0,3,1,33,False
6,1,0,1,33,False
7,3,2,1,41,False
5,0,0,0,29,False
7,0,1,0,26,False
11,1,12,1,31,False
5,1,3,2,39,False
6,1,1,0,29,False
6,1,1,1,31,False
9,0,1,1,28,False
5,0,1,2,24,False
4,0,0,2,34,False
5,0,1,1,32,False
5,1,1,1,25,False
7,1,4,0,27,False
5,1,4,0,23,False
6,1,4,0,24,False
6,0,2,1,25,False
7,1,1,0,55,False
6,1,1,0,27,False
10,1,2,1,39,False
6,1,1,0,26,False
3,1,2,0,24,False
14,1,1,1,24,False
7,1,15,1,25,False
5,1,2,1,25,False
57,1,2,2,20,False
28,1,2,1,24,False
22,0,4,1,25,False
49,1,1,0,25,False
15,1,1,1,21,False
16,1,1,1,25,False
10,1,1,0,21,False
33,3,8,1,22,False
19,1,2,1,23,False
16,1,3,1,23,False
13,2,2,1,25,False
20,1,1,1,24,False
18,1,2,1,24,False
30,1,1,1,24,False
40,2,2,1,24,False
25,1,1,1,23,False
54,0,2,0,26,False
26,1,4,1,18,False
51,1,2,0,21,False
33,1,1,1,19,False
27,1,2,1,20,False
38,1,1,1,29,False
22,1,2,1,30,False
27,1,2,1,26,False
19,1,1,1,26,False
19,0,2,0,19,False
21,1,1,0,22,False
25,1,4,1,25,False
21,1,2,0,31,False
21,0,2,0,36,False
24,1,2,1,100,False
29,0,1,1,40,False
17,0,2,1,48,False
29,0,2,1,33,False
15,1,81,1,27,False
20,1,21,0,22,False
22,0,12,1,20,False
15,1,5,1,22,False
15,0,3,0,24,False
18,1,2,1,18,False
23,0,2,0,21,False
22,1,3,0,20,False
16,1,2,0,26,False
23,0,2,0,24,False
21,0,1,0,27,False
14,0,2,0,16,False
14,0,2,0,22,False
18,1,2,1,22,False
14,0,2,0,27,False
18,1,2,0,20,False
16,0,1,0,17,False
21,0,1,0,19,False
15,0,2,0,18,False
15,1,2,1,17,False
13,1,1,1,19,False
11,0,1,0,18,False
10,1,1,0,17,False
11,1,1,0,15,False
11,0,1,0,14,False
15,1,1,1,14,False
12,0,1,1,15,False
11,0,1,0,11,False
15,0,3,0,16,False
13,1,3,0,18,False
13,1,2,1,17,False
14,0,1,1,12,False
12,0,26,0,16,False
13,0,73,0,17,False
15,0,12,0,15,False
19,1,6,0,16,False
11,0,4,1,17,False
10,0,2,0,19,False
12,0,3,0,15,False
11,0,2,0,15,False
12,0,15,0,15,False
13,0,7,0,18,False
10,0,4,0,15,False
13,1,3,0,16,False
12,1,2,1,19,False
11,0,2,0,15,False
11,0,2,1,19,False
11,0,1,1,19,False
16,0,1,0,15,False
13,0,2,0,16,False
12,0,4,0,17,False
11,0,3,0,15,False
11,0,1,0,25,False
11,0,1,0,46,False
10,0,2,0,20,False
11,1,1,0,13,False
12,0,2,0,13,False
11,0,6,0,16,False
8,1,2,0,28,False
12,1,2,0,26,False
11,0,0,0,19,False
7,0,1,0,16,True
