Michael Green,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",Jack Andraka,Al Vernacchio,Iraola,isPartial
31,0,0,0,4,False
30,0,0,0,5,False
39,0,0,0,3,False
37,0,0,0,5,False
37,0,0,0,4,False
29,0,0,0,5,False
78,0,0,0,4,False
41,0,0,0,6,False
33,0,0,0,5,False
70,0,0,0,3,False
39,0,0,0,2,False
33,0,0,0,5,False
38,0,0,0,4,False
42,0,0,0,3,False
39,0,0,0,3,False
34,0,0,0,2,False
39,0,0,0,3,False
40,0,0,0,2,False
37,0,0,0,2,False
41,0,0,0,2,False
34,0,0,0,4,False
39,0,0,0,5,False
31,0,0,0,4,False
35,0,0,0,3,False
37,0,0,0,2,False
34,0,0,0,3,False
32,0,0,0,6,False
33,0,1,0,3,False
26,0,0,0,4,False
32,0,0,0,4,False
26,0,0,0,4,False
27,0,0,0,4,False
29,0,0,0,3,False
23,0,0,0,3,False
28,0,0,0,3,False
25,0,0,0,5,False
26,0,0,0,3,False
22,0,0,0,4,False
27,0,0,0,5,False
25,0,0,0,3,False
25,0,0,0,3,False
26,0,0,0,4,False
26,0,0,0,2,False
26,0,0,0,3,False
26,0,0,0,4,False
27,0,0,0,4,False
24,0,0,0,2,False
26,0,0,0,4,False
27,0,0,0,3,False
29,0,0,0,4,False
27,0,0,0,4,False
26,0,0,0,5,False
26,0,0,0,4,False
24,0,0,0,3,False
26,0,0,0,3,False
28,0,0,0,5,False
27,0,0,0,5,False
24,0,0,0,4,False
25,0,0,0,4,False
23,0,0,0,4,False
23,0,0,0,4,False
29,0,0,0,4,False
25,0,0,0,3,False
26,0,0,0,4,False
24,0,0,0,4,False
40,0,0,0,3,False
48,0,0,0,4,False
37,0,0,0,4,False
35,0,0,0,5,False
34,0,0,0,5,False
36,0,0,0,5,False
34,0,0,0,5,False
33,0,0,0,5,False
32,0,0,0,3,False
31,0,0,0,4,False
31,0,0,0,4,False
28,0,0,0,4,False
30,0,0,0,4,False
29,0,0,0,3,False
28,0,0,0,3,False
28,0,0,0,5,False
28,0,0,0,5,False
28,0,0,0,6,False
30,0,0,0,4,False
36,0,0,0,4,False
29,0,0,0,5,False
26,0,0,0,6,False
27,0,0,0,4,False
26,0,0,0,5,False
28,0,0,0,4,False
26,0,0,0,3,False
26,0,0,0,5,False
27,0,0,0,5,False
28,0,0,0,4,False
24,0,0,0,4,False
26,0,0,0,3,False
31,0,0,0,3,False
24,0,0,0,4,False
25,0,0,0,8,False
27,0,0,0,4,False
26,0,6,0,6,False
24,0,4,0,4,False
29,0,1,0,4,False
32,0,6,0,3,False
100,0,3,0,4,False
31,0,1,0,4,False
31,0,1,0,3,False
33,0,2,0,4,False
33,0,3,0,4,False
31,0,56,0,4,False
30,0,12,0,3,False
29,0,6,0,4,False
28,0,18,0,3,False
30,0,5,0,3,False
28,0,7,0,3,False
30,0,7,0,3,False
29,0,7,0,4,False
29,0,16,0,4,False
27,0,18,0,4,False
32,0,23,0,4,False
33,0,11,0,3,False
27,0,11,0,3,False
28,0,4,0,4,False
30,0,6,0,3,False
29,0,5,0,3,False
30,0,3,0,3,False
30,0,3,0,3,False
29,0,2,0,4,False
27,0,2,0,4,False
28,0,2,0,4,False
29,0,2,0,4,False
28,0,2,0,3,False
29,0,2,0,3,False
29,0,2,0,4,False
28,0,2,0,5,False
27,0,2,0,5,False
25,0,3,0,15,False
26,0,5,0,6,False
25,0,2,0,7,False
26,0,2,0,5,False
26,0,4,0,4,False
27,0,4,0,3,False
27,0,2,0,3,False
29,0,1,0,3,False
27,0,3,0,4,False
28,0,2,0,3,False
26,0,1,0,3,False
29,0,1,0,3,False
26,0,3,0,4,False
27,0,1,0,4,False
25,0,1,0,4,False
30,0,1,0,2,False
24,0,2,0,3,False
26,0,1,0,3,False
34,0,1,0,4,False
32,0,1,0,3,False
28,0,1,0,3,False
26,0,1,0,3,False
23,0,2,0,3,False
23,0,2,0,3,False
23,0,1,0,3,False
23,0,1,0,3,False
25,0,1,0,2,False
23,0,1,0,2,False
22,0,1,0,2,False
24,0,1,0,2,False
28,0,1,0,2,False
29,0,1,0,2,False
24,0,1,0,2,False
25,0,1,0,3,False
25,0,1,0,3,False
23,0,1,0,2,False
23,0,1,0,2,False
21,0,1,0,2,False
22,0,0,0,2,False
23,0,1,0,2,False
21,0,1,0,2,False
26,0,1,0,3,False
26,0,1,0,2,False
24,0,1,0,2,False
25,0,1,0,2,False
27,0,1,0,3,False
24,0,1,0,2,False
20,0,1,0,2,False
20,0,1,0,3,False
19,0,1,0,2,False
19,0,0,0,3,False
19,0,1,0,3,False
22,0,1,0,2,False
20,0,1,0,2,False
24,0,1,0,2,False
22,0,1,0,2,False
23,0,1,0,4,False
23,0,1,0,7,False
18,0,1,0,3,False
22,0,0,0,2,False
26,0,0,0,2,False
21,0,0,0,2,False
25,0,0,0,4,False
22,0,0,0,4,False
24,0,1,0,3,False
23,0,0,0,2,True
