Tom Thum,John Searle,Kate Stone,Roberto D'Angelo + Francesca Fedeli,Iraola,isPartial
0,61,33,0,28,False
0,42,28,0,37,False
17,34,26,0,17,False
13,76,18,0,31,False
12,61,84,0,27,False
0,46,42,0,35,False
0,24,48,0,28,False
11,26,63,0,39,False
0,26,31,0,31,False
10,25,49,0,21,False
11,32,46,0,14,False
10,36,49,0,33,False
9,34,31,0,26,False
9,63,45,9,23,False
8,20,40,0,18,False
14,68,28,0,17,False
7,64,40,7,17,False
0,26,38,0,15,False
15,33,41,0,15,False
0,27,54,7,15,False
13,53,31,0,29,False
9,56,38,6,31,False
12,48,52,0,27,False
9,39,37,0,23,False
5,34,43,0,16,False
6,33,54,0,20,False
7,38,57,0,38,False
10,29,39,0,19,False
5,25,23,0,25,False
5,23,28,0,26,False
10,20,36,0,29,False
9,32,33,0,24,False
4,31,41,4,20,False
6,25,53,0,20,False
11,33,26,4,21,False
4,24,28,0,32,False
3,36,35,3,23,False
11,24,33,0,30,False
8,25,30,3,34,False
3,43,26,0,21,False
3,24,24,0,22,False
3,32,34,0,28,False
3,18,37,3,16,False
3,17,28,0,21,False
3,21,43,0,30,False
5,28,28,0,27,False
6,24,28,2,16,False
4,11,32,0,26,False
4,18,33,0,22,False
5,19,36,2,27,False
9,24,34,0,26,False
2,23,33,0,32,False
7,17,34,2,29,False
5,26,42,3,18,False
4,17,35,2,21,False
2,15,27,2,34,False
5,18,30,4,33,False
7,26,28,3,29,False
2,26,29,0,28,False
4,19,34,0,27,False
3,20,38,0,28,False
2,21,48,2,29,False
2,22,45,2,23,False
4,22,38,3,29,False
2,21,41,2,28,False
2,22,44,0,23,False
3,11,37,2,25,False
3,19,39,2,26,False
4,19,35,1,37,False
4,23,38,0,32,False
3,25,30,1,32,False
3,21,34,1,32,False
4,21,34,0,35,False
3,21,41,1,23,False
1,20,36,2,25,False
3,28,37,2,26,False
2,25,41,1,26,False
4,20,32,1,27,False
3,14,36,0,18,False
2,17,45,0,23,False
3,20,50,2,33,False
2,18,31,2,33,False
3,20,37,2,41,False
3,23,41,2,29,False
3,21,39,1,26,False
5,18,38,1,31,False
3,19,36,1,39,False
3,24,72,1,29,False
3,20,63,1,31,False
3,18,37,1,28,False
3,15,56,1,24,False
3,16,67,0,34,False
1,18,46,1,32,False
2,23,32,0,25,False
3,21,41,2,27,False
2,14,50,2,23,False
3,14,53,1,24,False
2,19,69,1,25,False
3,16,47,1,55,False
2,18,48,1,27,False
2,22,47,1,39,False
2,19,63,1,26,False
2,10,77,1,24,False
6,17,55,1,24,False
4,16,89,0,25,False
2,19,47,1,25,False
1,18,51,1,20,False
1,16,72,1,24,False
2,14,60,0,25,False
4,18,60,0,25,False
1,17,56,1,21,False
1,16,73,1,25,False
4,18,52,1,21,False
2,13,50,0,22,False
87,21,82,1,23,False
30,13,61,1,23,False
20,10,46,1,25,False
22,16,43,1,24,False
22,19,38,1,24,False
19,15,48,1,24,False
20,14,59,2,24,False
19,11,68,1,23,False
20,16,54,1,26,False
19,12,64,0,18,False
23,13,85,1,21,False
19,12,65,1,19,False
20,13,60,1,20,False
23,14,54,1,29,False
22,16,72,1,30,False
21,15,41,1,26,False
19,13,40,1,26,False
22,12,48,1,19,False
19,13,62,1,22,False
20,15,55,2,25,False
19,12,46,1,31,False
24,14,52,1,36,False
15,13,54,1,100,False
13,11,51,0,40,False
19,9,49,1,48,False
20,11,47,1,33,False
22,12,46,0,27,False
19,12,38,1,22,False
14,14,41,1,20,False
12,11,47,1,22,False
12,12,67,1,24,False
15,14,42,1,18,False
19,13,44,1,21,False
17,14,41,1,20,False
14,13,36,1,26,False
12,9,37,1,24,False
10,9,34,1,27,False
10,13,28,0,16,False
13,10,32,1,22,False
14,11,29,0,22,False
13,24,32,0,27,False
11,9,43,1,20,False
14,11,43,1,17,False
12,9,51,1,19,False
13,31,35,1,18,False
9,20,30,1,17,False
8,15,31,0,19,False
9,11,32,1,18,False
10,9,28,1,17,False
8,9,32,0,15,False
9,13,30,1,14,False
6,14,34,1,14,False
6,12,32,1,15,False
6,10,31,1,11,False
5,9,31,1,16,False
5,12,29,1,18,False
6,10,25,1,17,False
7,13,28,1,12,False
4,9,32,1,16,False
7,10,36,0,17,False
5,11,25,1,15,False
4,7,38,1,16,False
5,12,31,1,17,False
7,12,27,1,19,False
5,10,28,1,15,False
5,10,34,1,15,False
6,9,35,0,15,False
5,8,26,1,18,False
8,12,24,0,15,False
5,10,32,1,16,False
5,8,28,0,19,False
4,10,29,1,15,False
3,7,27,1,19,False
5,8,27,1,19,False
5,9,24,0,15,False
5,8,24,0,16,False
6,9,22,2,17,False
4,7,22,1,15,False
4,6,24,1,25,False
6,6,24,0,46,False
3,7,17,1,20,False
4,10,23,0,13,False
4,9,24,0,13,False
6,8,19,1,16,False
4,7,20,0,28,False
4,6,22,0,26,False
4,5,18,0,19,False
4,7,24,1,16,True
