Adam Spencer,Kelly McGonigal,Chrystia Freeland,Alexa Meade,Iraola,isPartial
21,0,0,0,10,False
41,0,0,0,31,False
13,0,0,0,13,False
20,0,10,0,29,False
30,0,0,0,21,False
29,0,0,0,29,False
27,0,9,0,18,False
16,0,0,0,41,False
15,0,0,0,23,False
31,0,8,0,8,False
15,0,8,0,8,False
25,0,0,0,25,False
22,0,0,0,16,False
13,0,0,0,16,False
14,0,0,0,8,False
18,0,0,0,12,False
19,0,5,0,16,False
25,0,0,0,11,False
22,0,0,0,14,False
16,0,5,0,5,False
10,0,0,0,19,False
14,0,0,0,27,False
14,0,0,0,27,False
7,5,4,0,16,False
10,4,0,0,10,False
10,4,0,0,14,False
28,0,3,0,28,False
11,0,4,0,13,False
12,0,0,0,22,False
9,0,0,0,14,False
14,0,0,0,20,False
15,0,0,0,15,False
11,0,5,0,13,False
10,0,3,0,12,False
11,3,0,0,17,False
15,0,3,0,28,False
29,0,3,0,20,False
9,0,0,0,27,False
17,0,2,0,24,False
12,0,0,0,12,False
18,0,2,0,17,False
15,0,2,0,17,False
13,0,2,0,8,False
11,0,2,0,16,False
17,0,0,0,20,False
12,2,2,0,23,False
12,0,4,0,12,False
6,2,2,0,20,False
14,0,3,0,15,False
12,0,0,0,21,False
9,0,2,0,16,False
9,0,3,0,25,False
8,3,3,0,18,False
9,0,3,0,12,False
9,0,2,0,15,False
8,2,12,0,29,False
11,0,7,0,25,False
9,0,3,0,23,False
10,0,2,0,22,False
11,0,3,0,22,False
13,0,1,0,20,False
8,0,9,0,21,False
8,0,2,0,20,False
14,1,5,0,21,False
12,1,3,0,22,False
12,0,2,0,16,False
12,0,3,0,19,False
13,2,0,0,21,False
10,2,0,0,28,False
15,1,2,0,25,False
7,0,2,0,24,False
11,1,3,0,23,False
5,1,3,0,27,False
14,1,6,0,17,False
8,2,5,15,15,False
12,2,2,18,20,False
14,1,3,4,21,False
12,0,2,10,20,False
8,1,2,3,13,False
12,1,3,7,18,False
10,0,2,8,22,False
11,1,3,6,23,False
16,1,3,9,29,False
10,3,4,3,22,False
10,2,18,6,19,False
7,1,4,7,22,False
11,1,3,9,25,False
19,1,5,6,19,False
15,1,5,3,23,False
12,1,4,6,20,False
21,1,13,3,17,False
13,1,6,42,23,False
13,1,11,18,23,False
11,1,5,25,17,False
13,3,4,15,20,False
9,2,3,7,18,False
13,3,6,8,15,False
13,3,3,9,19,False
23,3,2,7,36,False
15,2,7,5,20,False
18,3,3,11,26,False
16,2,2,10,18,False
16,4,3,3,17,False
13,5,1,6,16,False
17,3,2,5,16,False
15,5,33,5,16,False
10,5,11,6,15,False
14,6,7,5,17,False
14,6,4,5,19,False
21,7,3,4,20,False
17,8,2,6,14,False
16,6,3,4,17,False
18,3,2,2,16,False
16,6,2,4,17,False
15,3,4,3,15,False
17,3,9,3,16,False
17,26,15,18,17,False
14,13,8,10,17,False
17,16,25,23,18,False
20,11,5,7,18,False
14,17,5,7,15,False
14,21,14,10,17,False
20,10,11,6,19,False
17,11,4,6,14,False
13,10,3,6,14,False
15,11,3,3,15,False
18,8,4,8,15,False
16,11,1,8,21,False
10,9,3,10,23,False
14,8,2,7,20,False
20,8,7,6,21,False
20,9,4,6,14,False
15,8,3,5,15,False
16,11,5,3,19,False
13,10,3,7,23,False
11,14,2,6,25,False
14,11,1,3,70,False
14,12,1,6,28,False
12,10,2,3,35,False
15,8,3,4,25,False
11,9,4,3,20,False
12,10,14,6,16,False
18,11,46,3,14,False
16,8,6,3,13,False
15,8,6,1,17,False
12,10,4,4,14,False
11,10,4,3,16,False
15,9,5,7,14,False
11,7,3,4,17,False
13,6,4,5,18,False
10,9,3,3,19,False
10,7,2,18,11,False
10,8,3,11,15,False
10,10,22,14,17,False
11,8,6,6,20,False
16,5,3,8,13,False
10,7,32,5,14,False
8,7,13,3,15,False
7,7,11,5,14,False
8,8,11,3,13,False
9,7,9,4,12,False
10,4,14,3,14,False
9,5,4,3,12,False
10,7,16,2,10,False
7,7,9,3,10,False
10,6,10,3,10,False
11,7,7,4,11,False
14,6,8,2,9,False
14,7,13,4,11,False
12,7,8,3,14,False
8,7,8,1,12,False
10,7,11,2,10,False
8,6,8,3,13,False
8,6,53,1,11,False
8,6,13,3,12,False
6,5,57,2,12,False
5,5,60,3,12,False
7,6,28,2,13,False
9,7,12,4,11,False
13,4,19,3,12,False
11,6,21,2,11,False
9,7,12,3,12,False
6,6,12,2,11,False
8,5,9,3,11,False
5,5,11,2,15,False
6,4,5,2,11,False
9,4,7,2,14,False
6,6,12,2,12,False
8,5,9,5,11,False
7,5,15,4,11,False
8,7,35,3,12,False
8,6,15,3,12,False
10,10,11,2,18,False
9,7,9,2,35,False
8,9,27,2,15,False
9,8,27,3,9,False
8,8,9,2,9,False
9,5,8,2,13,False
8,5,11,1,22,False
7,5,100,1,18,False
7,9,18,1,13,False
8,5,10,1,11,True
