George Monbiot,Jake Barton,Ron McCallum,Sonia Shah,Iraola,isPartial
37,0,14,0,28,False
37,0,0,0,37,False
26,0,0,17,17,False
58,0,0,0,31,False
57,0,0,23,27,False
42,11,0,11,35,False
52,12,0,0,28,False
37,11,0,0,39,False
21,0,0,0,31,False
37,0,0,11,21,False
49,0,0,0,14,False
68,0,0,10,33,False
51,13,0,0,26,False
57,0,0,9,23,False
23,0,0,8,18,False
23,9,0,13,17,False
35,7,0,0,17,False
30,8,0,8,15,False
51,8,8,0,15,False
27,7,7,7,15,False
29,20,7,7,29,False
44,12,0,6,31,False
33,6,19,6,27,False
35,6,0,6,23,False
29,8,0,8,16,False
17,15,0,0,20,False
19,8,0,5,38,False
20,10,5,5,19,False
31,5,14,9,25,False
21,0,7,5,26,False
18,7,5,7,29,False
26,14,9,9,24,False
38,7,4,4,20,False
41,4,4,6,20,False
45,6,4,4,21,False
28,5,4,4,32,False
39,3,3,7,23,False
38,4,5,4,30,False
37,6,3,10,34,False
29,3,0,7,21,False
33,6,6,4,22,False
26,3,0,3,28,False
28,3,6,5,16,False
20,3,4,3,21,False
14,3,0,7,30,False
36,5,2,5,27,False
39,11,2,2,16,False
25,5,0,0,26,False
13,3,3,4,22,False
21,3,2,2,27,False
19,5,0,4,26,False
20,6,0,4,32,False
21,2,4,5,29,False
21,2,0,4,18,False
24,0,0,2,21,False
21,5,6,6,34,False
13,3,2,3,33,False
20,2,2,9,29,False
19,2,4,5,28,False
20,2,2,5,27,False
17,3,0,3,28,False
13,4,2,5,29,False
20,2,0,4,23,False
15,3,0,5,29,False
10,3,2,2,28,False
13,3,2,2,23,False
12,3,2,5,25,False
13,2,0,2,26,False
13,2,1,3,37,False
14,2,3,4,32,False
33,2,2,1,32,False
50,3,0,3,32,False
24,2,0,3,35,False
14,1,1,2,23,False
15,2,1,3,25,False
12,2,2,2,26,False
16,1,1,3,26,False
12,2,0,6,27,False
12,3,0,8,18,False
11,3,1,5,23,False
15,1,3,4,33,False
14,2,2,3,33,False
12,3,2,4,41,False
14,1,0,3,29,False
14,2,3,3,26,False
19,2,1,2,31,False
24,2,1,3,39,False
35,3,1,3,29,False
17,2,2,3,31,False
10,2,1,3,28,False
15,1,1,4,24,False
14,2,1,5,34,False
12,3,1,3,32,False
18,3,1,2,25,False
18,2,1,3,27,False
12,3,1,3,23,False
9,2,1,2,24,False
13,2,0,2,25,False
12,1,2,3,55,False
12,2,1,2,27,False
14,2,1,1,39,False
10,1,1,1,26,False
14,1,1,3,24,False
12,2,1,3,24,False
16,2,1,2,25,False
15,2,1,2,25,False
26,1,0,2,20,False
12,2,1,3,24,False
14,2,0,2,25,False
13,2,1,2,25,False
12,3,1,3,21,False
13,2,1,3,25,False
13,1,2,2,21,False
13,2,1,4,22,False
10,1,1,1,23,False
9,1,1,3,23,False
15,3,1,4,25,False
14,3,3,3,24,False
13,1,1,4,24,False
15,1,1,2,24,False
15,2,1,2,24,False
21,2,1,1,23,False
13,1,1,3,26,False
11,3,0,3,18,False
13,2,1,5,21,False
11,1,1,3,19,False
9,2,0,3,20,False
10,2,2,2,29,False
26,2,1,3,30,False
15,2,1,6,26,False
13,1,1,4,26,False
21,1,1,5,19,False
20,2,1,6,22,False
17,1,1,5,25,False
12,2,0,3,31,False
14,1,1,3,36,False
17,2,0,3,100,False
21,1,1,4,40,False
13,1,0,3,48,False
14,2,1,3,33,False
13,1,0,3,27,False
12,1,0,4,22,False
19,1,0,4,20,False
21,1,0,23,22,False
14,1,0,5,24,False
10,1,0,9,18,False
8,2,1,5,21,False
15,2,0,5,20,False
8,1,0,4,26,False
15,2,0,4,24,False
12,1,1,4,27,False
12,1,0,3,16,False
11,1,0,3,22,False
16,1,0,3,22,False
19,1,1,4,27,False
19,1,1,3,20,False
13,1,1,2,17,False
12,1,1,4,19,False
12,2,0,3,18,False
13,2,1,4,17,False
13,1,1,2,19,False
11,1,1,4,18,False
13,1,0,3,17,False
10,0,0,3,15,False
15,1,0,3,14,False
18,1,0,4,14,False
16,2,0,3,15,False
13,1,0,3,11,False
12,1,1,2,16,False
12,1,0,3,18,False
25,1,0,3,17,False
11,1,0,3,12,False
13,1,1,3,16,False
12,1,1,2,17,False
9,1,0,4,15,False
11,1,0,3,16,False
13,1,2,3,17,False
15,1,0,1,19,False
20,1,1,3,15,False
13,1,0,3,15,False
10,1,1,2,15,False
11,1,1,3,18,False
11,2,0,3,15,False
35,2,0,5,16,False
18,1,1,25,19,False
14,2,1,3,15,False
14,1,3,4,19,False
16,1,1,7,19,False
30,1,0,4,15,False
28,1,1,4,16,False
15,2,0,6,17,False
25,1,1,5,15,False
34,1,1,4,25,False
18,1,1,7,46,False
12,1,1,9,20,False
16,1,0,10,13,False
17,1,1,8,13,False
19,2,0,10,16,False
16,1,1,7,28,False
9,1,0,8,26,False
13,1,0,7,19,False
12,1,0,4,16,True
