Richard Ledgett,Larry Page,Ziauddin Yousafzai,Bran Ferren,Iraola,isPartial
0,16,0,0,4,False
0,30,0,3,11,False
0,17,0,4,4,False
0,52,0,3,10,False
0,36,0,0,7,False
0,16,0,0,10,False
0,34,0,0,6,False
0,44,0,0,14,False
0,31,0,0,8,False
0,30,0,3,3,False
0,22,0,3,3,False
0,32,0,2,9,False
0,34,0,0,5,False
0,28,0,2,6,False
0,27,0,2,3,False
0,29,0,0,4,False
0,23,0,0,6,False
0,30,0,4,4,False
0,26,0,0,5,False
0,27,0,2,2,False
0,33,0,0,7,False
0,37,0,3,9,False
0,41,0,3,9,False
0,31,0,0,5,False
0,71,0,1,3,False
0,47,0,1,5,False
0,32,0,2,10,False
0,23,0,5,5,False
0,27,0,0,8,False
0,20,0,0,5,False
0,30,0,1,7,False
0,22,0,0,5,False
0,38,0,0,4,False
0,33,0,0,4,False
0,27,0,0,6,False
0,29,0,2,10,False
0,28,0,1,7,False
0,30,0,1,9,False
0,27,0,0,8,False
0,28,0,1,4,False
0,28,0,1,6,False
0,23,0,0,6,False
0,19,0,1,3,False
0,23,0,1,6,False
0,36,0,1,7,False
0,27,0,1,8,False
0,55,0,1,4,False
0,76,0,0,7,False
0,25,0,1,5,False
0,35,0,1,7,False
0,27,0,0,6,False
0,33,0,0,9,False
0,41,0,1,6,False
0,24,0,1,4,False
0,20,0,1,5,False
0,18,0,0,10,False
0,35,0,0,8,False
0,25,0,0,8,False
0,20,0,0,8,False
0,16,0,0,8,False
0,20,0,1,7,False
0,19,0,1,7,False
0,24,0,1,7,False
0,25,0,0,7,False
0,29,0,0,8,False
0,20,0,0,6,False
0,16,0,0,7,False
0,19,0,1,7,False
0,20,0,0,10,False
0,29,0,0,9,False
0,28,0,0,8,False
0,22,0,0,8,False
0,32,0,0,9,False
0,21,0,0,6,False
0,26,0,0,5,False
0,23,0,1,7,False
0,25,0,1,7,False
0,23,0,1,7,False
0,15,0,0,4,False
0,18,0,0,6,False
0,26,0,0,7,False
0,30,0,1,8,False
0,25,0,0,10,False
0,21,0,1,7,False
0,100,0,0,6,False
0,25,0,0,8,False
0,26,0,0,9,False
0,54,0,0,7,False
0,28,0,0,8,False
0,27,0,0,7,False
0,46,0,0,6,False
0,44,0,0,8,False
0,40,0,0,8,False
0,50,0,0,6,False
0,36,0,0,7,False
0,28,0,0,6,False
0,27,0,0,5,False
0,31,0,0,7,False
0,28,0,0,13,False
0,40,0,0,7,False
0,32,0,0,9,False
0,35,0,0,6,False
0,31,0,0,6,False
0,26,0,0,5,False
0,31,0,0,5,False
0,33,1,0,6,False
0,24,0,0,5,False
0,26,0,0,6,False
0,35,0,0,7,False
0,28,0,0,7,False
0,30,0,0,5,False
0,29,0,0,6,False
0,67,0,0,6,False
0,30,0,0,6,False
0,27,0,0,5,False
0,31,0,0,6,False
0,45,0,0,6,False
0,44,2,0,6,False
0,36,1,0,6,False
0,32,0,0,6,False
0,37,0,0,5,False
0,37,0,0,6,False
1,57,1,1,6,False
0,45,1,2,5,False
0,40,0,0,5,False
0,35,1,0,5,False
0,38,1,0,5,False
0,37,0,1,7,False
0,44,0,0,8,False
0,46,1,0,7,False
0,48,1,0,7,False
0,38,1,0,5,False
0,39,0,0,5,False
0,34,1,0,7,False
0,39,0,0,8,False
0,40,0,0,9,False
0,39,0,0,24,False
0,40,0,0,10,False
0,37,0,0,12,False
0,88,1,0,8,False
0,55,0,0,7,False
0,41,1,0,6,False
0,42,0,1,5,False
0,34,0,0,5,False
0,31,1,0,6,False
0,44,0,0,5,False
0,31,1,0,5,False
0,28,1,0,5,False
0,28,1,0,6,False
0,30,1,0,6,False
0,22,0,0,7,False
0,23,1,0,4,False
0,31,1,0,5,False
0,26,1,0,6,False
0,25,1,0,7,False
0,36,0,0,5,False
0,30,0,0,5,False
0,30,0,0,5,False
0,29,0,0,5,False
0,31,0,0,5,False
0,27,0,0,4,False
0,26,0,0,5,False
0,24,0,0,4,False
0,28,0,0,3,False
0,25,0,0,4,False
0,26,0,0,3,False
0,27,0,0,4,False
0,24,0,0,3,False
0,27,0,0,4,False
0,29,0,0,5,False
0,27,1,0,4,False
0,24,1,0,3,False
0,25,1,0,4,False
0,23,0,0,4,False
0,22,0,0,4,False
0,25,0,0,4,False
0,37,0,0,4,False
0,30,0,0,5,False
0,27,1,0,4,False
0,23,0,0,4,False
0,23,0,0,4,False
0,22,0,0,4,False
0,29,1,0,4,False
0,22,0,0,4,False
0,25,0,0,5,False
0,24,0,0,4,False
0,20,0,0,5,False
0,30,0,0,4,False
0,32,1,0,4,False
0,24,0,0,4,False
0,25,0,0,4,False
0,62,0,0,4,False
0,25,1,3,6,False
0,31,0,0,12,False
0,22,0,0,5,False
0,26,0,0,3,False
0,26,1,0,3,False
0,24,0,0,4,False
0,34,0,0,8,False
0,28,0,0,6,False
0,37,0,0,5,False
0,32,0,0,4,True
