Jennifer Senior,Norman Spack,Jeremy Kasdin,Matthew Carter,Iraola,isPartial
15,0,0,73,15,False
14,0,0,29,44,False
18,0,0,35,18,False
28,0,0,35,42,False
0,12,0,36,30,False
0,0,0,48,42,False
13,0,0,44,25,False
17,0,0,41,58,False
22,0,0,53,32,False
22,0,0,38,11,False
0,0,0,11,11,False
15,0,0,41,36,False
13,0,0,18,22,False
9,0,0,37,23,False
20,0,0,43,12,False
9,0,0,26,18,False
19,0,8,15,23,False
8,0,8,23,16,False
16,0,0,24,20,False
27,0,0,23,8,False
17,0,0,24,28,False
0,0,0,36,39,False
13,0,0,23,39,False
6,0,0,38,22,False
0,0,6,31,14,False
6,0,0,29,20,False
10,0,0,22,40,False
5,5,0,21,19,False
5,0,0,15,32,False
5,5,0,23,21,False
5,0,0,33,28,False
12,0,0,28,21,False
18,0,0,23,18,False
12,0,0,14,16,False
10,0,0,18,24,False
6,0,0,17,39,False
11,4,0,22,29,False
0,0,0,28,38,False
8,0,0,36,35,False
7,3,0,31,17,False
7,0,3,51,24,False
6,6,0,28,25,False
3,0,0,24,12,False
14,0,0,43,23,False
8,3,0,17,28,False
5,0,0,19,33,False
9,2,0,12,17,False
7,0,3,22,29,False
10,0,2,15,22,False
2,0,0,24,30,False
4,0,0,8,23,False
4,0,0,20,36,False
5,2,0,15,26,False
3,0,0,13,18,False
6,4,0,24,22,False
2,2,0,14,41,False
4,0,0,17,35,False
13,4,0,18,33,False
12,0,0,25,31,False
9,0,0,20,31,False
8,2,0,19,29,False
9,0,0,20,30,False
2,2,0,19,29,False
8,3,0,14,31,False
6,0,0,10,32,False
5,0,0,11,23,False
8,0,0,18,27,False
10,0,0,17,29,False
10,1,1,19,39,False
8,1,0,22,36,False
6,0,0,17,33,False
8,1,0,9,33,False
4,0,0,14,39,False
7,2,0,18,24,False
9,2,1,17,21,False
7,0,0,17,28,False
6,0,0,12,30,False
7,1,0,14,28,False
11,0,0,15,18,False
5,0,0,11,26,False
6,0,0,20,31,False
8,1,0,21,32,False
5,1,0,15,41,False
4,0,0,13,31,False
5,0,0,17,26,False
7,0,1,16,31,False
10,1,0,16,36,False
6,0,0,13,28,False
8,0,0,15,33,False
7,0,0,20,28,False
6,0,0,22,25,False
5,0,0,15,33,False
8,0,0,14,32,False
8,1,1,18,25,False
4,0,0,17,28,False
7,2,1,15,25,False
3,1,1,17,22,False
5,2,2,18,27,False
5,0,0,19,52,False
5,1,1,19,28,False
6,1,0,18,37,False
7,1,0,18,26,False
7,1,0,13,24,False
7,1,1,12,23,False
5,0,0,17,23,False
4,0,0,13,23,False
4,0,0,14,21,False
3,1,0,13,24,False
12,2,1,12,28,False
9,0,1,18,29,False
6,0,0,13,20,False
6,0,0,14,24,False
6,1,0,14,23,False
5,1,0,11,24,False
6,1,0,15,22,False
9,0,0,17,23,False
4,0,1,13,24,False
12,0,0,15,24,False
8,0,0,12,25,False
7,0,0,8,26,False
13,0,0,21,22,False
23,1,0,27,24,False
11,1,0,42,27,False
11,3,2,53,20,False
11,1,1,40,20,False
8,1,1,32,21,False
13,0,1,37,22,False
10,1,0,33,30,False
9,0,0,30,33,False
9,1,1,26,28,False
6,1,1,24,29,False
7,0,1,25,19,False
10,0,0,23,22,False
11,1,0,22,27,False
10,0,0,21,33,False
8,1,0,18,36,False
8,1,0,21,100,False
5,1,0,28,40,False
8,1,0,25,49,False
8,0,0,25,35,False
8,1,0,22,28,False
6,1,0,16,23,False
6,1,0,19,19,False
5,0,1,18,19,False
6,0,1,19,24,False
6,1,0,16,19,False
6,1,0,19,22,False
6,0,0,16,20,False
9,0,0,14,24,False
5,1,0,19,25,False
9,1,0,13,27,False
5,0,0,14,16,False
5,0,0,11,22,False
8,1,0,17,24,False
5,0,0,10,29,False
7,0,0,12,19,False
7,1,0,14,19,False
6,0,0,15,21,False
8,0,0,13,21,False
7,0,0,10,19,False
7,0,0,9,17,False
6,0,0,11,19,False
5,0,0,13,17,False
7,0,0,13,14,False
7,1,0,10,15,False
8,0,0,11,14,False
5,0,0,10,15,False
6,0,0,10,12,False
7,0,0,10,16,False
8,0,0,11,20,False
5,1,0,9,17,False
6,1,0,14,14,False
5,0,0,8,18,False
7,0,0,8,16,False
5,0,0,10,17,False
6,0,0,12,17,False
6,0,0,8,17,False
4,0,0,11,19,False
6,1,0,10,16,False
3,0,0,11,17,False
7,0,0,11,15,False
8,0,0,11,17,False
7,0,0,9,15,False
8,0,0,9,15,False
6,0,0,8,21,False
6,0,0,9,15,False
3,0,0,9,19,False
6,0,0,10,18,False
6,0,0,12,16,False
8,0,0,10,16,False
5,0,0,9,17,False
5,0,0,9,17,False
7,0,0,16,25,False
6,0,0,10,50,False
10,0,0,7,21,False
10,0,0,10,13,False
5,0,0,11,12,False
8,0,0,7,18,False
7,0,0,8,31,False
7,0,0,10,26,False
6,0,0,8,19,False
7,0,0,11,16,True
