Sherwin Nuland,Matthieu Ricard,Lawrence Lessig,Paul Rothemund,Iraola,isPartial
16,26,63,0,24,False
26,0,39,0,47,False
39,0,51,0,29,False
15,30,55,0,30,False
13,13,52,0,30,False
13,13,52,13,26,False
0,20,77,0,27,False
0,25,42,0,50,False
12,15,39,0,27,False
12,12,63,0,24,False
12,16,56,0,12,False
11,11,59,0,17,False
10,10,51,0,23,False
17,15,65,0,31,False
17,9,48,0,23,False
10,16,45,0,29,False
13,17,48,0,20,False
0,8,31,0,28,False
0,17,49,0,26,False
12,25,33,0,17,False
11,26,45,0,30,False
28,26,61,0,28,False
7,14,66,0,21,False
7,17,30,0,28,False
6,12,28,6,18,False
6,8,36,0,21,False
13,5,23,27,36,False
6,21,40,6,21,False
16,16,37,5,35,False
8,15,35,0,35,False
6,17,35,6,34,False
8,12,44,5,22,False
5,16,28,5,25,False
7,13,25,9,22,False
4,11,24,4,26,False
7,14,21,0,26,False
10,33,14,0,22,False
8,25,41,4,26,False
7,32,29,4,28,False
8,24,26,6,25,False
11,34,28,5,31,False
12,29,25,3,26,False
7,18,15,3,29,False
9,27,22,0,25,False
0,18,15,7,33,False
5,19,28,4,21,False
14,26,26,3,27,False
4,25,17,6,27,False
8,37,13,3,24,False
3,27,60,3,21,False
5,24,30,2,27,False
3,49,26,5,27,False
6,20,20,6,30,False
2,18,30,0,19,False
5,28,21,0,16,False
5,22,28,2,35,False
7,25,25,2,36,False
2,38,36,2,32,False
3,29,51,0,36,False
8,32,27,2,32,False
7,19,26,2,28,False
5,24,27,3,28,False
6,19,28,3,27,False
5,24,30,2,35,False
3,24,21,2,30,False
2,17,17,3,33,False
3,20,15,0,30,False
5,24,18,2,35,False
3,24,21,6,40,False
4,28,25,3,33,False
2,32,24,3,39,False
4,21,16,3,36,False
4,30,19,2,36,False
4,31,26,0,24,False
3,26,33,2,31,False
3,25,24,1,27,False
3,44,20,0,26,False
1,25,15,1,32,False
5,24,12,2,21,False
4,32,15,1,25,False
2,41,16,2,28,False
5,36,18,1,34,False
3,35,20,0,46,False
6,27,12,1,37,False
3,44,14,0,33,False
1,25,18,1,45,False
4,25,15,1,43,False
4,32,20,1,36,False
2,26,13,0,40,False
3,29,14,1,34,False
4,28,11,1,26,False
3,23,9,1,38,False
4,28,14,3,38,False
4,27,35,1,31,False
2,32,30,1,27,False
2,29,51,1,24,False
3,29,32,1,29,False
0,17,26,2,35,False
2,26,16,2,52,False
3,29,18,1,33,False
2,24,12,2,52,False
2,25,15,1,24,False
3,20,8,2,25,False
3,26,10,1,27,False
1,23,10,2,28,False
2,32,13,0,23,False
3,44,11,0,26,False
2,28,9,1,27,False
2,23,26,1,26,False
2,25,17,1,25,False
3,26,15,1,21,False
1,23,30,1,23,False
4,24,12,1,24,False
2,24,18,0,24,False
3,25,14,0,24,False
3,24,11,0,29,False
3,51,11,1,29,False
3,83,15,1,25,False
4,55,11,0,27,False
3,44,8,1,26,False
2,37,12,1,26,False
4,30,12,1,29,False
24,30,11,1,28,False
4,41,16,1,24,False
4,42,17,1,27,False
4,31,12,0,25,False
2,33,17,1,26,False
2,31,8,1,34,False
3,31,11,1,38,False
3,66,18,1,29,False
2,34,17,1,29,False
3,36,9,1,23,False
7,35,10,1,26,False
3,37,10,0,27,False
3,31,11,1,36,False
3,38,14,0,46,False
3,59,7,1,100,False
2,44,6,0,47,False
2,35,5,1,50,False
2,35,54,1,39,False
2,37,61,0,27,False
1,88,73,0,25,False
2,44,28,1,25,False
2,35,11,0,23,False
3,60,12,1,25,False
2,62,17,1,19,False
2,41,9,1,24,False
1,35,8,1,20,False
2,28,7,0,29,False
2,24,6,0,29,False
3,22,6,1,29,False
2,29,4,1,20,False
1,33,6,1,21,False
2,30,9,1,30,False
1,40,15,1,32,False
2,30,20,0,27,False
1,40,8,0,17,False
1,25,7,0,20,False
2,25,4,1,19,False
1,23,9,0,19,False
1,23,5,0,22,False
2,19,4,0,19,False
1,24,3,0,18,False
1,24,5,0,19,False
2,20,4,0,17,False
2,53,8,0,19,False
2,31,6,1,17,False
1,30,5,0,12,False
2,28,19,0,18,False
1,24,8,0,19,False
2,20,9,1,17,False
2,18,5,0,15,False
1,19,5,1,20,False
2,22,4,0,18,False
2,27,5,0,17,False
1,25,4,0,20,False
2,21,5,1,21,False
2,21,6,1,21,False
1,19,7,0,20,False
2,18,54,0,20,False
1,51,13,0,17,False
2,39,6,0,19,False
1,25,7,0,16,False
1,22,9,1,18,False
1,17,8,0,17,False
1,17,6,0,18,False
1,20,3,0,23,False
1,16,5,0,20,False
1,21,7,0,20,False
1,29,7,0,17,False
1,24,5,0,18,False
1,22,5,0,17,False
2,22,7,1,29,False
1,19,4,0,53,False
1,20,3,0,21,False
2,57,4,1,16,False
1,26,5,0,17,False
1,21,5,0,15,False
0,20,5,0,34,False
2,18,7,0,29,False
1,17,5,0,22,False
1,15,4,0,19,True
