Chris Domas,Sara Lewis,Simon Anholt,George Takei,Iraola,isPartial
0,2,2,4,4,False
0,4,0,4,5,False
0,3,2,3,2,False
0,3,0,3,4,False
0,3,0,4,3,False
0,3,1,3,4,False
0,2,0,4,4,False
0,2,0,4,5,False
0,1,0,8,4,False
0,1,1,3,3,False
0,1,1,4,2,False
0,4,1,4,4,False
0,1,0,4,3,False
0,2,1,5,3,False
0,1,1,3,2,False
0,3,1,3,2,False
0,2,2,4,2,False
0,2,1,2,2,False
0,2,1,3,2,False
0,2,2,3,2,False
0,1,1,2,4,False
0,3,2,45,4,False
0,1,1,21,3,False
0,2,0,7,3,False
0,4,1,26,2,False
0,1,2,5,3,False
0,2,1,3,5,False
0,2,1,7,2,False
0,2,1,4,3,False
0,2,2,9,3,False
0,2,1,5,4,False
0,3,1,11,3,False
0,1,1,4,3,False
1,1,1,4,3,False
0,2,1,5,3,False
0,2,1,6,4,False
0,1,1,7,3,False
0,2,1,13,4,False
0,1,1,11,4,False
0,1,1,8,3,False
0,1,1,8,3,False
0,1,1,5,4,False
0,2,1,8,2,False
0,5,1,5,3,False
0,2,0,6,4,False
0,2,0,9,3,False
0,3,1,4,2,False
0,2,1,7,3,False
0,2,1,4,3,False
0,3,0,4,3,False
0,4,0,3,3,False
0,7,0,6,4,False
0,4,0,21,4,False
0,4,0,31,2,False
0,4,0,5,3,False
0,3,1,8,4,False
0,4,1,18,4,False
0,3,0,19,4,False
0,3,1,28,4,False
0,2,0,19,3,False
0,2,0,6,4,False
0,2,0,4,4,False
0,2,0,5,3,False
0,2,0,7,4,False
0,2,0,11,4,False
0,2,1,6,3,False
0,1,0,6,3,False
0,2,1,6,3,False
0,2,1,7,5,False
0,3,1,7,4,False
0,2,0,5,4,False
0,1,0,6,4,False
0,2,1,6,4,False
0,2,1,7,3,False
0,2,1,12,3,False
0,2,0,10,3,False
0,2,0,8,3,False
0,2,0,7,3,False
0,1,0,8,2,False
0,2,1,9,3,False
0,2,0,7,4,False
0,2,1,12,4,False
0,1,0,18,5,False
0,2,0,10,4,False
0,2,0,6,3,False
0,2,0,5,4,False
0,2,0,9,5,False
0,2,0,17,4,False
0,1,0,17,4,False
0,1,0,9,4,False
0,2,0,9,3,False
0,1,0,8,4,False
0,2,0,7,4,False
0,1,0,11,3,False
0,1,0,11,3,False
0,1,0,25,3,False
0,2,0,21,3,False
0,2,0,40,3,False
0,1,0,37,7,False
0,1,0,28,3,False
0,2,0,29,5,False
0,1,0,23,3,False
0,1,0,17,3,False
0,1,0,20,3,False
0,1,0,23,3,False
0,1,0,16,3,False
0,1,0,23,3,False
0,1,0,32,3,False
0,1,0,25,3,False
0,1,0,18,3,False
0,1,0,23,3,False
0,2,0,28,3,False
0,1,0,41,3,False
0,2,0,26,3,False
0,1,0,21,3,False
0,2,0,23,3,False
0,1,0,25,3,False
0,1,0,19,3,False
0,2,0,21,3,False
0,2,0,27,3,False
0,2,0,23,3,False
0,1,0,23,3,False
0,1,0,22,3,False
0,2,0,23,2,False
0,1,0,19,3,False
0,1,1,21,2,False
0,1,2,33,3,False
0,1,1,37,4,False
0,1,0,21,4,False
0,1,0,13,3,False
0,1,0,15,3,False
0,1,1,15,2,False
0,1,0,15,3,False
0,1,0,23,3,False
0,1,0,24,4,False
0,1,0,20,5,False
0,1,0,15,13,False
0,1,0,17,5,False
0,1,0,21,6,False
0,1,0,11,4,False
0,1,0,20,3,False
0,1,0,14,3,False
0,1,0,22,3,False
0,1,0,19,3,False
0,1,0,11,3,False
0,1,0,13,2,False
0,1,0,17,3,False
0,1,0,14,3,False
0,1,0,10,3,False
0,1,0,10,3,False
0,1,0,26,3,False
0,1,0,10,2,False
0,1,0,15,3,False
0,1,0,13,3,False
0,1,0,17,3,False
0,1,0,18,3,False
0,1,0,16,2,False
0,1,0,25,2,False
0,1,0,10,2,False
0,1,0,29,2,False
0,1,0,11,2,False
0,1,0,12,2,False
0,1,0,11,2,False
0,1,0,10,2,False
0,1,0,9,2,False
0,1,0,11,2,False
0,1,0,100,2,False
0,1,0,15,1,False
0,1,0,9,2,False
0,1,0,8,2,False
0,1,0,8,2,False
0,1,0,8,2,False
0,1,0,10,2,False
0,1,0,9,2,False
0,1,0,7,2,False
0,1,0,8,2,False
0,1,0,6,2,False
0,1,0,7,2,False
0,1,0,7,2,False
0,1,0,6,2,False
0,1,0,6,2,False
0,1,0,6,2,False
0,1,0,7,2,False
0,1,0,6,2,False
0,1,0,6,2,False
0,1,0,7,2,False
0,1,0,8,2,False
0,1,0,12,2,False
0,1,0,7,2,False
0,1,0,6,2,False
0,1,0,8,2,False
0,1,0,6,2,False
0,1,0,7,3,False
0,1,0,7,6,False
0,1,0,6,3,False
0,1,0,9,2,False
0,1,0,14,2,False
0,1,0,12,2,False
0,1,0,9,4,False
0,1,0,10,3,False
0,1,0,8,2,False
0,1,0,12,2,True
