Clint Smith,Aziza Chaouni,Laurel Braitman,Ziyah Gafić,Iraola,isPartial
29,0,0,0,15,False
29,0,0,0,44,False
36,0,0,0,18,False
0,0,0,0,42,False
24,0,0,0,30,False
12,0,0,0,42,False
13,0,0,0,25,False
18,0,0,0,58,False
38,0,0,0,32,False
44,0,0,0,11,False
22,0,0,0,11,False
10,0,0,0,36,False
9,0,0,0,22,False
24,0,0,0,23,False
8,0,0,0,12,False
22,0,0,0,18,False
8,8,0,0,23,False
16,0,0,0,16,False
12,0,0,0,20,False
31,0,0,0,8,False
10,0,0,0,28,False
16,0,0,0,39,False
20,0,0,0,39,False
13,0,0,0,22,False
6,0,0,0,14,False
6,0,0,0,20,False
12,0,0,0,40,False
5,0,0,0,19,False
10,0,0,0,32,False
15,0,0,0,21,False
13,0,0,0,28,False
12,0,0,0,21,False
25,0,0,0,18,False
21,0,0,0,16,False
12,0,0,0,24,False
17,0,0,0,39,False
25,0,0,0,29,False
30,0,0,0,38,False
7,0,0,0,35,False
10,0,0,0,17,False
9,0,3,0,24,False
14,0,0,0,25,False
9,0,0,0,12,False
12,0,0,0,23,False
13,0,0,0,28,False
17,0,0,0,33,False
6,0,0,0,17,False
11,0,0,0,29,False
15,2,0,0,22,False
11,2,0,0,30,False
11,0,0,0,23,False
11,0,0,0,36,False
7,0,0,0,26,False
17,0,0,0,18,False
15,0,0,0,22,False
15,0,0,0,41,False
8,0,0,0,35,False
17,0,0,0,33,False
16,4,0,0,31,False
16,2,0,0,31,False
24,0,0,0,29,False
25,0,0,0,30,False
23,2,0,0,29,False
18,2,0,0,31,False
17,2,0,0,32,False
18,2,0,0,23,False
18,2,0,0,27,False
15,0,0,0,29,False
18,1,0,0,39,False
16,0,1,0,36,False
11,1,1,0,33,False
15,0,0,0,33,False
16,1,0,0,39,False
15,0,0,0,24,False
17,0,0,0,21,False
15,0,0,0,28,False
15,1,0,0,30,False
18,0,0,0,28,False
21,0,0,0,18,False
18,0,0,0,26,False
13,0,0,0,31,False
19,0,0,0,32,False
15,1,0,0,41,False
14,0,0,0,31,False
12,1,0,0,26,False
22,0,1,0,31,False
13,1,0,0,36,False
14,1,0,0,28,False
11,1,0,0,33,False
16,1,0,0,28,False
15,0,0,0,25,False
16,2,1,0,33,False
6,1,0,0,32,False
18,0,1,0,25,False
17,1,0,0,28,False
15,1,0,0,25,False
13,1,0,0,22,False
20,0,0,0,27,False
13,0,0,1,52,False
18,2,0,0,28,False
17,0,0,0,37,False
13,0,0,0,26,False
16,1,0,0,24,False
17,1,1,0,23,False
21,0,1,0,23,False
15,0,0,0,23,False
17,0,0,0,21,False
18,1,0,0,24,False
15,1,1,0,28,False
12,1,0,0,29,False
16,0,0,0,20,False
17,1,0,1,24,False
13,1,1,1,23,False
15,1,0,0,24,False
13,1,0,0,22,False
15,1,0,1,23,False
13,1,0,1,24,False
15,0,1,0,24,False
16,0,1,0,25,False
13,1,0,0,26,False
12,0,1,0,22,False
18,1,0,0,24,False
14,0,0,0,27,False
12,1,0,0,20,False
11,0,1,0,20,False
14,1,2,0,21,False
17,0,1,0,22,False
19,1,3,0,30,False
14,1,2,0,33,False
17,1,1,0,28,False
14,0,1,0,29,False
17,1,1,0,19,False
18,0,0,0,22,False
16,1,1,0,27,False
14,0,1,0,33,False
19,0,1,0,36,False
18,0,1,0,100,False
17,0,1,0,40,False
13,0,1,0,49,False
13,0,0,0,35,False
14,0,1,0,28,False
13,0,1,0,23,False
11,0,0,0,19,False
17,0,0,0,19,False
17,0,0,0,24,False
17,0,0,0,19,False
13,0,0,0,22,False
16,0,1,0,20,False
12,0,1,0,24,False
14,0,0,0,25,False
12,0,1,0,27,False
13,1,0,0,16,False
15,1,0,0,22,False
15,0,0,0,24,False
15,0,0,0,29,False
15,1,0,0,19,False
13,0,1,0,19,False
17,0,0,0,21,False
20,1,0,0,21,False
27,0,1,0,19,False
15,0,0,0,17,False
13,0,0,0,19,False
12,0,0,0,17,False
16,0,1,0,14,False
18,0,0,0,15,False
23,0,0,0,14,False
16,0,0,0,15,False
17,0,0,0,12,False
18,0,0,0,16,False
22,0,0,0,20,False
20,0,1,0,17,False
18,0,0,0,14,False
16,0,0,0,18,False
18,0,0,0,16,False
18,0,0,0,17,False
17,0,0,0,17,False
15,0,0,0,17,False
14,0,0,0,19,False
17,1,0,0,16,False
18,1,1,0,17,False
16,0,0,0,15,False
21,0,0,0,17,False
13,0,0,1,15,False
17,0,0,0,15,False
15,0,0,0,21,False
12,0,0,0,15,False
15,0,0,0,19,False
17,0,1,0,18,False
18,0,1,0,16,False
15,0,0,0,16,False
14,1,1,0,17,False
17,0,0,0,17,False
14,0,0,0,25,False
17,0,0,0,50,False
15,0,0,0,21,False
20,0,0,0,13,False
17,0,0,0,12,False
44,0,0,0,18,False
22,0,0,0,31,False
21,0,0,0,26,False
23,1,0,0,19,False
16,0,0,0,16,True
