Rose Goslinga,Meera Vijayann,Jill Shargaa,Jim Holt,Iraola,isPartial
0,0,0,15,15,False
0,0,0,14,44,False
0,0,0,36,18,False
0,0,0,28,42,False
0,0,0,12,30,False
0,0,0,36,42,False
0,0,0,19,25,False
0,0,0,12,58,False
0,0,0,43,32,False
0,0,0,38,11,False
0,0,0,38,11,False
0,0,0,20,36,False
0,0,0,18,22,False
0,0,0,38,23,False
0,0,0,12,12,False
0,0,0,13,18,False
0,0,0,15,23,False
0,0,0,16,16,False
0,0,0,20,20,False
0,0,0,19,8,False
0,0,0,10,28,False
0,0,0,6,39,False
0,0,0,13,39,False
0,0,0,22,22,False
0,0,0,14,14,False
0,0,0,11,20,False
0,0,0,22,40,False
0,0,0,13,19,False
0,0,0,17,32,False
0,0,0,13,21,False
0,0,0,8,28,False
0,0,0,12,21,False
0,0,0,14,18,False
0,0,0,37,16,False
0,0,0,12,24,False
0,0,0,12,39,False
0,0,0,5,29,False
0,0,0,4,38,False
0,0,0,7,35,False
0,0,0,12,17,False
0,0,0,9,24,False
0,0,0,6,25,False
0,0,0,9,12,False
0,0,0,9,23,False
0,0,0,11,28,False
0,0,0,6,33,False
0,0,0,22,17,False
0,0,0,11,29,False
0,0,0,6,22,False
0,0,0,10,30,False
0,0,0,4,23,False
0,0,0,9,36,False
0,0,0,4,26,False
0,0,0,11,18,False
0,0,0,9,22,False
0,0,0,3,41,False
0,0,0,9,35,False
0,0,0,4,33,False
0,0,0,6,31,False
0,0,0,6,31,False
0,0,0,6,29,False
0,0,0,6,30,False
0,0,0,10,29,False
0,0,0,6,31,False
0,0,0,4,32,False
0,0,0,3,23,False
0,0,0,8,27,False
0,0,0,9,29,False
0,0,0,9,39,False
0,0,0,8,36,False
0,0,0,3,33,False
0,0,0,6,33,False
1,0,1,8,39,False
0,0,0,5,24,False
0,0,0,6,21,False
0,0,0,5,28,False
0,0,0,10,30,False
0,0,0,8,28,False
0,0,0,7,18,False
0,0,0,6,26,False
0,0,0,7,31,False
0,0,0,4,32,False
0,1,0,5,41,False
0,0,0,5,31,False
0,0,0,4,26,False
0,0,0,7,31,False
0,0,0,10,36,False
0,0,0,5,28,False
0,0,0,4,33,False
0,0,0,2,28,False
1,0,0,4,25,False
0,1,0,10,33,False
0,0,0,6,32,False
0,1,0,6,25,False
1,0,0,4,28,False
0,0,0,5,25,False
0,0,0,5,22,False
0,0,0,6,27,False
0,0,0,2,52,False
1,0,0,4,28,False
0,0,0,3,37,False
1,0,0,7,26,False
0,0,0,11,24,False
0,0,0,22,23,False
0,0,0,26,23,False
0,0,0,11,23,False
0,0,0,10,21,False
0,0,0,9,24,False
0,0,1,11,28,False
1,0,0,7,29,False
1,0,0,12,20,False
0,1,0,7,24,False
1,1,0,8,23,False
0,0,0,5,24,False
0,0,0,8,22,False
0,0,0,7,23,False
0,0,0,5,24,False
0,0,0,8,24,False
1,0,0,5,25,False
1,0,0,5,26,False
0,0,0,6,22,False
0,0,0,6,24,False
0,0,0,8,27,False
0,1,0,8,20,False
0,0,0,5,20,False
0,2,0,6,21,False
1,0,0,6,22,False
0,2,1,7,30,False
1,1,2,14,33,False
1,1,0,8,28,False
0,1,0,6,29,False
0,2,1,9,19,False
0,0,0,7,22,False
0,0,0,7,27,False
0,0,0,5,33,False
0,0,0,6,36,False
0,0,0,16,100,False
0,0,0,7,40,False
0,0,0,7,49,False
0,0,0,6,35,False
1,0,0,6,28,False
0,1,0,7,23,False
0,0,0,4,19,False
0,1,0,4,19,False
0,0,0,5,24,False
0,0,0,4,19,False
0,0,0,4,22,False
0,0,0,6,20,False
0,0,0,4,24,False
0,0,0,4,25,False
0,0,0,4,27,False
0,0,0,3,16,False
0,0,0,4,22,False
0,0,0,3,24,False
0,0,0,5,29,False
0,0,0,4,19,False
0,0,0,4,19,False
0,0,0,4,21,False
0,0,0,4,21,False
0,0,0,4,19,False
1,0,0,3,17,False
0,0,0,14,19,False
0,0,0,3,17,False
0,0,0,3,14,False
0,0,0,4,15,False
0,0,0,5,14,False
0,0,0,3,15,False
0,0,0,3,12,False
0,0,0,4,16,False
0,0,0,5,20,False
0,0,0,4,17,False
0,0,0,5,14,False
0,0,0,8,18,False
0,0,0,3,16,False
0,0,0,6,17,False
0,0,0,5,17,False
0,0,1,6,17,False
0,0,0,6,19,False
0,0,0,5,16,False
1,0,0,5,17,False
0,0,0,4,15,False
0,0,0,4,17,False
0,0,1,4,15,False
0,0,0,4,15,False
0,0,0,2,21,False
0,0,0,4,15,False
0,0,0,4,19,False
0,0,0,3,18,False
0,0,0,5,16,False
0,0,0,4,16,False
0,0,0,5,17,False
0,0,0,4,17,False
0,0,0,5,25,False
0,0,0,4,50,False
0,0,0,2,21,False
0,0,0,3,13,False
0,0,0,5,12,False
0,0,0,3,18,False
0,0,0,1,31,False
0,0,0,3,26,False
0,0,0,4,19,False
0,0,0,3,16,True
