Shubhendu Sharma,Colin Grant,Zak Ebrahim,Dan Barasch,Iraola,isPartial
0,61,0,0,28,False
0,23,0,0,37,False
0,28,0,0,17,False
0,31,0,0,31,False
0,54,0,0,27,False
0,34,0,0,35,False
0,32,0,0,28,False
0,45,0,0,39,False
0,31,0,0,31,False
0,24,0,10,21,False
0,67,0,0,14,False
0,62,0,0,33,False
0,43,0,0,26,False
0,15,0,0,23,False
0,20,0,8,18,False
0,51,0,0,17,False
0,35,0,0,17,False
0,15,0,0,15,False
0,36,0,0,15,False
7,20,0,7,15,False
0,20,0,0,29,False
0,21,0,0,31,False
0,21,0,0,27,False
0,20,0,0,23,False
0,27,0,0,16,False
0,13,0,0,20,False
0,19,0,0,38,False
0,24,0,0,19,False
0,20,0,0,25,False
0,25,0,0,26,False
0,18,0,0,29,False
0,24,0,0,24,False
4,12,0,0,20,False
0,13,0,0,20,False
0,6,0,0,21,False
0,20,0,0,32,False
0,15,0,0,23,False
0,22,0,0,30,False
0,18,0,0,34,False
0,18,0,0,21,False
0,11,0,0,22,False
0,22,0,0,28,False
0,16,0,0,16,False
0,21,0,0,21,False
0,24,0,0,30,False
0,23,0,0,27,False
0,16,0,0,16,False
0,14,0,0,26,False
0,20,0,0,22,False
0,17,0,0,27,False
0,9,0,0,26,False
0,17,0,0,32,False
0,18,0,0,29,False
0,14,0,0,18,False
0,14,0,0,21,False
0,12,0,0,34,False
0,13,0,0,33,False
0,15,0,0,29,False
0,18,0,0,28,False
0,13,0,0,27,False
2,16,0,0,28,False
0,17,0,2,29,False
2,10,0,2,23,False
0,8,0,0,29,False
0,13,0,2,28,False
0,14,0,0,23,False
0,13,0,0,25,False
0,13,0,0,26,False
0,12,1,0,37,False
0,12,0,0,32,False
0,18,0,0,32,False
0,24,0,0,32,False
0,20,0,0,35,False
0,16,0,1,23,False
0,16,0,0,25,False
0,8,2,0,26,False
0,12,0,0,26,False
0,16,1,0,27,False
0,17,1,0,18,False
0,9,0,0,23,False
0,13,1,0,33,False
2,13,0,0,33,False
0,12,0,0,41,False
0,21,0,0,29,False
0,23,1,0,26,False
0,21,0,1,31,False
0,21,1,0,39,False
0,17,0,0,29,False
0,21,0,0,31,False
0,14,1,0,28,False
0,15,1,0,24,False
0,20,0,0,34,False
0,15,0,0,32,False
1,13,0,0,25,False
0,17,0,1,27,False
1,17,0,1,23,False
0,15,0,0,24,False
0,13,0,1,25,False
0,11,0,1,55,False
0,12,0,1,27,False
1,10,0,1,39,False
0,12,0,0,26,False
1,14,0,0,24,False
0,15,1,0,24,False
1,14,1,0,25,False
0,12,0,1,25,False
0,12,1,1,20,False
0,19,1,1,24,False
0,17,0,1,25,False
0,14,0,0,25,False
1,10,0,0,21,False
1,11,0,0,25,False
1,8,0,1,21,False
1,15,0,1,22,False
1,13,0,0,23,False
1,16,0,0,23,False
1,14,0,1,25,False
0,14,1,1,24,False
1,10,1,0,24,False
1,22,0,0,24,False
0,18,0,0,24,False
1,13,0,0,23,False
0,10,1,0,26,False
0,11,1,0,18,False
1,12,0,0,21,False
1,10,1,0,19,False
1,11,1,1,20,False
1,12,1,0,29,False
7,15,28,1,30,False
2,16,9,0,26,False
2,15,4,1,26,False
1,20,3,0,19,False
1,14,3,0,22,False
2,18,3,1,25,False
1,18,4,0,31,False
0,15,4,0,36,False
1,12,2,0,100,False
0,18,1,0,40,False
1,16,3,0,48,False
1,17,1,0,33,False
1,17,3,0,27,False
1,18,2,0,22,False
0,16,3,0,20,False
1,26,2,1,22,False
1,12,2,1,24,False
0,11,1,0,18,False
1,11,4,0,21,False
2,11,2,1,20,False
2,13,1,0,26,False
1,11,2,0,24,False
3,12,1,0,27,False
1,17,1,0,16,False
2,33,2,0,22,False
1,20,1,1,22,False
1,11,2,0,27,False
1,26,1,0,20,False
1,14,2,0,17,False
0,12,3,0,19,False
1,13,2,0,18,False
1,10,1,0,17,False
1,11,1,0,19,False
2,8,2,0,18,False
1,10,1,0,17,False
1,11,2,0,15,False
1,13,1,0,14,False
1,10,1,0,14,False
1,11,1,0,15,False
2,19,1,0,11,False
1,12,1,0,16,False
1,11,1,0,18,False
1,10,1,0,17,False
1,11,1,0,12,False
1,10,1,0,16,False
1,10,1,0,17,False
1,12,0,0,15,False
1,11,0,0,16,False
1,10,1,0,17,False
1,9,1,0,19,False
1,10,1,0,15,False
1,23,1,0,15,False
1,12,1,1,15,False
1,12,1,0,18,False
1,8,1,0,15,False
1,9,1,0,16,False
2,10,0,0,19,False
1,9,1,0,15,False
0,10,1,1,19,False
0,9,1,0,19,False
1,7,1,0,15,False
0,10,1,0,16,False
1,10,1,0,17,False
1,25,1,0,15,False
0,12,1,0,25,False
1,14,0,1,46,False
1,12,1,0,20,False
1,15,1,0,13,False
1,16,2,0,13,False
1,10,2,0,16,False
1,10,0,0,28,False
0,10,1,0,26,False
1,19,1,0,19,False
1,11,0,1,16,True
