Murray Gell-Mann,Amory Lovins,Arthur Benjamin,Daniel Goleman,Iraola,isPartial
35,10,31,87,16,False
10,14,45,66,31,False
13,17,21,77,19,False
25,15,15,100,20,False
13,14,17,66,20,False
9,22,13,92,17,False
9,18,18,63,18,False
19,17,19,91,33,False
8,23,15,100,18,False
37,12,12,97,16,False
11,12,24,87,8,False
7,12,14,87,11,False
11,13,22,58,15,False
9,14,36,63,20,False
11,17,15,77,15,False
6,17,6,89,19,False
6,8,24,69,13,False
6,14,19,67,19,False
17,6,19,57,17,False
0,24,8,51,11,False
15,13,13,73,20,False
11,23,14,78,19,False
19,19,12,78,14,False
5,14,14,44,18,False
12,28,15,70,12,False
15,15,30,55,14,False
4,18,14,69,24,False
11,11,11,47,14,False
6,11,16,84,23,False
7,19,10,58,23,False
4,15,9,58,22,False
7,6,9,50,15,False
9,8,8,65,16,False
9,11,9,79,15,False
5,30,10,62,17,False
8,20,9,56,17,False
5,25,13,51,15,False
4,20,22,62,17,False
6,13,12,64,18,False
6,13,9,51,17,False
4,18,14,66,21,False
3,4,6,51,17,False
3,10,8,41,19,False
5,10,10,37,17,False
7,6,7,55,22,False
5,16,14,73,14,False
6,9,12,64,18,False
8,9,18,46,18,False
7,11,14,52,16,False
4,16,23,50,14,False
6,15,15,48,18,False
6,18,11,68,18,False
5,13,13,65,20,False
5,9,18,51,13,False
4,27,16,56,11,False
3,8,11,49,23,False
6,12,10,67,24,False
6,13,15,64,21,False
3,9,16,58,24,False
5,9,18,46,21,False
3,8,18,48,18,False
4,8,24,55,18,False
4,6,17,63,18,False
4,8,16,68,23,False
3,10,11,71,20,False
5,5,13,80,22,False
2,8,18,62,20,False
3,9,11,62,23,False
8,9,15,65,27,False
8,9,12,75,22,False
5,6,12,83,26,False
3,6,11,61,24,False
3,5,21,60,24,False
5,7,23,78,16,False
4,9,14,80,20,False
4,5,14,88,18,False
4,6,12,81,17,False
4,6,10,79,21,False
4,3,8,62,14,False
1,4,9,66,17,False
5,6,12,82,19,False
4,4,10,79,22,False
5,5,15,80,31,False
4,2,12,56,24,False
3,3,15,60,22,False
3,4,15,69,30,False
3,6,14,69,28,False
3,5,15,71,24,False
3,3,8,76,26,False
3,4,12,63,23,False
2,4,12,50,17,False
3,3,11,62,25,False
4,4,10,73,25,False
7,5,12,74,21,False
5,6,13,75,18,False
5,5,13,60,16,False
3,4,15,61,20,False
4,5,17,61,23,False
13,7,12,71,35,False
3,5,13,64,22,False
3,8,17,76,34,False
3,5,10,59,16,False
4,4,11,52,17,False
3,4,12,63,18,False
3,5,10,73,19,False
5,8,12,73,16,False
4,4,10,65,17,False
3,4,8,52,18,False
3,3,14,55,17,False
2,3,15,57,17,False
3,3,12,57,14,False
4,3,13,70,15,False
2,4,8,77,16,False
2,2,10,66,16,False
1,2,8,60,16,False
3,4,8,64,19,False
3,4,10,76,19,False
3,3,11,94,17,False
5,3,18,86,18,False
3,2,11,72,17,False
2,2,10,77,17,False
3,2,12,83,19,False
1,4,14,76,19,False
2,2,10,87,16,False
2,1,10,85,18,False
1,2,8,72,16,False
2,3,11,65,18,False
2,3,10,74,23,False
4,3,12,81,25,False
4,2,12,80,19,False
4,2,10,79,19,False
3,2,10,62,15,False
2,2,11,66,17,False
3,3,12,71,18,False
2,2,11,76,24,False
2,3,12,80,31,False
2,2,11,86,66,False
3,2,9,76,31,False
3,2,10,64,33,False
3,2,10,67,26,False
3,2,12,76,18,False
3,1,10,79,17,False
3,1,11,83,16,False
2,2,9,61,15,False
2,2,11,58,17,False
3,1,14,70,13,False
2,2,13,69,16,False
2,1,10,77,13,False
3,2,11,75,19,False
1,1,9,63,19,False
1,1,7,51,19,False
2,2,8,63,13,False
3,1,7,92,14,False
3,2,9,66,20,False
2,2,10,74,21,False
2,1,9,53,18,False
1,2,10,59,11,False
5,2,14,67,13,False
2,2,12,70,12,False
2,2,8,69,13,False
2,1,7,67,14,False
1,1,8,63,13,False
1,1,7,60,12,False
2,1,7,71,13,False
3,1,8,71,11,False
2,1,8,79,12,False
3,2,9,78,12,False
1,1,9,57,8,False
2,1,9,62,12,False
2,1,13,72,13,False
2,1,12,62,11,False
2,1,9,71,10,False
2,1,8,72,13,False
2,0,8,64,12,False
2,1,8,61,11,False
2,1,8,71,13,False
2,1,10,73,14,False
2,1,9,77,14,False
2,1,10,80,14,False
1,1,9,57,13,False
2,1,8,60,11,False
3,1,11,64,12,False
2,1,9,74,11,False
2,2,6,75,12,False
13,1,8,73,11,False
10,1,7,69,12,False
3,1,8,64,15,False
2,1,9,66,13,False
3,1,8,79,13,False
4,1,10,67,11,False
2,2,9,77,12,False
2,2,8,53,11,False
1,1,7,59,19,False
2,1,10,67,35,False
1,1,7,62,14,False
2,1,6,76,11,False
2,1,7,80,11,False
2,0,7,72,10,False
1,1,7,69,23,False
1,0,7,65,19,False
1,1,6,72,15,False
1,0,8,67,13,True
