Khalida Brohi,Romina Libster,Ben Wellington,Helder Guimarães,Iraola,isPartial
0,0,0,0,15,False
0,0,0,0,44,False
0,0,0,0,18,False
0,0,14,0,42,False
0,0,12,0,30,False
0,0,24,0,42,False
0,0,0,0,25,False
0,0,0,0,58,False
0,0,0,0,32,False
0,0,0,0,11,False
0,0,0,0,11,False
0,0,10,0,36,False
0,0,0,0,22,False
0,0,9,0,23,False
0,0,16,0,12,False
0,0,18,0,18,False
0,0,15,0,23,False
0,0,0,0,16,False
0,0,0,0,20,False
0,0,0,0,8,False
0,0,0,0,28,False
0,0,13,0,39,False
0,0,7,0,39,False
0,0,6,0,22,False
0,0,0,0,14,False
0,0,6,0,20,False
0,0,0,0,40,False
0,0,11,0,19,False
0,0,5,0,32,False
0,0,10,0,21,False
0,0,8,0,28,False
0,0,5,0,21,False
0,0,7,0,18,False
0,0,10,0,16,False
0,0,6,0,24,False
0,0,8,0,39,False
0,0,7,0,29,False
0,0,4,0,38,False
0,0,3,0,35,False
0,0,10,0,17,False
0,0,3,0,24,False
0,0,6,3,25,False
0,0,3,0,12,False
0,0,0,0,23,False
0,0,3,3,28,False
0,0,13,0,33,False
0,0,5,0,17,False
0,0,0,0,29,False
0,0,2,2,22,False
0,0,2,0,30,False
0,0,6,0,23,False
0,0,4,0,36,False
0,0,5,0,26,False
0,0,7,0,18,False
0,0,3,2,22,False
0,0,4,4,41,False
0,0,4,0,35,False
0,0,5,0,33,False
0,0,3,0,31,False
0,0,5,2,31,False
0,0,3,0,29,False
0,0,5,2,30,False
0,0,6,2,29,False
0,0,5,2,31,False
0,0,2,2,32,False
0,0,3,0,23,False
0,0,3,0,27,False
0,0,3,3,29,False
0,0,5,2,39,False
0,0,5,1,36,False
0,0,8,1,33,False
0,0,6,0,33,False
0,0,3,0,39,False
0,0,4,1,24,False
0,0,4,1,21,False
0,0,3,1,28,False
0,0,3,0,30,False
0,0,3,2,28,False
0,0,2,0,18,False
0,1,6,0,26,False
0,0,4,0,31,False
0,0,2,1,32,False
0,0,5,3,41,False
0,0,5,2,31,False
0,0,4,1,26,False
0,0,4,0,31,False
0,0,3,0,36,False
0,0,3,1,28,False
1,0,2,1,33,False
0,0,2,0,28,False
0,0,3,1,25,False
0,0,4,1,33,False
1,0,3,1,32,False
0,0,2,1,25,False
0,0,4,2,28,False
0,0,6,1,25,False
0,0,5,0,22,False
0,0,4,1,27,False
0,0,4,1,52,False
0,0,7,2,28,False
0,0,3,1,37,False
1,0,4,0,26,False
0,0,8,1,24,False
0,0,4,0,23,False
0,0,4,0,23,False
1,0,5,1,23,False
0,0,8,1,21,False
1,0,2,1,24,False
1,0,5,1,28,False
1,0,6,1,29,False
1,0,2,1,20,False
1,1,3,1,24,False
1,0,4,0,23,False
0,0,3,0,24,False
1,0,5,0,22,False
0,0,5,0,23,False
2,0,3,1,24,False
1,0,4,1,24,False
1,0,4,1,25,False
1,0,3,1,26,False
2,0,4,1,22,False
1,0,3,1,24,False
0,0,4,0,27,False
1,0,5,1,20,False
0,0,4,1,20,False
1,0,6,1,21,False
0,0,4,0,22,False
1,1,4,0,30,False
1,0,3,1,33,False
2,0,4,1,28,False
1,0,3,1,29,False
1,1,6,0,19,False
0,0,3,0,22,False
2,1,4,0,27,False
3,0,5,1,33,False
1,0,5,1,36,False
1,0,3,1,100,False
1,0,4,0,40,False
0,0,4,0,49,False
1,0,5,0,35,False
1,0,5,0,28,False
0,0,6,1,23,False
1,0,8,0,19,False
0,0,5,0,19,False
0,0,6,1,24,False
0,0,6,1,19,False
0,0,7,0,22,False
0,0,5,0,20,False
1,0,5,1,24,False
0,0,4,0,25,False
0,0,6,1,27,False
0,0,5,0,16,False
1,0,5,0,22,False
0,0,3,1,24,False
0,0,4,1,29,False
0,0,6,0,19,False
1,0,3,0,19,False
0,0,6,1,21,False
0,0,5,0,21,False
0,0,6,1,19,False
0,0,3,0,17,False
0,0,6,1,19,False
0,0,1,0,17,False
0,0,3,0,14,False
0,0,5,0,15,False
0,0,5,0,14,False
0,0,4,0,15,False
1,0,5,0,12,False
0,0,5,0,16,False
0,0,4,0,20,False
0,0,5,0,17,False
1,0,5,0,14,False
0,0,5,0,18,False
0,0,3,0,16,False
1,0,3,0,17,False
0,0,4,0,17,False
5,0,5,0,17,False
2,0,5,0,19,False
1,0,3,0,16,False
0,0,4,0,17,False
1,0,4,0,15,False
0,0,6,0,17,False
0,0,1,0,15,False
0,0,3,0,15,False
1,0,5,1,21,False
0,0,3,1,15,False
1,0,3,0,19,False
0,0,4,1,18,False
0,0,5,0,16,False
0,0,4,0,16,False
1,0,3,0,17,False
0,0,6,0,17,False
0,0,3,0,25,False
0,0,4,0,50,False
0,0,3,0,21,False
0,1,3,0,13,False
0,0,3,0,12,False
1,1,4,0,18,False
1,0,3,1,31,False
0,0,4,0,26,False
0,0,4,0,19,False
0,0,2,1,16,True
