Anand Giridharadas,Dave Isay,Theaster Gates,Dame Stephanie Shirley,Iraola,isPartial
0,0,0,14,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,12,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,10,0,0,33,False
0,0,0,0,26,False
0,0,0,9,23,False
0,8,0,0,18,False
0,0,0,0,17,False
0,0,0,0,17,False
0,7,0,0,15,False
0,8,0,0,15,False
15,0,0,7,15,False
0,0,7,0,29,False
6,6,6,6,31,False
12,0,0,0,27,False
6,0,0,0,23,False
0,5,5,5,16,False
0,0,0,0,20,False
5,0,0,5,38,False
5,0,5,5,19,False
0,5,5,0,25,False
0,0,0,0,26,False
0,0,0,0,29,False
0,5,0,0,24,False
0,0,0,0,20,False
0,0,0,0,20,False
0,0,0,4,21,False
4,0,0,0,32,False
3,0,0,0,23,False
0,0,0,4,30,False
0,0,0,0,34,False
0,3,0,0,21,False
3,0,0,0,22,False
0,0,0,0,28,False
0,0,0,0,16,False
0,0,0,3,21,False
0,3,0,3,30,False
0,0,0,0,27,False
0,2,0,2,16,False
5,3,0,0,26,False
2,2,2,0,22,False
2,0,2,3,27,False
0,3,0,0,26,False
2,0,2,0,32,False
0,2,2,0,29,False
3,0,0,0,18,False
0,2,0,0,21,False
0,2,2,2,34,False
0,2,3,0,33,False
2,3,0,2,29,False
7,2,2,0,28,False
3,0,0,0,27,False
2,3,2,0,28,False
2,0,0,2,29,False
4,0,2,0,23,False
2,0,3,2,29,False
0,0,2,3,28,False
6,2,2,0,23,False
5,2,0,0,25,False
3,2,3,2,26,False
0,1,1,0,37,False
0,1,1,1,32,False
1,1,1,0,32,False
1,0,3,0,32,False
2,1,1,0,35,False
1,0,2,1,23,False
2,1,2,0,25,False
1,2,5,1,26,False
2,4,4,13,26,False
1,0,1,2,27,False
2,0,1,2,18,False
1,2,1,1,23,False
2,0,3,1,33,False
1,2,2,1,33,False
2,1,2,1,41,False
1,1,2,3,29,False
22,1,1,1,26,False
5,0,1,1,31,False
3,1,3,3,39,False
5,1,2,3,29,False
3,2,3,1,31,False
2,1,3,1,28,False
4,2,2,0,24,False
1,0,3,1,34,False
5,1,2,2,32,False
3,2,4,1,25,False
2,1,3,0,27,False
1,1,5,5,23,False
1,1,2,4,24,False
1,4,5,1,25,False
2,1,5,1,55,False
1,0,3,4,27,False
1,0,2,2,39,False
1,1,6,1,26,False
0,1,4,1,24,False
1,0,6,1,24,False
0,1,6,2,25,False
1,0,7,3,25,False
1,0,5,5,20,False
1,1,6,1,24,False
1,1,5,2,25,False
1,1,4,1,25,False
1,1,4,1,21,False
1,1,4,1,25,False
0,1,5,1,21,False
1,0,6,2,22,False
1,1,4,1,23,False
1,1,3,1,23,False
2,0,6,1,25,False
1,1,4,0,24,False
1,1,6,1,24,False
1,1,5,1,24,False
1,0,9,0,24,False
1,0,7,1,23,False
1,0,27,1,26,False
2,1,9,0,18,False
3,1,7,1,21,False
2,1,4,1,19,False
1,1,6,1,20,False
1,0,4,1,29,False
1,1,8,1,30,False
2,1,6,1,26,False
1,1,4,1,26,False
1,0,4,1,19,False
1,1,7,1,22,False
1,1,6,1,25,False
5,5,6,6,31,False
3,3,7,11,36,False
1,2,9,3,100,False
2,2,5,2,40,False
2,1,7,2,48,False
1,2,6,1,33,False
1,1,8,3,27,False
1,1,16,3,22,False
2,2,9,1,20,False
3,1,9,1,22,False
3,1,6,1,24,False
3,1,8,2,18,False
2,1,6,2,21,False
4,1,9,1,20,False
3,2,7,0,26,False
2,1,7,1,24,False
1,0,6,1,27,False
5,1,5,1,16,False
2,2,11,1,22,False
2,1,10,2,22,False
12,2,8,2,27,False
4,1,7,1,20,False
5,1,8,1,17,False
2,1,8,1,19,False
4,0,12,1,18,False
2,1,8,1,17,False
1,1,9,1,19,False
0,1,6,1,18,False
1,1,4,1,17,False
1,1,3,1,15,False
1,1,10,1,14,False
1,1,8,1,14,False
1,1,9,1,15,False
4,1,5,0,11,False
3,0,7,1,16,False
4,1,5,5,18,False
3,0,6,3,17,False
2,1,10,10,12,False
1,1,7,1,16,False
1,1,7,1,17,False
1,2,6,2,15,False
10,1,6,1,16,False
20,1,8,2,17,False
13,1,7,2,19,False
10,2,6,1,15,False
7,0,5,1,15,False
26,1,5,1,15,False
24,0,8,2,18,False
24,1,6,1,15,False
13,0,9,4,16,False
12,1,6,1,19,False
11,1,6,6,15,False
9,1,4,2,19,False
9,1,5,1,19,False
14,1,8,8,15,False
27,1,7,1,16,False
23,0,6,1,17,False
30,1,6,2,15,False
20,0,6,1,25,False
43,0,6,1,46,False
18,0,3,1,20,False
17,1,9,7,13,False
26,0,8,1,13,False
9,1,8,1,16,False
14,0,4,0,28,False
15,0,4,0,26,False
8,1,5,1,19,False
30,1,7,1,16,True
