Cosmin Mihaiu,Steven Wise,Chris Burkard,Jeffrey Brown,Iraola,isPartial
0,14,0,61,28,False
0,14,0,90,37,False
0,34,0,46,17,False
0,13,0,49,31,False
0,15,0,27,27,False
0,35,0,65,35,False
0,12,0,28,28,False
0,0,0,37,39,False
0,15,0,38,31,False
0,11,0,42,21,False
0,21,0,28,14,False
0,20,0,52,33,False
0,17,0,54,26,False
0,18,0,57,23,False
0,13,0,35,18,False
0,8,0,28,17,False
0,7,0,22,17,False
0,19,0,55,15,False
0,15,0,51,15,False
0,7,0,61,15,False
0,7,0,49,29,False
0,6,0,44,31,False
0,10,0,46,27,False
0,14,0,37,23,False
0,8,0,40,16,False
0,11,0,30,20,False
0,21,0,35,38,False
0,5,0,43,19,False
0,5,0,44,25,False
0,13,0,43,26,False
0,10,5,44,29,False
0,11,0,38,24,False
0,9,0,55,20,False
0,6,4,38,20,False
0,5,0,40,21,False
0,8,0,28,32,False
0,3,3,31,23,False
0,15,4,25,30,False
0,13,3,30,34,False
0,7,7,46,21,False
0,7,0,38,22,False
0,9,0,54,28,False
0,13,3,32,16,False
0,6,0,34,21,False
0,6,0,32,30,False
0,4,2,42,27,False
0,8,2,25,16,False
0,8,0,26,26,False
0,5,0,23,22,False
0,6,3,28,27,False
0,5,2,36,26,False
0,4,2,32,32,False
0,5,2,26,29,False
0,4,4,31,18,False
0,8,0,26,21,False
0,5,2,28,34,False
0,4,2,25,33,False
0,4,2,35,29,False
0,6,2,26,28,False
0,5,2,31,27,False
0,6,2,35,28,False
0,8,0,26,29,False
0,3,0,27,23,False
0,7,3,34,29,False
0,6,2,28,28,False
0,4,0,26,23,False
0,6,0,27,25,False
0,6,3,34,26,False
0,5,3,43,37,False
0,2,0,25,32,False
0,5,3,26,32,False
0,4,0,30,32,False
0,7,0,38,35,False
0,3,1,39,23,False
0,5,1,28,25,False
0,5,2,27,26,False
0,4,0,31,26,False
0,3,2,30,27,False
0,2,1,32,18,False
0,4,1,31,23,False
0,3,2,29,33,False
0,3,3,32,33,False
0,3,1,26,41,False
0,4,1,25,29,False
0,4,1,29,26,False
0,5,1,29,31,False
0,4,2,31,39,False
0,3,1,22,29,False
0,5,3,39,31,False
0,3,2,25,28,False
0,4,1,35,24,False
0,2,3,26,34,False
0,5,2,22,32,False
0,4,2,28,25,False
0,4,3,28,27,False
1,4,1,30,23,False
0,2,2,33,24,False
0,5,1,25,25,False
0,3,1,26,55,False
0,4,2,30,27,False
0,4,2,31,39,False
0,2,1,31,26,False
0,4,3,30,24,False
0,2,2,30,24,False
0,4,2,30,25,False
0,4,2,26,25,False
0,4,2,25,20,False
0,3,3,31,24,False
0,3,3,32,25,False
0,4,3,28,25,False
0,3,2,26,21,False
0,4,4,29,25,False
0,3,3,25,21,False
0,3,4,27,22,False
0,2,4,26,23,False
0,4,4,29,23,False
0,3,4,29,25,False
0,4,5,26,24,False
1,3,5,28,24,False
1,4,4,25,24,False
0,3,5,31,24,False
0,2,3,25,23,False
0,1,4,23,26,False
0,7,6,26,18,False
0,5,5,26,21,False
0,3,5,22,19,False
0,6,9,24,20,False
0,5,10,27,29,False
0,5,7,27,30,False
0,3,8,22,26,False
0,5,9,23,26,False
0,4,8,23,19,False
0,2,9,26,22,False
0,3,10,23,25,False
0,2,13,26,31,False
0,4,7,23,36,False
1,4,17,27,100,False
0,3,19,28,40,False
1,3,16,25,48,False
0,3,15,24,33,False
0,3,14,26,27,False
0,3,13,22,22,False
0,4,16,24,20,False
0,4,17,29,22,False
0,4,15,24,24,False
0,3,12,26,18,False
0,3,11,22,21,False
0,3,10,25,20,False
0,3,8,19,26,False
0,5,8,20,24,False
0,3,9,19,27,False
0,2,12,19,16,False
0,4,10,23,22,False
1,3,16,24,22,False
0,4,15,21,27,False
0,3,15,22,20,False
0,3,22,21,17,False
0,4,15,24,19,False
0,4,14,24,18,False
0,3,14,22,17,False
0,2,16,23,19,False
0,2,14,18,18,False
0,3,16,19,17,False
0,2,17,20,15,False
0,5,17,15,14,False
0,3,15,19,14,False
0,5,16,23,15,False
0,3,17,19,11,False
0,3,17,21,16,False
0,2,12,20,18,False
0,4,12,19,17,False
0,2,11,20,12,False
0,3,14,20,16,False
0,2,13,17,17,False
0,2,14,15,15,False
0,2,9,21,16,False
0,3,9,16,17,False
0,2,12,22,19,False
0,3,12,17,15,False
0,2,10,19,15,False
0,2,11,19,15,False
0,3,11,18,18,False
0,2,7,15,15,False
0,3,7,17,16,False
0,3,6,15,19,False
0,4,9,17,15,False
0,1,5,22,19,False
0,3,6,35,19,False
0,3,8,23,15,False
0,3,6,22,16,False
0,3,8,23,17,False
0,2,12,17,15,False
0,2,8,20,25,False
0,3,6,17,46,False
0,2,7,15,20,False
0,2,7,18,13,False
0,2,7,20,13,False
0,2,5,23,16,False
1,2,5,27,28,False
0,2,6,18,26,False
0,2,8,20,19,False
0,1,8,20,16,True
