Benedetta Berti,Rich Benjamin,Matt Kenyon,Patience Mthunzi,Iraola,isPartial
0,14,0,0,28,False
0,21,0,0,37,False
0,26,0,0,17,False
0,0,13,0,31,False
0,12,11,0,27,False
0,12,11,0,35,False
0,18,12,0,28,False
0,11,0,0,39,False
0,10,20,0,31,False
0,21,10,0,21,False
0,11,0,0,14,False
0,0,0,0,33,False
0,13,9,0,26,False
0,9,9,0,23,False
0,15,8,0,18,False
0,17,0,0,17,False
0,15,0,0,17,False
0,15,0,0,15,False
0,0,8,0,15,False
0,22,7,0,15,False
0,13,7,0,29,False
0,6,0,0,31,False
0,6,6,0,27,False
0,6,0,0,23,False
0,11,0,0,16,False
0,8,6,0,20,False
0,5,5,0,38,False
0,0,5,0,19,False
0,9,5,0,25,False
5,7,0,0,26,False
0,5,5,0,29,False
0,9,5,0,24,False
0,17,4,0,20,False
0,7,0,0,20,False
0,0,8,0,21,False
0,4,4,0,32,False
0,9,3,0,23,False
0,11,0,0,30,False
0,5,0,0,34,False
0,5,3,0,21,False
0,6,3,0,22,False
0,3,3,0,28,False
0,7,0,0,16,False
0,6,0,0,21,False
0,7,3,0,30,False
2,5,0,0,27,False
0,5,4,0,16,False
0,8,3,0,26,False
0,3,2,0,22,False
0,8,0,0,27,False
2,5,0,0,26,False
0,4,2,0,32,False
0,5,2,0,29,False
0,3,2,0,18,False
2,3,2,0,21,False
0,5,0,2,34,False
2,4,2,0,33,False
0,4,2,0,29,False
2,8,4,0,28,False
0,4,3,0,27,False
2,6,5,0,28,False
2,6,5,0,29,False
0,5,2,0,23,False
0,4,2,0,29,False
0,6,3,0,28,False
2,7,2,0,23,False
0,5,3,0,25,False
0,4,2,0,26,False
0,7,3,0,37,False
1,8,1,0,32,False
0,10,1,0,32,False
1,7,1,1,32,False
1,5,4,0,35,False
0,5,1,0,23,False
1,8,2,0,25,False
1,5,3,0,26,False
0,3,2,0,26,False
0,4,1,0,27,False
0,4,2,0,18,False
1,5,1,0,23,False
0,5,2,0,33,False
0,4,1,0,33,False
0,2,2,0,41,False
0,4,1,0,29,False
1,5,2,0,26,False
0,5,1,0,31,False
1,2,1,1,39,False
1,3,1,0,29,False
0,8,2,0,31,False
0,2,1,1,28,False
0,4,1,0,24,False
1,4,1,0,34,False
2,6,2,1,32,False
1,3,1,0,25,False
1,2,2,0,27,False
1,4,1,0,23,False
1,3,1,0,24,False
1,5,1,1,25,False
1,4,1,0,55,False
1,6,1,1,27,False
1,3,2,1,39,False
0,5,3,0,26,False
0,4,2,0,24,False
1,5,2,0,24,False
1,5,3,0,25,False
0,4,1,0,25,False
1,2,1,0,20,False
1,2,1,1,24,False
1,6,1,1,25,False
0,4,2,0,25,False
1,4,1,0,21,False
1,4,1,0,25,False
1,5,2,0,21,False
1,5,3,0,22,False
0,8,1,1,23,False
1,6,1,0,23,False
1,5,1,0,25,False
0,4,1,0,24,False
1,3,1,0,24,False
1,5,1,0,24,False
0,6,1,0,24,False
1,2,1,0,23,False
0,4,1,0,26,False
0,4,2,0,18,False
0,5,1,0,21,False
1,6,1,0,19,False
1,4,1,1,20,False
1,4,1,0,29,False
1,5,1,1,30,False
1,3,1,0,26,False
1,4,1,0,26,False
1,4,1,0,19,False
0,5,1,0,22,False
1,4,2,0,25,False
0,4,1,0,31,False
1,4,1,0,36,False
0,4,1,0,100,False
0,5,1,0,40,False
1,4,1,0,48,False
8,7,2,1,33,False
2,7,1,1,27,False
2,5,1,0,22,False
3,6,1,0,20,False
1,3,1,0,22,False
1,4,1,0,24,False
1,6,1,1,18,False
0,5,2,0,21,False
1,4,1,0,20,False
0,6,1,0,26,False
0,4,1,0,24,False
0,4,1,0,27,False
1,4,1,0,16,False
1,3,1,0,22,False
1,4,1,0,22,False
1,5,0,0,27,False
1,4,1,0,20,False
1,5,1,0,17,False
1,5,1,0,19,False
1,5,2,0,18,False
1,6,1,0,17,False
0,5,1,0,19,False
0,4,2,0,18,False
0,5,0,0,17,False
1,4,1,0,15,False
1,4,1,0,14,False
0,3,1,0,14,False
1,5,1,0,15,False
1,4,1,0,11,False
0,5,1,0,16,False
0,5,1,0,18,False
1,3,1,1,17,False
0,4,1,0,12,False
0,4,1,0,16,False
1,6,1,0,17,False
1,3,1,0,15,False
1,7,1,0,16,False
1,6,1,0,17,False
0,4,1,0,19,False
0,4,1,0,15,False
1,4,1,0,15,False
1,4,0,0,15,False
0,5,1,0,18,False
0,3,1,0,15,False
1,5,1,0,16,False
0,6,1,0,19,False
1,4,1,0,15,False
0,4,1,0,19,False
0,4,1,0,19,False
1,5,1,0,15,False
1,6,1,0,16,False
0,5,1,0,17,False
0,5,1,0,15,False
1,5,1,0,25,False
1,4,1,0,46,False
0,5,1,0,20,False
1,6,1,0,13,False
0,9,1,0,13,False
0,7,0,0,16,False
0,8,1,0,28,False
1,8,1,0,26,False
0,8,1,0,19,False
0,7,0,0,16,True
