Alix Generous,Manuel Lima,Tony Wyss-Coray,Dustin Yellin,Iraola,isPartial
0,28,0,0,28,False
0,49,0,0,37,False
0,17,0,0,17,False
0,27,13,0,31,False
0,40,0,0,27,False
0,12,0,0,35,False
0,16,0,0,28,False
0,11,0,0,39,False
0,24,0,0,31,False
0,18,0,0,21,False
0,18,0,0,14,False
0,20,0,0,33,False
0,17,0,9,26,False
0,18,0,0,23,False
0,23,0,0,18,False
0,17,0,0,17,False
0,18,0,0,17,False
0,25,7,0,15,False
0,18,0,0,15,False
0,18,0,0,15,False
0,29,0,0,29,False
0,29,0,6,31,False
0,25,0,6,27,False
0,12,0,0,23,False
0,14,0,0,16,False
0,15,0,6,20,False
0,19,0,5,38,False
0,19,0,0,19,False
0,9,0,5,25,False
0,13,0,0,26,False
0,24,0,5,29,False
0,21,0,0,24,False
0,17,0,4,20,False
0,22,4,0,20,False
0,27,0,0,21,False
0,21,0,0,32,False
0,13,0,0,23,False
0,13,0,0,30,False
0,14,3,0,34,False
0,21,3,3,21,False
0,15,0,3,22,False
0,20,3,3,28,False
0,15,3,3,16,False
0,13,0,3,21,False
0,13,0,3,30,False
0,15,5,0,27,False
0,24,0,5,16,False
0,18,3,3,26,False
0,30,0,2,22,False
0,16,2,0,27,False
0,12,0,4,26,False
0,14,0,0,32,False
0,17,0,4,29,False
0,27,2,0,18,False
0,31,0,2,21,False
0,25,0,2,34,False
0,24,0,2,33,False
0,19,5,2,29,False
0,20,0,2,28,False
0,15,0,2,27,False
0,22,0,2,28,False
0,15,0,3,29,False
0,23,0,2,23,False
0,24,0,4,29,False
0,22,0,4,28,False
0,25,0,2,23,False
0,22,2,5,25,False
0,18,0,0,26,False
0,33,0,3,37,False
0,23,0,3,32,False
0,26,0,2,32,False
0,22,1,2,32,False
0,23,3,2,35,False
0,21,1,1,23,False
0,19,1,4,25,False
0,25,1,2,26,False
0,30,0,2,26,False
0,23,0,0,27,False
0,24,0,2,18,False
0,22,0,2,23,False
0,30,0,3,33,False
0,24,1,3,33,False
0,19,0,2,41,False
0,20,1,2,29,False
0,24,1,1,26,False
0,25,1,2,31,False
0,29,0,2,39,False
0,36,0,2,29,False
0,33,1,2,31,False
0,30,1,2,28,False
0,21,0,2,24,False
0,29,1,3,34,False
0,24,1,2,32,False
0,30,1,3,25,False
0,25,1,1,27,False
0,23,1,2,23,False
0,55,1,6,24,False
0,24,0,3,25,False
0,23,1,4,55,False
0,27,0,2,27,False
0,25,0,2,39,False
0,22,1,2,26,False
0,26,1,3,24,False
0,26,1,2,24,False
1,26,0,4,25,False
0,22,1,2,25,False
0,21,1,3,20,False
0,19,1,2,24,False
0,21,0,2,25,False
0,19,1,1,25,False
1,24,0,1,21,False
1,19,0,2,25,False
0,19,0,16,21,False
1,22,1,27,22,False
0,19,0,11,23,False
1,19,0,6,23,False
1,23,1,6,25,False
1,20,1,3,24,False
0,20,1,5,24,False
0,23,1,4,24,False
0,20,0,5,24,False
0,21,0,3,23,False
0,20,1,11,26,False
0,21,0,6,18,False
0,21,1,9,21,False
1,20,1,5,19,False
0,19,1,4,20,False
0,19,1,2,29,False
0,25,1,6,30,False
0,19,0,5,26,False
0,28,0,4,26,False
0,17,1,3,19,False
0,17,1,7,22,False
0,21,0,10,25,False
0,19,0,7,31,False
0,23,0,6,36,False
0,18,0,6,100,False
0,23,0,3,40,False
0,17,0,6,48,False
2,23,2,13,33,False
2,21,1,10,27,False
0,18,1,7,22,False
2,18,1,7,20,False
1,15,1,3,22,False
1,16,0,4,24,False
1,16,1,4,18,False
1,18,1,3,21,False
0,16,0,5,20,False
0,15,0,4,26,False
0,16,0,4,24,False
1,16,0,4,27,False
0,20,0,2,16,False
1,16,0,4,22,False
0,18,0,3,22,False
1,22,0,3,27,False
1,14,1,4,20,False
1,19,1,3,17,False
0,15,0,3,19,False
0,14,1,3,18,False
1,14,1,4,17,False
0,15,0,3,19,False
0,18,1,15,18,False
0,17,0,6,17,False
0,17,0,2,15,False
1,18,0,4,14,False
0,15,1,3,14,False
1,14,0,3,15,False
0,15,1,3,11,False
0,12,0,4,16,False
0,17,0,5,18,False
1,13,1,3,17,False
0,16,0,4,12,False
1,14,0,3,16,False
0,12,0,3,17,False
0,13,0,3,15,False
0,16,0,3,16,False
0,21,0,2,17,False
0,14,0,3,19,False
0,14,1,3,15,False
0,13,1,3,15,False
0,15,1,2,15,False
1,14,0,3,18,False
0,15,0,3,15,False
0,13,1,2,16,False
1,17,0,3,19,False
0,13,1,3,15,False
0,16,0,4,19,False
0,17,1,2,19,False
0,13,0,2,15,False
0,15,1,4,16,False
0,15,0,2,17,False
0,11,0,3,15,False
0,14,0,2,25,False
0,14,1,2,46,False
0,11,0,1,20,False
0,11,1,1,13,False
0,12,1,2,13,False
1,13,0,2,16,False
0,12,1,1,28,False
0,12,1,1,26,False
0,14,1,5,19,False
0,13,0,4,16,True
