Chieko Asakawa,Guillaume Néry,Danit Peleg,Raymond Wang,Iraola,isPartial
0,0,0,0,28,False
0,0,0,14,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,12,27,False
0,0,0,11,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,15,31,False
0,0,0,10,21,False
0,0,0,0,14,False
0,0,0,10,33,False
0,9,0,9,26,False
0,0,0,12,23,False
0,0,0,0,18,False
0,0,0,9,17,False
0,0,0,7,17,False
0,0,0,8,15,False
0,0,0,8,15,False
0,0,0,7,15,False
0,0,0,7,29,False
0,0,0,0,31,False
6,0,0,6,27,False
0,0,0,6,23,False
5,0,0,5,16,False
0,0,0,0,20,False
0,0,0,5,38,False
0,0,0,5,19,False
5,0,0,5,25,False
0,0,0,5,26,False
0,0,0,0,29,False
0,0,0,5,24,False
4,7,0,9,20,False
0,0,0,0,20,False
0,0,0,6,21,False
0,0,0,4,32,False
0,0,0,3,23,False
0,4,0,5,30,False
0,0,0,3,34,False
3,0,0,0,21,False
0,4,0,3,22,False
0,0,0,6,28,False
0,0,0,4,16,False
0,0,0,3,21,False
0,3,0,5,30,False
0,0,0,4,27,False
0,2,0,4,16,False
0,3,0,4,26,False
0,0,0,2,22,False
0,0,0,2,27,False
0,0,0,2,26,False
2,0,0,2,32,False
0,0,0,3,29,False
0,0,0,4,18,False
2,0,0,3,21,False
0,2,0,6,34,False
0,0,0,3,33,False
0,0,0,0,29,False
0,0,0,2,28,False
0,2,0,2,27,False
0,2,0,3,28,False
0,0,0,2,29,False
0,2,3,2,23,False
2,3,0,3,29,False
0,0,0,4,28,False
1,0,0,2,23,False
2,2,0,4,25,False
0,2,0,3,26,False
0,0,0,2,37,False
0,1,0,2,32,False
1,1,0,3,32,False
0,0,0,1,32,False
1,0,0,2,35,False
0,0,0,3,23,False
0,1,0,2,25,False
0,1,0,2,26,False
0,0,0,2,26,False
0,8,0,2,27,False
1,3,0,2,18,False
0,2,0,3,23,False
0,2,0,3,33,False
1,2,0,2,33,False
0,1,0,2,41,False
0,2,0,3,29,False
1,4,0,2,26,False
1,2,0,3,31,False
0,1,0,2,39,False
0,1,1,1,29,False
1,1,0,1,31,False
0,2,0,2,28,False
0,3,0,2,24,False
0,3,0,1,34,False
1,3,0,1,32,False
0,1,0,2,25,False
0,1,0,2,27,False
1,1,0,2,23,False
0,1,0,2,24,False
0,1,0,2,25,False
0,1,0,2,55,False
1,1,0,2,27,False
1,3,0,2,39,False
0,2,0,4,26,False
1,1,0,1,24,False
0,1,0,1,24,False
1,5,0,1,25,False
0,1,0,1,25,False
0,1,0,1,20,False
0,1,0,1,24,False
0,1,0,1,25,False
0,1,0,2,25,False
0,1,0,2,21,False
1,1,0,2,25,False
1,2,0,2,21,False
1,1,0,1,22,False
1,1,0,1,23,False
1,1,0,1,23,False
0,1,0,2,25,False
1,1,1,2,24,False
0,1,0,2,24,False
0,1,0,1,24,False
0,1,0,1,24,False
0,3,0,2,23,False
1,2,0,1,26,False
0,2,0,1,18,False
0,4,0,2,21,False
0,3,0,1,19,False
0,2,0,1,20,False
0,1,0,3,29,False
1,2,0,2,30,False
0,1,0,2,26,False
1,1,0,2,26,False
0,3,0,1,19,False
0,1,0,1,22,False
0,5,0,1,25,False
0,2,0,2,31,False
0,1,0,3,36,False
0,1,0,5,100,False
0,2,0,2,40,False
0,1,1,2,48,False
0,2,4,2,33,False
0,13,1,1,27,False
0,3,2,2,22,False
1,3,1,2,20,False
1,1,4,3,22,False
1,3,3,3,24,False
0,1,1,4,18,False
1,2,1,2,21,False
0,1,1,2,20,False
2,0,2,2,26,False
0,2,1,2,24,False
0,1,1,3,27,False
0,2,1,1,16,False
0,1,1,1,22,False
0,1,1,1,22,False
0,1,1,2,27,False
1,1,0,2,20,False
0,1,1,2,17,False
1,0,1,2,19,False
0,2,1,1,18,False
1,1,1,1,17,False
0,1,1,2,19,False
0,1,0,1,18,False
1,6,0,2,17,False
0,2,1,1,15,False
0,1,0,2,14,False
1,1,1,2,14,False
0,2,1,1,15,False
0,0,1,1,11,False
1,1,0,2,16,False
0,1,1,2,18,False
0,1,1,1,17,False
0,1,1,1,12,False
1,2,1,1,16,False
0,6,1,2,17,False
0,1,1,2,15,False
0,1,1,1,16,False
0,2,1,1,17,False
0,1,1,1,19,False
0,0,1,1,15,False
0,1,1,2,15,False
0,3,1,1,15,False
1,8,0,1,18,False
1,2,1,1,15,False
0,4,1,1,16,False
1,6,0,1,19,False
0,3,1,1,15,False
0,3,1,1,19,False
1,2,0,1,19,False
1,3,0,1,15,False
0,2,1,2,16,False
1,2,1,1,17,False
0,3,1,1,15,False
0,2,2,2,25,False
1,4,2,2,46,False
0,3,0,1,20,False
0,2,0,1,13,False
0,2,1,1,13,False
0,2,1,1,16,False
0,2,0,1,28,False
0,1,1,1,26,False
0,1,0,1,19,False
1,1,0,2,16,True
