Nicole Paris and Ed Cage,Paul Greenberg,Jane Fonda and Lily Tomlin,António Guterres,Iraola,isPartial
0,28,0,14,28,False
0,19,0,0,37,False
0,26,0,17,17,False
0,33,0,0,31,False
0,23,0,0,27,False
0,11,0,12,35,False
0,24,0,12,28,False
0,22,0,0,39,False
0,21,0,10,31,False
0,26,0,0,21,False
0,21,0,11,14,False
0,15,0,10,33,False
0,21,0,13,26,False
0,24,0,9,23,False
0,11,0,0,18,False
0,26,0,8,17,False
0,11,0,7,17,False
0,20,0,10,15,False
0,8,0,15,15,False
0,11,0,7,15,False
0,18,0,7,29,False
0,6,0,0,31,False
0,6,0,19,27,False
0,14,0,0,23,False
0,13,0,5,16,False
0,7,0,11,20,False
0,14,0,5,38,False
0,19,0,0,19,False
0,14,0,0,25,False
0,12,0,5,26,False
0,11,0,0,29,False
0,15,5,0,24,False
0,12,0,0,20,False
0,9,0,4,20,False
0,12,0,4,21,False
0,15,0,0,32,False
0,16,0,5,23,False
0,11,0,4,30,False
0,10,0,5,34,False
0,11,0,3,21,False
0,12,0,3,22,False
0,15,0,6,28,False
0,16,0,0,16,False
0,7,0,0,21,False
0,7,0,0,30,False
0,14,0,2,27,False
0,8,0,2,16,False
0,7,3,3,26,False
0,7,0,0,22,False
0,15,0,5,27,False
0,9,0,0,26,False
0,8,0,2,32,False
0,8,0,2,29,False
0,5,0,2,18,False
0,8,0,2,21,False
0,8,0,2,34,False
0,6,0,2,33,False
0,8,0,2,29,False
0,12,0,4,28,False
0,9,0,0,27,False
0,8,2,3,28,False
0,9,0,2,29,False
0,9,0,3,23,False
0,10,0,2,29,False
0,10,2,2,28,False
0,6,0,0,23,False
0,9,0,0,25,False
0,9,0,2,26,False
0,9,0,1,37,False
0,9,0,3,32,False
0,8,0,3,32,False
0,8,0,1,32,False
0,10,0,2,35,False
0,7,0,3,23,False
0,12,0,1,25,False
0,9,0,2,26,False
0,8,0,1,26,False
0,11,0,1,27,False
0,15,0,2,18,False
0,12,0,1,23,False
0,10,0,1,33,False
0,9,0,1,33,False
0,9,0,1,41,False
0,10,0,1,29,False
0,7,0,1,26,False
0,6,0,1,31,False
0,11,0,1,39,False
0,8,0,2,29,False
0,7,0,1,31,False
0,6,0,1,28,False
0,13,0,1,24,False
0,8,1,1,34,False
0,8,0,1,32,False
0,8,0,2,25,False
0,13,0,1,27,False
0,5,0,2,23,False
0,9,0,1,24,False
0,8,0,1,25,False
0,7,0,1,55,False
0,7,0,1,27,False
0,8,0,1,39,False
0,6,0,1,26,False
0,7,0,1,24,False
0,8,0,2,24,False
0,8,1,1,25,False
0,8,0,2,25,False
0,8,0,1,20,False
0,5,0,1,24,False
0,8,0,1,25,False
0,8,0,0,25,False
0,5,1,1,21,False
0,5,0,1,25,False
0,6,0,1,21,False
0,5,0,1,22,False
0,5,1,1,23,False
0,5,0,1,23,False
0,10,0,1,25,False
0,6,0,1,24,False
0,4,1,1,24,False
0,7,0,1,24,False
0,6,0,1,24,False
0,4,1,1,23,False
0,6,1,1,26,False
0,6,0,2,18,False
0,6,0,1,21,False
0,7,0,1,19,False
0,10,0,1,20,False
0,6,1,1,29,False
0,6,1,1,30,False
0,6,0,1,26,False
0,4,1,1,26,False
0,4,1,1,19,False
0,5,6,1,22,False
0,5,1,1,25,False
0,5,1,1,31,False
0,6,5,1,36,False
0,4,61,0,100,False
0,4,26,1,40,False
0,4,19,1,48,False
0,4,16,2,33,False
0,4,10,3,27,False
0,4,7,3,22,False
0,5,7,1,20,False
0,7,9,1,22,False
0,6,8,3,24,False
0,4,6,3,18,False
0,5,4,1,21,False
0,5,6,1,20,False
0,4,34,2,26,False
0,4,16,1,24,False
0,5,11,2,27,False
0,5,7,2,16,False
0,4,5,3,22,False
0,5,5,41,22,False
0,4,3,5,27,False
0,5,4,11,20,False
0,5,8,15,17,False
0,5,6,7,19,False
0,4,20,6,18,False
0,8,19,5,17,False
0,6,13,6,19,False
0,4,8,6,18,False
0,4,9,4,17,False
0,3,7,3,15,False
0,3,13,11,14,False
0,5,8,6,14,False
0,3,7,6,15,False
0,4,6,5,11,False
0,4,30,7,16,False
0,3,21,5,18,False
0,3,13,5,17,False
0,4,8,7,12,False
0,4,8,4,16,False
0,4,7,4,17,False
0,7,8,3,15,False
0,5,7,6,16,False
0,4,8,6,17,False
0,4,5,7,19,False
0,3,5,9,15,False
0,3,5,5,15,False
0,3,66,5,15,False
0,40,23,4,18,False
0,14,12,5,15,False
0,5,9,4,16,False
0,3,7,6,19,False
0,3,7,5,15,False
0,4,10,5,19,False
0,4,7,4,19,False
0,3,7,7,15,False
0,6,7,5,16,False
0,4,5,5,17,False
0,4,5,5,15,False
0,4,35,5,25,False
0,4,17,5,46,False
0,3,10,11,20,False
0,2,9,16,13,False
0,3,9,9,13,False
0,2,6,9,16,False
0,4,6,11,28,False
0,3,5,7,26,False
0,2,7,9,19,False
0,2,5,8,16,True
