Moshe Safdie,Jill Sobule + Julia Sweeney,Raspyni Brothers,Joseph Lekuton,Iraola,isPartial
11,29,0,0,14,False
29,14,0,7,11,False
13,87,0,0,17,False
20,27,0,0,14,False
18,65,0,6,9,False
18,18,0,0,12,False
15,18,0,0,12,False
6,37,6,6,23,False
21,47,0,0,16,False
13,56,0,11,11,False
11,48,0,0,5,False
0,27,0,0,7,False
11,48,0,4,13,False
7,37,0,0,14,False
10,33,0,4,6,False
15,37,0,0,9,False
6,38,0,0,11,False
6,100,0,4,12,False
16,27,0,0,14,False
11,24,0,4,7,False
10,36,0,0,12,False
8,37,0,0,16,False
19,35,0,0,13,False
14,27,0,3,13,False
10,22,3,3,10,False
11,24,0,0,10,False
17,25,0,0,21,False
10,14,0,0,12,False
5,23,0,2,18,False
5,49,3,0,19,False
8,16,0,3,16,False
5,28,0,0,10,False
12,22,0,0,7,False
10,38,2,0,6,False
13,44,0,0,13,False
2,39,0,0,12,False
4,27,0,0,10,False
11,23,2,0,14,False
8,25,0,2,14,False
9,45,0,0,10,False
9,32,0,1,11,False
3,31,0,0,10,False
6,24,0,0,14,False
4,22,0,0,11,False
8,20,0,3,15,False
6,24,0,1,11,False
8,25,1,0,11,False
3,23,1,1,14,False
8,31,0,2,11,False
8,25,2,2,12,False
9,30,1,0,14,False
11,24,1,3,14,False
6,26,2,2,12,False
5,39,0,0,6,False
5,46,0,0,8,False
5,36,0,0,18,False
5,27,0,0,16,False
9,20,1,0,16,False
5,17,0,1,15,False
5,22,1,1,16,False
5,20,1,2,13,False
5,19,0,0,14,False
6,21,1,1,15,False
9,24,1,1,15,False
5,23,1,0,16,False
4,26,0,1,15,False
4,24,0,1,14,False
4,44,0,0,15,False
5,21,0,1,18,False
6,21,1,0,15,False
6,18,0,1,20,False
5,42,0,1,17,False
6,24,1,0,15,False
8,18,0,1,11,False
5,19,0,1,12,False
9,20,1,1,13,False
6,21,0,1,11,False
8,20,0,1,13,False
9,16,0,1,9,False
7,18,1,0,11,False
6,19,0,1,12,False
7,16,0,1,15,False
7,17,1,1,22,False
5,12,1,0,18,False
7,16,0,0,14,False
7,13,0,0,23,False
7,18,0,1,19,False
9,28,1,0,16,False
4,16,0,0,18,False
6,15,0,0,15,False
3,14,0,0,12,False
10,15,0,0,18,False
9,12,0,0,17,False
10,11,0,0,14,False
9,12,0,1,12,False
8,13,0,1,10,False
6,12,1,1,13,False
7,10,0,0,14,False
8,14,0,0,22,False
9,13,0,0,16,False
6,15,1,0,23,False
4,18,0,0,10,False
5,13,0,0,11,False
6,11,0,0,11,False
7,13,1,0,11,False
6,10,0,1,11,False
4,10,0,0,12,False
6,9,0,0,11,False
4,11,0,0,12,False
5,12,1,0,12,False
6,12,0,0,9,False
5,20,0,1,10,False
3,11,0,0,11,False
4,12,0,0,10,False
4,13,0,0,9,False
5,10,0,0,12,False
5,9,0,0,13,False
6,10,0,0,13,False
6,14,0,0,12,False
4,11,0,0,11,False
5,14,0,0,12,False
4,9,0,1,14,False
5,11,0,0,13,False
11,11,0,0,10,False
6,11,0,0,13,False
4,8,0,0,11,False
4,10,0,0,13,False
5,10,0,0,14,False
7,11,0,1,17,False
9,14,0,0,14,False
5,23,0,1,14,False
6,15,0,0,11,False
5,11,0,0,12,False
5,15,0,0,14,False
5,8,0,0,17,False
5,10,0,0,21,False
5,7,0,0,48,False
5,9,0,0,21,False
3,8,0,0,22,False
6,11,0,0,19,False
4,7,0,0,13,False
5,7,0,0,12,False
5,7,0,0,11,False
3,8,0,0,8,False
4,6,0,1,11,False
4,7,0,0,8,False
4,7,0,0,11,False
5,5,0,0,9,False
4,4,0,0,13,False
3,7,0,0,14,False
2,5,0,0,13,False
3,5,0,0,10,False
4,7,0,0,9,False
3,4,0,1,13,False
4,5,0,0,14,False
2,7,0,0,12,False
4,7,0,0,8,False
4,7,0,0,10,False
5,7,0,0,9,False
4,5,0,1,9,False
4,5,0,0,10,False
4,3,0,0,9,False
4,4,0,0,8,False
4,6,0,0,8,False
4,6,0,0,8,False
3,3,0,1,9,False
4,5,0,0,9,False
4,5,0,0,6,False
2,6,0,0,8,False
4,4,0,0,9,False
4,4,0,0,8,False
4,5,0,0,7,False
3,5,0,0,9,False
4,4,0,0,9,False
2,4,0,0,8,False
2,4,0,0,9,False
4,6,0,0,10,False
3,7,0,0,9,False
3,5,0,0,10,False
3,5,0,0,9,False
4,6,0,0,7,False
5,5,0,0,9,False
7,8,0,0,7,False
10,13,0,0,9,False
4,9,0,0,8,False
3,6,0,0,8,False
3,8,0,0,10,False
3,8,0,0,8,False
4,7,0,0,9,False
4,7,0,0,7,False
4,7,0,0,9,False
4,11,0,0,8,False
4,11,0,0,13,False
3,8,0,0,23,False
3,5,0,0,10,False
3,6,0,0,7,False
2,8,0,0,8,False
2,7,0,0,6,False
3,5,0,0,16,False
2,5,0,0,13,False
3,5,0,0,10,False
2,5,0,0,8,True
