Andrés Ruzo,Judson Brewer,Pardis Sabeti,Matthew Williams,Iraola,isPartial
0,11,0,54,22,False
0,0,0,72,29,False
0,0,0,35,13,False
0,0,0,48,24,False
0,0,0,36,21,False
0,0,0,45,27,False
0,0,9,56,22,False
0,0,0,35,30,False
0,0,0,32,24,False
0,0,0,43,16,False
0,8,8,36,11,False
0,8,8,33,25,False
0,0,7,47,20,False
0,0,0,40,17,False
0,0,6,45,14,False
0,7,0,48,13,False
0,0,0,31,13,False
0,0,0,43,12,False
0,6,0,28,12,False
0,0,0,42,11,False
0,0,0,45,22,False
0,5,0,37,24,False
0,0,0,42,21,False
0,0,0,30,17,False
0,0,4,36,13,False
0,0,0,33,16,False
0,0,0,27,30,False
0,0,4,26,15,False
0,0,0,23,19,False
0,0,0,28,20,False
0,0,4,34,23,False
0,0,4,33,19,False
0,0,7,34,16,False
0,0,0,33,15,False
0,0,3,19,16,False
0,0,3,28,25,False
0,0,0,24,18,False
0,0,3,26,24,False
0,0,4,21,26,False
0,0,3,25,16,False
0,0,7,25,17,False
0,0,5,30,22,False
0,0,11,23,12,False
0,0,2,22,17,False
0,0,4,33,23,False
0,0,6,23,21,False
0,2,4,25,12,False
0,0,4,28,20,False
0,0,5,30,17,False
0,0,4,27,21,False
0,0,4,28,20,False
0,0,3,31,25,False
0,0,4,22,23,False
0,0,4,28,14,False
0,2,9,26,16,False
0,0,4,23,26,False
0,0,4,27,26,False
0,0,2,24,22,False
0,1,5,27,22,False
0,0,8,26,21,False
0,0,4,23,22,False
0,1,5,29,22,False
0,0,3,26,18,False
0,1,4,30,23,False
0,1,2,37,22,False
0,0,4,27,18,False
0,1,2,24,19,False
0,1,1,24,20,False
0,1,3,29,29,False
0,1,4,27,25,False
0,1,2,27,25,False
0,0,2,26,25,False
0,0,2,28,27,False
0,1,3,100,18,False
0,0,2,53,19,False
0,0,6,42,20,False
0,0,3,47,20,False
0,1,2,50,21,False
0,0,1,43,14,False
0,0,1,35,18,False
0,1,1,31,25,False
0,1,2,25,26,False
0,0,2,29,31,False
0,0,2,25,22,False
0,1,2,31,20,False
0,1,3,30,24,False
0,1,3,25,30,False
0,0,3,26,22,False
0,0,2,26,24,False
0,0,3,28,21,False
0,1,3,29,18,False
0,1,2,26,26,False
0,0,4,31,25,False
0,1,1,23,19,False
0,1,2,22,21,False
0,1,4,32,18,False
0,1,2,30,18,False
0,1,3,31,19,False
0,1,2,20,42,False
0,1,4,25,21,False
0,1,2,30,31,False
0,1,2,24,20,False
0,1,2,26,19,False
0,1,2,30,18,False
0,1,2,28,19,False
0,0,2,24,19,False
0,0,3,23,16,False
0,0,3,26,19,False
0,0,2,24,19,False
0,1,4,30,19,False
0,0,2,26,16,False
0,1,2,30,19,False
0,1,3,24,17,False
0,0,3,20,17,False
0,0,2,28,18,False
0,0,1,25,18,False
0,1,1,25,20,False
0,1,1,22,19,False
0,0,1,23,19,False
0,1,1,20,19,False
0,1,2,26,18,False
0,1,2,29,18,False
0,1,2,38,20,False
0,1,2,28,14,False
0,1,3,24,16,False
0,0,1,23,15,False
0,0,1,30,16,False
0,1,4,66,23,False
0,1,6,28,24,False
0,1,7,29,20,False
0,2,2,82,20,False
0,1,9,30,15,False
0,1,2,29,17,False
0,0,2,31,19,False
0,1,4,26,24,False
0,1,4,29,28,False
0,0,3,26,77,False
0,1,4,28,31,False
0,0,2,29,37,False
0,0,2,30,25,False
0,1,2,27,21,False
0,1,3,29,17,False
0,1,3,23,16,False
0,1,2,24,17,False
0,1,2,25,19,False
1,6,3,25,14,False
0,5,2,27,16,False
0,3,3,26,16,False
1,2,2,25,20,False
0,2,2,29,19,False
0,1,1,25,21,False
0,2,2,23,12,False
0,2,3,23,17,False
1,1,2,36,17,False
0,2,2,24,21,False
0,2,1,21,16,False
0,2,3,28,13,False
0,3,4,25,15,False
0,2,2,25,14,False
0,2,3,24,13,False
0,2,4,21,15,False
0,2,2,19,14,False
0,1,3,20,13,False
0,2,2,21,12,False
0,1,2,26,10,False
0,2,2,22,11,False
0,1,3,20,12,False
0,1,2,22,9,False
0,4,1,23,12,False
1,2,2,20,14,False
0,4,1,20,13,False
0,4,2,21,10,False
0,3,1,24,12,False
0,2,1,23,13,False
0,2,0,32,12,False
0,2,1,26,13,False
0,2,1,24,13,False
0,2,2,22,14,False
0,2,2,20,11,False
0,2,1,21,12,False
0,3,1,22,12,False
0,3,2,26,14,False
0,2,1,23,12,False
0,3,2,24,13,False
0,2,1,21,15,False
0,2,2,21,12,False
0,3,1,25,14,False
0,2,2,28,15,False
0,3,1,24,11,False
0,3,2,30,12,False
0,2,2,27,13,False
0,5,1,21,11,False
0,4,1,26,19,False
1,2,2,27,36,False
0,2,3,22,15,False
0,3,1,24,10,False
0,3,2,24,10,False
0,2,2,43,12,False
0,2,1,23,22,False
0,1,2,22,20,False
0,2,1,26,14,False
1,1,1,31,13,True
