Sean Follmer,Gregory Heyworth,Mike Velings,Dorothy Roberts,Iraola,isPartial
0,0,0,0,28,False
0,0,0,14,37,False
0,0,0,26,17,False
0,0,0,20,31,False
0,0,0,11,27,False
0,0,0,17,35,False
0,0,0,18,28,False
0,0,0,11,39,False
0,10,0,10,31,False
0,0,0,16,21,False
0,0,0,16,14,False
0,0,0,0,33,False
0,0,0,34,26,False
0,9,0,18,23,False
0,0,0,8,18,False
0,0,0,14,17,False
0,0,0,15,17,False
0,0,0,7,15,False
0,0,0,8,15,False
0,0,0,7,15,False
0,0,0,10,29,False
0,0,0,16,31,False
0,0,0,8,27,False
0,0,0,6,23,False
0,0,0,11,16,False
0,0,0,6,20,False
0,0,0,13,38,False
0,0,0,8,19,False
0,0,0,7,25,False
0,0,0,5,26,False
0,0,0,7,29,False
0,0,0,9,24,False
0,0,0,13,20,False
0,0,0,8,20,False
0,0,0,8,21,False
0,0,0,7,32,False
0,0,0,5,23,False
4,0,0,7,30,False
0,0,0,4,34,False
0,0,0,7,21,False
0,0,0,14,22,False
0,0,0,3,28,False
0,0,0,3,16,False
0,0,0,6,21,False
0,0,0,4,30,False
0,0,0,10,27,False
0,0,0,5,16,False
0,3,0,6,26,False
0,0,0,7,22,False
0,0,0,5,27,False
0,0,0,4,26,False
0,0,0,3,32,False
0,0,0,5,29,False
0,0,0,4,18,False
0,0,0,6,21,False
0,0,0,5,34,False
0,0,0,6,33,False
0,0,0,5,29,False
0,0,0,5,28,False
0,0,0,4,27,False
0,0,0,6,28,False
0,0,0,6,29,False
0,2,0,4,23,False
0,0,0,5,29,False
0,0,0,4,28,False
0,0,0,4,23,False
0,0,0,4,25,False
0,0,0,3,26,False
0,0,0,4,37,False
1,0,0,4,32,False
0,0,0,2,32,False
0,0,0,5,32,False
0,0,0,3,35,False
0,0,0,5,23,False
0,0,0,5,25,False
0,0,0,7,26,False
0,0,1,5,26,False
0,0,0,2,27,False
0,0,0,5,18,False
0,0,0,2,23,False
0,0,1,4,33,False
1,0,0,5,33,False
0,0,0,4,41,False
0,0,0,6,29,False
0,1,1,3,26,False
0,0,1,2,31,False
0,0,0,3,39,False
0,0,0,4,29,False
0,0,0,3,31,False
0,0,0,6,28,False
1,0,0,6,24,False
0,0,0,4,34,False
0,0,0,5,32,False
1,0,0,4,25,False
0,0,0,4,27,False
0,1,1,4,23,False
0,0,0,4,24,False
1,0,0,5,25,False
0,0,0,4,55,False
0,0,0,4,27,False
0,1,0,4,39,False
0,0,0,3,26,False
0,1,0,3,24,False
0,0,0,2,24,False
0,0,0,2,25,False
0,0,1,6,25,False
1,1,0,5,20,False
0,0,0,2,24,False
0,0,0,5,25,False
1,0,1,5,25,False
0,0,0,5,21,False
0,0,0,5,25,False
0,1,1,5,21,False
0,0,1,1,22,False
1,1,0,2,23,False
0,0,0,2,23,False
0,0,0,3,25,False
0,0,0,3,24,False
1,0,0,2,24,False
0,0,0,4,24,False
0,0,0,3,24,False
0,0,0,4,23,False
0,0,0,4,26,False
0,0,0,3,18,False
0,0,0,2,21,False
0,0,0,3,19,False
0,0,0,2,20,False
1,0,0,3,29,False
1,0,0,3,30,False
0,0,0,4,26,False
0,1,0,3,26,False
0,0,0,4,19,False
0,0,0,3,22,False
1,0,1,4,25,False
0,0,0,3,31,False
1,0,0,4,36,False
0,0,0,4,100,False
0,0,0,3,40,False
0,0,0,2,48,False
0,0,0,3,33,False
1,0,0,4,27,False
0,0,0,3,22,False
0,0,0,3,20,False
0,0,0,3,22,False
0,0,0,2,24,False
1,2,1,4,18,False
1,1,1,4,21,False
0,0,0,5,20,False
0,0,0,3,26,False
0,0,0,4,24,False
0,0,1,2,27,False
0,0,0,3,16,False
0,1,1,2,22,False
1,0,0,4,22,False
0,1,0,5,27,False
1,0,0,3,20,False
0,0,0,3,17,False
0,0,0,5,19,False
0,0,0,4,18,False
0,1,0,3,17,False
0,0,0,2,19,False
0,0,0,2,18,False
0,0,0,2,17,False
0,0,0,4,15,False
1,0,0,3,14,False
0,0,0,5,14,False
1,0,0,5,15,False
0,0,0,3,11,False
0,0,0,4,16,False
0,0,0,4,18,False
0,0,0,3,17,False
0,0,0,3,12,False
1,0,0,3,16,False
0,0,0,2,17,False
0,0,0,2,15,False
0,1,0,3,16,False
0,0,0,2,17,False
0,0,0,3,19,False
0,0,0,4,15,False
0,0,0,3,15,False
0,0,0,2,15,False
0,0,0,3,18,False
0,0,0,3,15,False
0,0,0,2,16,False
0,0,1,3,19,False
0,0,0,2,15,False
1,0,0,2,19,False
0,0,0,3,19,False
0,0,0,4,15,False
1,0,0,6,16,False
0,0,0,5,17,False
0,0,0,2,15,False
0,0,0,2,25,False
0,0,1,3,46,False
0,0,0,2,20,False
0,0,0,3,13,False
0,0,0,3,13,False
0,0,0,9,16,False
0,0,0,6,28,False
0,0,0,4,26,False
0,0,0,5,19,False
0,0,0,3,16,True
