Russ Altman,Alexander Betts,Travis Kalanick,Reshma Saujani,Iraola,isPartial
0,0,0,0,7,False
5,0,0,0,10,False
0,0,0,0,5,False
0,0,0,0,8,False
3,0,0,3,7,False
0,0,0,3,9,False
0,0,0,0,7,False
0,0,0,0,10,False
4,0,0,0,8,False
3,0,0,3,6,False
0,0,3,3,4,False
3,0,0,3,9,False
2,0,2,0,7,False
5,0,0,0,6,False
2,0,0,0,5,False
2,0,2,0,4,False
2,2,0,0,5,False
0,0,0,0,4,False
2,2,0,2,4,False
0,0,0,0,4,False
2,0,0,0,8,False
0,2,0,2,8,False
2,2,0,0,7,False
2,0,0,0,6,False
1,1,0,0,4,False
1,1,0,1,5,False
2,0,0,0,10,False
1,0,0,0,5,False
2,0,0,1,7,False
1,1,0,1,7,False
1,1,0,0,8,False
0,1,0,0,6,False
0,0,0,0,5,False
2,0,0,1,5,False
0,1,1,1,5,False
0,0,0,0,8,False
1,0,0,0,6,False
1,1,0,0,8,False
0,1,0,1,9,False
0,0,1,1,6,False
1,1,0,0,6,False
1,0,0,0,7,False
0,1,0,0,4,False
1,0,0,0,6,False
0,1,1,1,8,False
1,1,0,0,7,False
1,1,1,0,4,False
1,1,0,1,7,False
1,1,0,0,6,False
1,1,0,1,7,False
1,0,0,0,7,False
0,1,0,0,8,False
1,1,1,0,8,False
1,0,0,1,5,False
1,1,0,0,5,False
1,1,0,1,9,False
1,1,0,0,9,False
0,0,0,0,7,False
1,0,0,1,7,False
1,0,0,0,7,False
0,0,1,0,7,False
1,0,0,0,7,False
1,1,0,0,6,False
1,1,0,0,8,False
1,0,0,0,7,False
0,0,0,0,6,False
0,0,0,0,7,False
0,0,0,0,7,False
1,0,0,1,10,False
1,0,0,1,8,False
1,1,0,2,8,False
0,1,0,1,8,False
1,0,0,4,9,False
1,0,0,3,6,False
1,1,0,2,6,False
0,0,0,2,7,False
0,0,0,3,7,False
0,0,0,3,7,False
0,0,0,5,5,False
1,0,0,7,6,False
0,0,0,10,9,False
0,0,0,4,9,False
0,1,0,3,11,False
0,0,0,3,8,False
0,0,0,3,7,False
0,0,0,1,8,False
0,0,1,0,10,False
1,0,0,0,8,False
0,0,0,0,8,False
0,0,0,1,7,False
1,0,0,0,6,False
0,0,0,0,9,False
0,0,0,0,8,False
0,0,0,0,6,False
0,0,0,0,7,False
1,0,0,1,6,False
0,0,0,0,6,False
0,0,0,1,7,False
0,0,0,0,14,False
0,0,0,1,7,False
0,0,0,1,10,False
0,0,0,1,7,False
0,0,1,0,6,False
0,0,1,0,6,False
0,0,0,1,7,False
0,0,1,0,6,False
0,0,0,1,5,False
0,0,0,0,6,False
0,0,1,1,6,False
0,0,0,1,6,False
0,0,1,1,6,False
0,0,0,2,6,False
0,0,0,1,6,False
0,0,1,1,6,False
0,0,1,2,6,False
0,0,1,3,6,False
0,0,1,4,7,False
0,0,1,1,6,False
0,0,2,1,6,False
0,0,2,1,6,False
0,0,3,1,6,False
0,0,2,0,6,False
0,0,2,1,7,False
0,0,2,1,5,False
0,0,3,1,6,False
0,0,7,1,5,False
0,0,3,1,5,False
0,1,5,1,8,False
0,0,6,0,8,False
0,0,5,1,7,False
0,0,14,1,7,False
0,0,12,1,5,False
0,0,6,1,6,False
0,0,9,0,7,False
0,0,10,0,8,False
0,1,4,1,9,False
0,0,7,0,26,False
0,0,8,0,10,False
0,0,7,1,13,False
0,0,7,1,9,False
0,0,15,1,7,False
0,0,8,1,6,False
0,0,5,0,5,False
0,0,12,0,6,False
0,0,10,0,6,False
0,0,9,2,5,False
1,1,8,4,6,False
0,1,9,2,5,False
0,0,7,1,7,False
0,0,7,1,6,False
0,1,5,1,7,False
0,1,10,1,4,False
0,1,6,1,6,False
0,1,7,1,6,False
0,1,5,1,7,False
0,1,12,1,5,False
0,1,17,1,5,False
0,1,29,1,5,False
0,1,58,1,5,False
0,1,20,1,5,False
0,0,24,3,5,False
0,1,100,1,5,False
0,0,13,1,4,False
0,1,19,1,4,False
0,0,12,1,4,False
0,0,9,1,4,False
0,0,10,1,4,False
0,0,7,0,3,False
0,0,14,0,4,False
0,0,9,1,5,False
0,0,13,2,5,False
0,0,5,1,3,False
0,0,6,1,4,False
0,0,5,2,4,False
0,0,5,1,4,False
0,0,5,1,4,False
0,0,5,1,4,False
0,0,6,1,5,False
0,0,5,1,4,False
0,0,4,1,4,False
0,0,4,1,4,False
0,0,5,2,5,False
0,0,6,4,4,False
0,0,6,2,4,False
0,0,13,2,5,False
0,0,4,1,4,False
0,0,4,1,5,False
0,0,6,1,5,False
0,0,9,1,4,False
0,0,6,1,4,False
0,0,9,1,4,False
0,0,16,1,4,False
0,0,5,1,7,False
0,0,5,1,12,False
0,0,4,1,5,False
0,0,4,1,3,False
0,0,5,1,3,False
0,0,4,1,4,False
0,0,3,1,7,False
0,0,4,1,7,False
0,0,4,1,5,False
0,0,3,1,4,True
