Caleb Harper,Laura Robinson,Mileha Soneji,Tshering Tobgay,Iraola,isPartial
0,20,0,0,40,False
0,13,0,0,27,False
0,17,0,0,17,False
0,13,0,0,26,False
0,11,0,0,28,False
0,33,0,0,45,False
0,12,0,0,29,False
0,11,0,0,22,False
0,10,0,0,25,False
0,30,0,0,25,False
0,36,0,0,15,False
0,24,0,0,33,False
0,33,0,0,33,False
9,9,0,0,9,False
0,18,0,0,18,False
0,29,0,0,24,False
0,14,0,0,18,False
0,29,0,0,15,False
0,18,0,0,11,False
7,29,0,0,18,False
0,39,0,0,33,False
0,33,0,0,27,False
0,27,0,0,18,False
0,9,0,0,18,False
0,13,0,0,16,False
0,16,0,0,19,False
0,14,0,0,37,False
0,20,0,0,20,False
5,5,0,0,25,False
0,19,0,0,31,False
0,14,0,0,36,False
0,7,0,0,22,False
0,13,0,0,21,False
0,21,0,0,21,False
0,19,0,0,11,False
4,12,0,0,31,False
0,13,0,0,20,False
0,21,0,0,26,False
0,20,0,3,28,False
3,14,0,0,21,False
0,8,0,0,21,False
0,19,0,0,25,False
3,16,0,0,18,False
0,24,0,0,19,False
0,13,0,3,29,False
2,18,0,0,25,False
2,7,0,0,14,False
0,11,0,0,22,False
0,10,0,0,23,False
2,14,0,0,26,False
0,18,0,0,27,False
4,12,0,0,27,False
0,15,0,0,31,False
0,11,0,0,17,False
0,13,0,0,21,False
0,14,0,0,27,False
0,15,0,0,33,False
0,13,0,0,26,False
0,14,0,0,24,False
2,14,0,2,24,False
2,14,0,2,28,False
0,12,0,3,28,False
1,16,0,1,23,False
2,14,0,3,25,False
1,15,0,1,27,False
1,21,0,1,22,False
0,19,0,0,24,False
0,13,0,0,21,False
1,12,0,2,38,False
0,11,0,0,33,False
1,12,0,1,33,False
1,10,0,3,25,False
1,21,0,0,33,False
0,12,0,1,25,False
1,9,0,2,24,False
0,15,0,0,26,False
0,14,0,3,26,False
2,10,0,2,24,False
1,11,0,1,19,False
2,13,0,2,25,False
1,9,0,3,33,False
1,12,0,1,33,False
1,8,0,0,40,False
2,12,0,1,28,False
1,9,0,3,25,False
0,11,0,1,30,False
1,6,0,2,39,False
1,8,0,0,30,False
2,7,0,1,30,False
0,16,0,1,29,False
0,10,0,2,24,False
0,9,0,2,35,False
0,14,0,2,31,False
0,9,0,1,27,False
1,11,0,1,28,False
0,12,0,1,23,False
1,12,0,1,26,False
1,10,0,2,23,False
1,8,0,2,55,False
1,10,0,1,30,False
1,7,0,1,39,False
1,7,0,2,24,False
1,13,0,1,23,False
1,14,0,2,24,False
1,21,0,3,24,False
1,14,0,1,26,False
0,12,0,1,18,False
0,8,0,1,27,False
1,15,0,0,25,False
1,9,0,1,23,False
0,10,0,1,23,False
1,10,0,2,25,False
1,10,0,1,20,False
1,14,0,2,19,False
1,11,0,4,24,False
1,11,0,3,24,False
1,9,0,2,26,False
1,12,0,2,24,False
1,10,0,2,22,False
1,10,0,2,25,False
1,9,0,1,22,False
2,11,0,1,23,False
0,9,0,0,25,False
1,8,0,1,18,False
0,6,0,2,22,False
1,8,0,3,18,False
1,11,0,1,21,False
1,8,0,1,29,False
2,7,0,2,28,False
0,12,0,0,26,False
0,8,0,1,21,False
2,10,0,1,19,False
1,10,0,3,21,False
0,11,0,0,26,False
0,8,0,1,30,False
0,10,0,1,35,False
0,7,0,1,100,False
0,14,0,2,38,False
2,12,0,2,44,False
1,9,0,0,30,False
1,13,0,1,26,False
2,8,0,0,23,False
1,10,0,1,20,False
1,6,0,0,23,False
2,6,0,1,24,False
2,7,0,1,17,False
5,9,1,8,21,False
5,9,0,7,19,False
1,9,0,3,25,False
2,9,0,1,23,False
1,8,0,1,28,False
2,8,0,1,14,False
2,9,0,2,21,False
2,6,0,1,20,False
1,6,0,1,28,False
2,7,0,1,19,False
1,9,0,1,16,False
2,9,0,2,17,False
1,11,0,2,16,False
3,8,0,1,18,False
1,9,0,2,20,False
1,9,0,2,17,False
1,9,0,1,16,False
1,6,0,1,15,False
1,7,0,2,12,False
1,8,0,1,14,False
1,7,1,1,14,False
0,6,0,1,11,False
1,7,0,1,16,False
2,8,0,2,17,False
1,5,0,2,17,False
1,6,1,1,11,False
2,8,0,1,15,False
1,8,0,1,17,False
1,5,0,2,13,False
1,8,0,2,17,False
0,7,0,2,16,False
1,6,0,3,18,False
2,8,0,1,14,False
1,11,0,1,15,False
1,7,0,1,15,False
0,8,0,2,18,False
1,7,0,1,15,False
1,8,0,1,16,False
1,8,0,2,17,False
1,5,0,1,16,False
1,6,1,1,18,False
1,6,1,1,19,False
5,7,1,1,15,False
2,9,0,1,16,False
1,6,0,0,16,False
1,7,0,2,13,False
2,7,1,1,26,False
0,6,0,1,44,False
1,5,0,0,19,False
1,7,0,1,12,False
1,5,0,1,13,False
1,9,0,0,15,False
0,6,0,0,27,False
1,9,0,1,26,False
1,8,0,1,20,False
1,6,0,1,16,True
