Steve Jurvetson,Roy Gould + Curtis Wong,Alan Kay,Jill Bolte Taylor,Iraola,isPartial
0,0,52,0,15,False
10,10,36,0,29,False
12,0,40,12,18,False
9,9,59,0,19,False
8,0,16,0,19,False
0,8,24,0,16,False
8,8,59,0,17,False
0,8,44,0,31,False
7,0,33,0,17,False
7,7,49,0,15,False
11,0,32,0,7,False
0,7,18,0,10,False
6,6,28,0,14,False
6,6,32,0,19,False
5,5,39,0,14,False
6,0,35,0,18,False
0,5,35,0,12,False
10,8,38,0,17,False
5,0,42,5,16,False
0,5,32,0,10,False
5,14,31,0,18,False
0,4,30,0,17,False
7,4,23,0,13,False
4,0,14,0,17,False
4,4,28,0,11,False
4,5,27,4,13,False
7,5,31,0,22,False
4,0,23,0,13,False
3,3,24,0,22,False
3,3,20,0,22,False
7,3,21,0,21,False
3,0,27,0,14,False
6,3,23,0,15,False
4,3,23,0,14,False
3,3,19,3,16,False
6,3,16,3,16,False
0,6,37,0,14,False
0,4,22,3,16,False
3,3,24,0,17,False
3,2,17,2,15,False
0,3,18,2,19,False
2,3,18,0,16,False
0,2,16,0,18,False
4,4,20,0,15,False
2,3,15,0,20,False
3,5,15,0,13,False
2,2,21,2,16,False
0,2,19,2,16,False
2,3,20,0,15,False
2,6,20,3,13,False
1,5,17,37,16,False
2,2,18,55,17,False
2,5,17,100,18,False
1,2,16,72,12,False
1,1,18,49,10,False
1,4,19,30,21,False
1,1,29,24,22,False
1,2,19,41,20,False
2,3,21,29,22,False
3,3,20,28,20,False
1,2,14,22,17,False
1,2,16,27,17,False
0,2,15,29,17,False
2,3,16,27,21,False
2,1,15,33,18,False
2,3,13,25,20,False
2,4,14,23,19,False
3,2,12,25,22,False
1,3,16,22,25,False
2,1,14,31,20,False
1,2,15,21,24,False
1,4,15,19,22,False
1,2,17,16,22,False
2,1,18,23,14,False
1,2,12,17,19,False
1,2,17,18,17,False
1,2,14,18,16,False
1,1,14,15,20,False
2,2,12,16,13,False
1,3,12,17,16,False
0,2,14,17,17,False
1,2,16,16,21,False
1,2,13,15,29,False
1,2,11,16,23,False
0,2,14,13,20,False
0,3,10,15,28,False
0,2,11,14,26,False
1,2,12,13,22,False
1,1,9,19,24,False
1,1,14,11,21,False
1,2,10,13,16,False
1,3,14,11,23,False
2,1,11,13,23,False
1,0,23,14,19,False
1,3,17,17,17,False
1,1,15,10,15,False
1,1,10,17,18,False
1,2,13,13,22,False
1,1,11,14,32,False
1,2,15,16,20,False
1,1,13,14,32,False
1,1,17,14,14,False
1,2,16,12,15,False
1,3,14,16,16,False
1,2,12,13,17,False
1,2,14,15,14,False
1,1,14,13,16,False
1,1,13,13,17,False
1,1,14,13,16,False
1,1,11,15,16,False
1,1,13,11,13,False
1,1,16,15,14,False
1,1,14,13,15,False
1,1,10,11,15,False
1,1,10,11,15,False
2,2,13,12,18,False
1,1,11,11,18,False
2,1,15,11,15,False
1,1,12,12,16,False
2,1,11,11,16,False
1,1,12,9,16,False
1,1,9,8,18,False
2,2,9,12,18,False
1,2,12,10,15,False
2,1,9,9,17,False
2,1,7,7,15,False
2,2,9,9,16,False
2,1,10,7,21,False
1,1,10,8,23,False
2,1,9,8,18,False
2,1,9,11,18,False
1,1,10,7,14,False
1,1,12,7,16,False
2,1,11,9,17,False
1,1,9,10,22,False
2,1,8,9,28,False
2,2,7,7,62,False
1,1,11,8,29,False
1,1,10,8,31,False
1,1,26,7,24,False
2,1,12,7,17,False
3,1,10,6,15,False
4,1,10,8,15,False
3,1,11,5,14,False
2,1,10,6,16,False
1,1,8,7,12,False
2,1,9,6,15,False
4,1,14,7,12,False
2,1,13,5,18,False
2,1,18,5,18,False
1,1,14,2,18,False
1,1,9,5,13,False
2,1,8,6,13,False
1,1,8,5,18,False
2,1,8,5,20,False
2,1,12,4,17,False
1,1,13,5,11,False
2,1,11,6,12,False
1,1,10,5,11,False
2,1,10,5,12,False
1,1,11,4,13,False
1,1,9,3,12,False
2,1,9,3,11,False
2,1,9,6,12,False
3,1,9,6,10,False
4,1,10,4,11,False
16,1,10,7,11,False
3,0,8,6,8,False
9,1,7,5,11,False
4,1,10,5,12,False
1,1,7,5,10,False
3,1,8,5,9,False
2,1,7,4,12,False
8,0,8,4,11,False
4,0,8,5,10,False
2,1,10,4,12,False
1,1,9,4,13,False
1,1,10,4,13,False
2,1,7,5,13,False
1,1,8,3,12,False
1,1,8,3,10,False
2,2,7,4,11,False
1,1,6,4,10,False
1,1,8,4,11,False
1,1,8,3,10,False
1,1,9,3,11,False
1,1,9,3,14,False
1,1,9,3,12,False
1,1,7,4,12,False
1,1,7,4,10,False
1,1,10,3,11,False
1,0,7,3,11,False
1,1,8,3,18,False
1,1,6,3,33,False
2,0,7,3,13,False
1,1,7,4,10,False
1,1,8,5,10,False
1,1,10,2,9,False
1,1,11,3,21,False
1,0,10,3,18,False
1,1,7,3,14,False
1,1,7,3,12,True
