Lisa Nip,Knut Haanaes,Adam Grant,Haley Van Dyck,Iraola,isPartial
0,0,35,0,28,False
0,0,32,0,37,False
17,0,23,0,17,False
0,0,13,0,31,False
11,0,23,0,27,False
12,0,35,0,35,False
0,0,24,0,28,False
15,0,22,0,39,False
0,0,27,0,31,False
10,0,17,0,21,False
21,0,16,0,14,False
0,0,24,0,33,False
9,0,29,0,26,False
18,0,21,0,23,False
15,0,20,0,18,False
0,0,17,0,17,False
7,0,11,0,17,False
15,0,22,0,15,False
15,0,23,0,15,False
0,0,22,0,15,False
7,0,13,0,29,False
6,0,17,0,31,False
6,0,27,0,27,False
10,0,20,0,23,False
5,0,16,0,16,False
6,0,24,0,20,False
7,0,21,0,38,False
10,0,15,0,19,False
5,0,31,0,25,False
12,0,18,0,26,False
5,0,20,0,29,False
7,0,18,0,24,False
4,0,9,0,20,False
0,0,21,0,20,False
4,0,15,0,21,False
8,0,19,0,32,False
3,0,20,0,23,False
4,0,18,0,30,False
10,0,21,0,34,False
7,0,17,0,21,False
9,0,21,0,22,False
3,0,15,0,28,False
6,0,8,0,16,False
6,0,19,0,21,False
5,0,14,0,30,False
4,0,23,0,27,False
5,0,12,0,16,False
8,0,16,0,26,False
4,0,20,0,22,False
9,0,18,0,27,False
3,0,17,0,26,False
2,0,16,2,32,False
5,0,21,0,29,False
4,0,18,0,18,False
4,0,19,0,21,False
4,0,23,0,34,False
5,0,18,0,33,False
5,0,21,0,29,False
6,0,18,0,28,False
7,0,19,0,27,False
6,0,16,0,28,False
9,0,19,0,29,False
5,0,13,2,23,False
8,0,23,0,29,False
8,0,16,0,28,False
5,0,12,0,23,False
6,0,11,0,25,False
5,0,17,0,26,False
2,0,18,0,37,False
5,0,17,0,32,False
5,0,17,0,32,False
7,0,27,0,32,False
7,0,21,0,35,False
5,0,14,0,23,False
3,0,18,0,25,False
3,0,17,0,26,False
2,0,19,0,26,False
3,0,14,0,27,False
5,0,17,0,18,False
4,0,18,0,23,False
4,0,14,2,33,False
5,0,17,1,33,False
2,0,10,1,41,False
4,0,18,0,29,False
2,0,16,0,26,False
4,0,14,0,31,False
4,0,17,0,39,False
2,1,15,0,29,False
3,0,17,0,31,False
4,0,15,0,28,False
3,0,16,0,24,False
6,0,19,1,34,False
3,0,18,0,32,False
3,0,18,1,25,False
4,0,25,0,27,False
3,1,19,0,23,False
3,1,14,1,24,False
4,0,15,0,25,False
3,0,15,1,55,False
4,0,21,0,27,False
4,0,18,0,39,False
3,0,17,1,26,False
3,0,16,1,24,False
3,0,16,0,24,False
4,0,22,1,25,False
3,0,19,1,25,False
3,0,15,1,20,False
3,0,21,0,24,False
3,0,18,1,25,False
3,0,22,0,25,False
3,0,40,1,21,False
6,0,65,0,25,False
3,0,40,1,21,False
4,0,25,1,22,False
5,0,31,1,23,False
3,0,25,1,23,False
3,0,31,0,25,False
3,0,27,1,24,False
5,0,29,0,24,False
3,0,30,1,24,False
3,0,30,0,24,False
3,0,28,0,23,False
3,0,27,0,26,False
3,0,31,0,18,False
2,0,28,0,21,False
2,0,25,0,19,False
4,0,26,1,20,False
2,0,31,2,29,False
2,0,24,1,30,False
2,0,33,0,26,False
3,0,26,0,26,False
3,0,26,0,19,False
2,0,30,0,22,False
3,0,31,1,25,False
2,0,28,0,31,False
3,0,30,0,36,False
3,0,27,1,100,False
2,0,32,1,40,False
3,0,24,0,48,False
3,0,28,1,33,False
3,0,26,1,27,False
2,0,33,0,22,False
2,0,30,1,20,False
2,0,35,0,22,False
3,0,42,0,24,False
2,0,68,1,18,False
4,0,52,0,21,False
5,1,50,6,20,False
2,1,37,2,26,False
2,0,43,1,24,False
3,0,34,0,27,False
3,0,39,1,16,False
2,1,42,1,22,False
1,0,33,1,22,False
2,0,30,1,27,False
1,0,32,0,20,False
2,0,52,0,17,False
1,0,42,1,19,False
2,1,48,2,18,False
1,0,48,1,17,False
1,0,51,1,19,False
1,0,43,0,18,False
1,0,36,1,17,False
2,0,45,0,15,False
1,0,39,1,14,False
1,0,38,1,14,False
1,1,38,0,15,False
2,1,34,0,11,False
1,0,38,0,16,False
1,0,43,0,18,False
1,0,54,1,17,False
1,1,50,0,12,False
2,0,65,0,16,False
1,0,49,0,17,False
1,0,45,0,15,False
1,0,50,0,16,False
1,0,45,0,17,False
1,0,42,0,19,False
2,0,43,0,15,False
1,1,42,0,15,False
1,0,49,1,15,False
1,0,46,0,18,False
1,0,51,0,15,False
1,0,50,0,16,False
1,0,45,0,19,False
1,0,52,0,15,False
1,0,47,0,19,False
0,0,45,0,19,False
1,0,45,0,15,False
0,0,41,0,16,False
1,0,35,0,17,False
1,0,78,0,15,False
1,0,56,0,25,False
1,0,46,0,46,False
1,0,40,0,20,False
1,0,50,0,13,False
1,0,47,0,13,False
1,0,46,0,16,False
1,0,60,0,28,False
1,0,40,0,26,False
1,0,42,1,19,False
1,1,42,0,16,True
