Danielle Feinberg,Tabetha Boyajian,Robert Palmer,Linus Torvalds,Iraola,isPartial
0,0,100,72,6,False
0,0,91,55,9,False
0,0,77,66,4,False
0,0,42,41,7,False
0,0,59,45,6,False
0,0,62,37,8,False
0,0,92,44,6,False
0,0,61,56,9,False
0,0,69,39,7,False
0,0,60,46,5,False
2,0,60,36,3,False
0,0,44,35,7,False
0,0,54,35,6,False
0,0,58,42,5,False
0,0,65,39,4,False
0,0,50,42,4,False
0,0,57,40,4,False
0,0,70,34,3,False
0,0,69,26,4,False
0,0,56,32,3,False
0,0,54,32,7,False
0,0,60,30,7,False
0,0,43,28,6,False
0,0,52,30,5,False
0,0,60,36,4,False
0,0,56,29,5,False
0,0,50,18,9,False
0,0,46,26,4,False
0,0,44,25,6,False
0,0,55,22,6,False
0,0,63,19,7,False
0,0,68,22,6,False
1,0,56,21,5,False
0,0,56,22,5,False
0,0,47,25,5,False
0,0,46,23,7,False
0,0,45,23,5,False
0,0,50,25,7,False
0,0,41,19,8,False
0,0,40,16,5,False
1,0,41,21,5,False
0,0,45,25,6,False
0,0,52,20,4,False
0,0,48,20,5,False
0,0,43,22,7,False
0,0,45,19,6,False
0,0,45,21,4,False
1,0,46,17,6,False
0,0,50,19,5,False
0,0,51,20,6,False
0,0,39,13,6,False
0,0,43,16,7,False
0,0,42,14,7,False
0,0,41,15,4,False
0,0,37,17,5,False
0,0,47,14,8,False
0,0,43,14,8,False
0,0,49,19,7,False
0,0,43,17,6,False
0,0,43,16,6,False
0,0,46,16,6,False
0,0,51,15,7,False
0,0,42,16,5,False
0,0,37,15,7,False
0,0,42,15,6,False
0,0,43,15,5,False
0,0,40,16,6,False
0,0,41,18,6,False
0,0,39,19,9,False
0,0,46,28,7,False
0,0,42,17,7,False
0,0,41,15,7,False
0,0,43,15,8,False
0,0,40,18,5,False
0,0,36,15,6,False
0,0,42,16,6,False
0,0,42,15,6,False
0,0,37,12,6,False
0,0,43,11,4,False
0,0,47,12,5,False
0,0,46,17,8,False
0,0,51,13,8,False
0,0,46,14,9,False
0,0,38,14,7,False
0,0,40,11,6,False
0,0,42,13,7,False
0,0,38,14,9,False
0,0,38,13,7,False
0,0,36,15,7,False
0,0,41,10,6,False
0,0,39,16,5,False
0,0,41,21,8,False
0,0,42,17,7,False
0,0,45,21,6,False
0,0,36,16,6,False
0,0,37,14,5,False
0,0,39,12,5,False
0,0,34,15,6,False
0,0,64,19,13,False
0,0,38,19,6,False
0,0,34,15,9,False
0,0,33,38,6,False
0,0,38,15,6,False
0,0,35,14,5,False
0,0,39,17,6,False
0,0,38,16,6,False
0,0,33,16,5,False
0,0,33,13,6,False
0,0,34,14,6,False
0,0,39,15,6,False
0,0,33,14,5,False
0,0,32,15,6,False
0,0,34,13,5,False
0,0,36,12,5,False
0,0,35,14,5,False
0,0,38,13,5,False
0,0,38,17,6,False
0,0,35,14,6,False
0,0,43,15,6,False
0,0,32,12,6,False
0,0,37,11,5,False
0,0,32,13,5,False
0,0,32,11,6,False
0,0,32,12,4,False
0,0,34,12,5,False
0,0,34,9,4,False
0,0,33,13,5,False
0,0,34,14,7,False
0,0,35,13,7,False
0,0,34,12,6,False
0,0,37,11,6,False
0,0,35,10,4,False
0,0,34,14,5,False
0,0,32,12,6,False
0,0,34,12,7,False
0,0,27,12,8,False
0,0,30,10,23,False
0,0,32,10,9,False
0,0,33,11,11,False
0,0,32,11,7,False
0,0,31,13,6,False
0,2,34,12,5,False
0,0,31,13,5,False
0,0,29,11,5,False
0,0,28,8,6,False
0,0,26,12,4,False
0,0,27,9,5,False
1,0,27,13,5,False
1,0,28,10,6,False
0,0,25,9,6,False
0,0,28,8,6,False
0,1,26,12,4,False
0,0,31,10,5,False
0,0,29,11,5,False
0,0,24,9,6,False
0,0,28,9,5,False
0,0,26,9,4,False
0,0,25,12,4,False
0,0,25,13,4,False
0,0,25,10,4,False
0,1,27,8,4,False
0,0,27,8,4,False
0,0,26,8,4,False
0,0,26,8,3,False
0,0,25,10,3,False
0,0,27,8,3,False
0,0,27,12,4,False
0,0,25,8,3,False
0,1,26,19,4,False
0,0,24,10,4,False
0,0,25,10,4,False
0,0,23,8,3,False
0,0,24,8,4,False
0,0,26,9,4,False
0,0,23,7,3,False
0,0,24,9,4,False
0,0,24,25,4,False
0,0,27,12,4,False
0,0,24,9,3,False
0,0,24,7,4,False
0,0,26,9,3,False
0,0,26,8,4,False
0,0,24,9,4,False
0,0,24,10,4,False
0,0,24,8,4,False
0,0,24,8,4,False
0,0,22,8,4,False
0,0,25,9,4,False
0,0,27,8,3,False
0,0,25,10,4,False
0,0,24,9,4,False
0,0,24,8,3,False
0,0,26,8,6,False
0,0,31,8,11,False
0,0,23,7,5,False
0,0,22,20,3,False
0,0,27,12,3,False
0,0,24,10,4,False
0,0,26,12,6,False
0,0,24,10,6,False
0,0,28,9,4,False
0,0,22,7,4,True
