Cédric Villani,Sajay Samuel,Negin Farsad,Andrew Youn,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,17,17,False
0,0,0,0,31,False
0,0,0,11,27,False
0,0,0,0,35,False
0,0,0,0,28,False
0,11,0,0,39,False
0,10,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,0,0,33,False
0,0,0,0,26,False
0,0,0,9,23,False
0,0,8,0,18,False
0,8,8,0,17,False
0,0,0,0,17,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,7,29,False
0,0,0,0,31,False
0,0,0,0,27,False
0,6,0,0,23,False
0,0,0,0,16,False
0,6,6,0,20,False
0,0,0,0,38,False
0,0,0,5,19,False
0,0,0,0,25,False
0,0,5,0,26,False
0,0,0,0,29,False
0,0,5,0,24,False
0,0,0,0,20,False
0,0,0,0,20,False
0,0,0,0,21,False
0,0,0,4,32,False
3,0,5,3,23,False
0,0,4,4,30,False
0,0,0,0,34,False
0,0,0,3,21,False
0,0,0,0,22,False
0,0,0,0,28,False
0,0,0,0,16,False
3,0,6,0,21,False
3,0,0,5,30,False
0,0,2,0,27,False
0,2,0,5,16,False
3,0,3,3,26,False
0,0,2,0,22,False
0,2,0,2,27,False
0,0,0,0,26,False
0,2,3,2,32,False
0,2,0,2,29,False
0,2,0,0,18,False
2,2,2,0,21,False
0,0,2,0,34,False
0,0,4,0,33,False
2,0,0,2,29,False
0,2,0,2,28,False
0,2,2,2,27,False
2,0,0,0,28,False
2,0,0,4,29,False
2,2,2,0,23,False
0,0,2,2,29,False
2,2,0,2,28,False
0,0,2,0,23,False
0,0,2,2,25,False
0,2,2,0,26,False
3,1,1,1,37,False
1,1,0,1,32,False
0,0,1,0,32,False
0,1,0,1,32,False
1,0,0,1,35,False
1,0,0,1,23,False
0,0,1,0,25,False
2,0,1,1,26,False
2,0,0,2,26,False
1,0,0,1,27,False
0,0,0,0,18,False
28,1,0,1,23,False
20,0,1,1,33,False
9,0,2,1,33,False
3,1,1,2,41,False
2,0,1,2,29,False
3,1,1,1,26,False
4,0,1,1,31,False
5,0,1,1,39,False
2,0,0,1,29,False
3,0,1,1,31,False
1,0,1,1,28,False
1,0,0,2,24,False
3,0,2,0,34,False
3,0,1,2,32,False
2,0,0,1,25,False
4,2,1,1,27,False
5,0,1,1,23,False
6,1,1,1,24,False
6,0,1,1,25,False
5,0,1,1,55,False
5,0,1,1,27,False
3,0,1,2,39,False
3,0,1,1,26,False
4,0,1,1,24,False
8,0,1,1,24,False
15,1,1,1,25,False
12,1,1,1,25,False
10,0,1,1,20,False
10,0,1,1,24,False
11,1,2,1,25,False
5,0,1,1,25,False
8,1,1,1,21,False
11,0,1,1,25,False
7,0,1,1,21,False
3,0,1,1,22,False
4,0,1,1,23,False
4,0,1,1,23,False
9,0,3,1,25,False
5,0,2,1,24,False
7,1,1,1,24,False
9,0,2,1,24,False
9,0,1,1,24,False
15,0,3,1,23,False
13,0,1,0,26,False
8,0,1,1,18,False
4,0,1,1,21,False
5,0,1,0,19,False
5,0,1,1,20,False
5,0,1,1,29,False
4,1,1,1,30,False
8,0,1,0,26,False
9,0,1,2,26,False
7,0,1,1,19,False
7,0,2,0,22,False
10,0,2,1,25,False
7,0,1,1,31,False
4,0,1,1,36,False
10,0,1,1,100,False
7,0,1,0,40,False
4,0,1,0,48,False
5,0,1,0,33,False
4,0,1,0,27,False
6,0,1,1,22,False
9,0,1,0,20,False
7,0,1,0,22,False
4,0,1,0,24,False
5,0,1,1,18,False
5,0,1,0,21,False
6,0,1,1,20,False
14,0,2,1,26,False
9,1,8,3,24,False
4,1,3,1,27,False
4,1,5,1,16,False
4,0,3,1,22,False
8,1,2,1,22,False
5,0,2,1,27,False
7,0,3,1,20,False
6,0,3,1,17,False
7,0,2,1,19,False
11,0,7,1,18,False
7,0,2,1,17,False
36,0,7,1,19,False
52,0,2,1,18,False
11,0,5,1,17,False
6,0,1,0,15,False
9,0,4,1,14,False
9,0,2,1,14,False
8,0,2,0,15,False
10,0,7,1,11,False
9,0,3,1,16,False
13,0,4,1,18,False
23,1,1,0,17,False
13,1,4,0,12,False
7,0,3,1,16,False
8,0,2,1,17,False
6,0,5,1,15,False
8,0,1,1,16,False
9,0,6,1,17,False
6,0,2,0,19,False
4,0,2,1,15,False
6,0,1,1,15,False
6,0,1,1,15,False
6,0,1,0,18,False
14,0,3,1,15,False
6,0,5,0,16,False
7,0,2,1,19,False
4,0,1,1,15,False
17,0,1,0,19,False
10,0,1,1,19,False
36,0,4,1,15,False
8,0,2,0,16,False
17,0,2,1,17,False
8,0,1,1,15,False
18,0,4,0,25,False
19,0,3,1,46,False
8,0,1,1,20,False
4,0,2,1,13,False
6,0,3,1,13,False
6,0,2,0,16,False
3,0,3,1,28,False
2,0,4,1,26,False
4,0,1,1,19,False
3,0,1,1,16,True
