Marwa Al-Sabouni,Safwat Saleem,Elise Roy,Leila Hoteit,Iraola,isPartial
0,0,14,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,23,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,10,0,21,False
0,0,0,0,14,False
0,0,10,0,33,False
0,9,9,0,26,False
0,0,9,0,23,False
0,0,0,0,18,False
0,0,0,0,17,False
0,0,0,0,17,False
0,0,0,7,15,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,29,False
0,6,0,0,31,False
0,0,0,0,27,False
0,0,6,0,23,False
0,0,0,5,16,False
0,0,17,0,20,False
0,5,5,0,38,False
0,5,0,0,19,False
0,0,0,0,25,False
0,0,5,0,26,False
0,0,0,0,29,False
0,0,0,0,24,False
0,0,0,0,20,False
0,0,0,0,20,False
0,0,0,0,21,False
0,0,4,0,32,False
0,0,3,0,23,False
0,0,4,0,30,False
0,0,3,0,34,False
0,0,0,3,21,False
0,0,3,0,22,False
0,0,5,0,28,False
0,3,3,3,16,False
0,0,3,0,21,False
0,0,3,0,30,False
0,2,2,0,27,False
0,0,2,0,16,False
0,0,0,3,26,False
0,0,2,0,22,False
0,0,2,0,27,False
0,0,2,2,26,False
0,0,4,0,32,False
0,0,2,2,29,False
0,0,6,2,18,False
0,0,4,0,21,False
0,0,2,0,34,False
0,0,0,2,33,False
0,0,0,2,29,False
0,0,2,0,28,False
0,4,2,0,27,False
0,0,2,0,28,False
0,0,2,2,29,False
0,0,2,0,23,False
0,0,2,3,29,False
0,0,0,2,28,False
0,0,2,0,23,False
0,2,2,2,25,False
0,0,3,0,26,False
0,0,1,0,37,False
0,1,0,1,32,False
0,0,1,0,32,False
0,0,1,0,32,False
0,0,0,2,35,False
0,0,3,1,23,False
0,0,1,1,25,False
0,0,2,1,26,False
0,0,1,0,26,False
0,0,2,0,27,False
0,0,3,0,18,False
0,0,1,0,23,False
0,0,2,0,33,False
0,0,1,0,33,False
0,0,2,1,41,False
0,0,2,0,29,False
0,0,1,0,26,False
0,0,1,0,31,False
0,0,2,2,39,False
0,0,2,0,29,False
0,0,1,0,31,False
0,0,3,0,28,False
0,0,1,0,24,False
0,0,2,1,34,False
0,1,1,0,32,False
0,1,1,0,25,False
0,1,1,2,27,False
0,1,1,0,23,False
0,1,1,1,24,False
0,1,1,1,25,False
0,1,1,1,55,False
0,0,1,1,27,False
0,0,1,1,39,False
0,0,2,0,26,False
0,0,1,1,24,False
0,1,1,1,24,False
0,0,1,1,25,False
0,0,1,1,25,False
0,1,1,1,20,False
0,1,1,1,24,False
0,1,1,1,25,False
0,1,2,0,25,False
0,1,1,1,21,False
0,0,2,1,25,False
0,1,1,1,21,False
0,1,1,1,22,False
0,0,1,0,23,False
0,1,1,1,23,False
0,1,1,1,25,False
0,0,1,1,24,False
0,0,1,1,24,False
0,1,1,0,24,False
0,0,2,1,24,False
0,1,2,0,23,False
0,0,1,0,26,False
0,0,1,0,18,False
0,0,1,0,21,False
0,0,1,1,19,False
0,0,1,0,20,False
0,0,1,0,29,False
0,1,1,1,30,False
0,0,1,0,26,False
0,0,1,2,26,False
0,0,2,1,19,False
0,0,1,0,22,False
0,0,1,1,25,False
0,0,1,0,31,False
0,0,1,0,36,False
0,0,0,0,100,False
0,0,1,1,40,False
0,0,1,0,48,False
0,0,0,0,33,False
0,0,1,0,27,False
0,0,1,0,22,False
0,0,1,0,20,False
0,0,1,1,22,False
0,0,1,0,24,False
0,1,0,0,18,False
0,0,1,0,21,False
1,0,0,0,20,False
0,0,0,0,26,False
0,0,1,0,24,False
1,1,2,5,27,False
0,1,1,2,16,False
1,2,1,3,22,False
0,1,1,3,22,False
1,1,1,1,27,False
0,0,1,1,20,False
1,0,1,1,17,False
0,0,1,1,19,False
0,1,1,1,18,False
1,0,2,1,17,False
0,0,1,0,19,False
0,0,1,0,18,False
0,0,1,1,17,False
0,0,1,0,15,False
1,0,1,1,14,False
0,0,2,1,14,False
0,0,2,0,15,False
0,0,1,0,11,False
1,0,1,1,16,False
0,0,2,1,18,False
1,0,1,1,17,False
0,0,1,1,12,False
0,0,1,1,16,False
1,0,0,0,17,False
0,0,1,0,15,False
1,0,0,1,16,False
1,0,1,0,17,False
0,0,1,0,19,False
0,0,1,0,15,False
0,0,1,0,15,False
0,0,1,0,15,False
0,0,0,1,18,False
0,0,1,0,15,False
0,0,2,1,16,False
1,0,1,1,19,False
0,0,2,0,15,False
1,0,1,0,19,False
0,0,2,1,19,False
0,0,1,1,15,False
1,0,1,1,16,False
0,0,1,0,17,False
0,0,1,0,15,False
0,0,1,0,25,False
0,0,1,1,46,False
0,0,1,0,20,False
0,0,1,0,13,False
0,0,1,1,13,False
1,0,1,1,16,False
0,0,1,0,28,False
0,0,1,0,26,False
0,0,1,0,19,False
1,0,1,0,16,True
