Suzanne Simard,Anthony Goldbloom,Martin Reeves,Molly Winter,Iraola,isPartial
0,0,28,0,28,False
0,0,14,0,37,False
0,0,17,34,17,False
13,0,0,0,31,False
0,0,46,0,27,False
0,0,23,12,35,False
0,0,0,12,28,False
0,0,17,0,39,False
0,0,20,0,31,False
0,0,42,0,21,False
11,0,11,0,14,False
0,0,29,0,33,False
0,0,17,9,26,False
0,0,36,9,23,False
0,0,11,15,18,False
0,0,8,0,17,False
0,0,11,7,17,False
0,0,7,7,15,False
0,0,23,0,15,False
0,0,11,15,15,False
0,0,7,7,29,False
0,6,13,0,31,False
0,0,16,0,27,False
0,6,6,6,23,False
0,0,11,13,16,False
0,0,18,6,20,False
5,0,17,0,38,False
0,0,7,5,19,False
0,0,9,7,25,False
5,5,15,0,26,False
0,0,12,5,29,False
5,0,9,5,24,False
0,0,10,4,20,False
0,0,14,6,20,False
0,0,12,4,21,False
4,0,11,8,32,False
0,0,9,3,23,False
0,0,7,5,30,False
0,0,8,6,34,False
0,0,7,0,21,False
0,0,6,3,22,False
0,0,7,0,28,False
3,0,11,0,16,False
0,0,6,3,21,False
3,0,11,5,30,False
2,2,5,2,27,False
2,0,3,7,16,False
0,0,8,3,26,False
2,0,7,4,22,False
0,0,4,2,27,False
0,0,8,6,26,False
0,0,8,2,32,False
0,0,8,3,29,False
0,0,13,4,18,False
0,0,8,3,21,False
0,0,4,4,34,False
0,0,11,2,33,False
0,2,4,5,29,False
4,0,8,5,28,False
0,2,8,2,27,False
3,0,8,4,28,False
0,0,6,3,29,False
0,2,8,3,23,False
3,0,11,3,29,False
2,0,7,3,28,False
0,0,7,2,23,False
2,0,9,2,25,False
2,0,7,3,26,False
1,0,7,2,37,False
0,0,4,4,32,False
0,0,9,4,32,False
1,0,8,4,32,False
0,0,9,3,35,False
1,0,7,6,23,False
0,0,8,4,25,False
0,0,10,4,26,False
1,1,8,3,26,False
0,0,7,1,27,False
0,0,4,2,18,False
1,0,7,4,23,False
1,1,5,1,33,False
1,1,7,4,33,False
1,0,7,4,41,False
0,0,7,4,29,False
0,0,7,4,26,False
1,0,6,3,31,False
1,0,8,3,39,False
1,0,9,2,29,False
1,0,6,2,31,False
0,0,3,4,28,False
0,0,9,3,24,False
0,0,8,3,34,False
1,1,6,5,32,False
0,0,9,5,25,False
1,2,6,3,27,False
1,1,5,3,23,False
1,0,4,4,24,False
1,0,9,3,25,False
1,1,6,3,55,False
1,1,5,2,27,False
1,1,7,3,39,False
1,3,5,2,26,False
1,0,7,3,24,False
1,1,6,4,24,False
1,1,7,2,25,False
2,0,8,2,25,False
1,0,5,5,20,False
1,1,5,7,24,False
1,0,7,5,25,False
1,0,6,5,25,False
1,0,5,3,21,False
1,1,5,4,25,False
1,1,6,2,21,False
0,1,8,3,22,False
1,1,6,2,23,False
1,0,7,3,23,False
0,1,7,5,25,False
1,1,5,6,24,False
2,1,6,5,24,False
1,2,9,4,24,False
1,0,6,6,24,False
1,1,7,6,23,False
1,1,8,3,26,False
0,1,5,4,18,False
0,0,6,4,21,False
1,0,6,4,19,False
1,1,7,4,20,False
1,1,5,3,29,False
1,1,6,2,30,False
0,0,7,3,26,False
1,1,9,6,26,False
1,0,5,4,19,False
0,0,7,6,22,False
1,1,7,4,25,False
1,0,7,4,31,False
1,0,7,3,36,False
0,0,7,2,100,False
1,1,6,3,40,False
1,0,4,3,48,False
1,1,6,4,33,False
1,1,6,4,27,False
1,0,5,5,22,False
1,0,6,4,20,False
1,0,8,5,22,False
1,0,8,5,24,False
1,1,6,3,18,False
1,0,6,3,21,False
1,0,5,3,20,False
1,1,6,3,26,False
0,0,5,3,24,False
3,0,5,3,27,False
3,2,6,5,16,False
2,2,5,4,22,False
2,1,5,5,22,False
2,1,4,5,27,False
2,1,6,6,20,False
2,1,5,4,17,False
2,1,10,3,19,False
1,1,7,3,18,False
1,1,6,3,17,False
1,1,4,5,19,False
1,1,6,3,18,False
1,1,6,3,17,False
2,1,5,3,15,False
1,1,5,2,14,False
1,1,5,3,14,False
2,1,5,4,15,False
2,1,5,7,11,False
1,1,6,5,16,False
1,1,5,5,18,False
1,1,5,3,17,False
3,1,3,2,12,False
1,0,4,3,16,False
1,1,5,3,17,False
2,0,4,3,15,False
1,1,5,2,16,False
1,0,6,3,17,False
1,1,4,2,19,False
1,1,3,4,15,False
2,0,4,4,15,False
1,1,7,4,15,False
1,1,4,3,18,False
1,1,5,2,15,False
1,0,5,1,16,False
2,1,6,2,19,False
2,1,11,3,15,False
2,0,6,3,19,False
3,0,6,1,19,False
2,0,6,2,15,False
1,0,5,3,16,False
2,0,8,7,17,False
1,0,5,8,15,False
2,0,7,4,25,False
2,0,8,4,46,False
1,1,4,3,20,False
1,1,6,3,13,False
2,0,5,2,13,False
1,0,5,2,16,False
1,0,5,2,28,False
1,0,7,2,26,False
1,0,6,4,19,False
2,1,4,4,16,True
