Christopher deCharms,Clifford Stoll,Rokia Traore,Siegfried Woldhek,Iraola,isPartial
0,30,67,0,30,False
0,22,45,0,22,False
0,18,27,18,36,False
0,29,36,0,29,False
12,12,43,0,19,False
0,12,25,0,24,False
13,13,25,0,25,False
0,12,36,0,47,False
0,11,49,0,33,False
0,22,45,0,22,False
0,11,17,0,11,False
0,21,57,0,16,False
0,18,27,9,27,False
0,14,34,10,29,False
0,20,28,0,12,False
0,9,18,0,18,False
0,16,32,0,24,False
0,8,24,0,24,False
8,8,24,0,28,False
0,16,31,0,16,False
0,7,14,0,25,False
0,20,30,0,33,False
0,10,20,0,27,False
0,7,23,0,26,False
0,12,14,0,20,False
6,21,18,0,21,False
0,20,8,0,43,False
0,5,5,5,24,False
0,18,13,0,38,False
0,0,10,0,39,False
0,8,8,0,34,False
0,12,0,0,22,False
0,7,9,0,14,False
0,6,8,0,13,False
0,4,8,4,27,False
0,13,13,0,26,False
0,4,7,0,20,False
0,6,14,4,29,False
0,5,12,0,29,False
4,11,11,0,21,False
0,8,9,0,23,False
0,10,13,0,21,False
3,3,17,0,29,False
0,3,3,0,24,False
3,9,10,0,30,False
0,7,9,3,23,False
0,5,6,0,23,False
0,5,8,0,28,False
0,5,17,0,24,False
0,9,13,2,24,False
0,27,19,0,28,False
3,21,13,3,29,False
0,20,18,4,24,False
0,5,47,0,12,False
2,4,17,0,17,False
0,2,31,0,38,False
4,14,29,0,34,False
0,10,31,0,32,False
0,6,30,0,31,False
0,8,26,0,34,False
2,9,23,0,27,False
0,13,37,2,30,False
2,7,42,3,31,False
0,6,41,3,32,False
2,6,38,0,33,False
0,7,19,2,32,False
0,8,28,0,30,False
2,7,22,0,31,False
0,6,14,2,38,False
0,9,19,0,32,False
0,9,27,1,42,False
3,7,11,0,35,False
0,6,14,1,32,False
3,24,11,1,23,False
1,25,20,1,25,False
0,8,24,1,27,False
1,8,13,0,24,False
0,7,11,0,26,False
1,10,14,0,19,False
2,7,14,0,23,False
0,7,7,0,25,False
1,9,9,0,31,False
1,18,14,0,45,False
0,14,5,1,36,False
3,7,10,1,29,False
1,6,9,0,48,False
1,9,8,0,39,False
0,9,6,1,33,False
1,9,6,0,38,False
0,10,9,0,32,False
1,7,9,1,24,False
0,8,8,0,37,False
1,11,4,0,36,False
1,6,7,2,29,False
1,9,10,0,26,False
1,7,7,1,21,False
0,5,9,1,26,False
1,7,9,2,30,False
0,6,9,1,45,False
1,4,8,0,32,False
1,8,8,1,47,False
1,6,8,1,21,False
1,3,5,0,22,False
0,4,7,1,24,False
0,4,11,1,23,False
0,6,7,1,22,False
0,3,6,0,24,False
0,3,9,0,23,False
1,3,13,0,25,False
1,3,9,1,25,False
1,3,13,1,18,False
1,3,35,0,20,False
1,4,26,2,22,False
1,4,19,0,21,False
0,1,21,1,19,False
0,2,11,0,24,False
1,2,17,1,27,False
1,4,13,1,26,False
0,3,16,1,25,False
0,13,12,0,23,False
2,5,8,1,25,False
1,5,12,1,28,False
1,5,10,1,26,False
1,3,11,1,21,False
1,3,9,1,26,False
0,3,6,0,22,False
0,1,5,0,27,False
0,3,5,1,29,False
1,2,7,1,35,False
1,2,7,1,28,False
0,1,5,1,29,False
1,2,5,1,24,False
0,1,6,1,26,False
0,6,4,0,28,False
1,8,4,0,35,False
0,2,6,1,43,False
0,3,8,0,100,False
0,2,3,0,43,False
0,2,2,0,45,False
0,2,4,0,39,False
0,2,7,0,27,False
1,2,6,0,24,False
0,5,6,0,24,False
0,3,3,0,18,False
0,2,6,0,22,False
0,3,32,1,18,False
0,2,15,0,23,False
0,2,8,1,19,False
0,1,6,0,28,False
0,1,6,0,29,False
0,1,9,0,26,False
0,3,5,1,20,False
0,3,7,0,19,False
0,2,6,0,27,False
0,2,7,1,30,False
0,1,7,0,25,False
0,2,4,0,17,False
0,2,8,1,22,False
0,2,4,0,18,False
0,1,6,1,20,False
0,1,3,4,21,False
0,2,5,0,18,False
0,1,5,0,17,False
0,1,4,0,17,False
0,2,3,1,17,False
0,2,6,1,18,False
0,2,3,6,18,False
0,2,3,1,12,False
0,2,5,2,17,False
0,2,4,0,18,False
0,1,5,0,16,False
0,1,4,1,15,False
0,0,4,2,18,False
0,1,3,1,18,False
0,2,6,1,16,False
0,2,4,1,19,False
0,1,5,0,21,False
0,2,1,0,19,False
0,2,4,0,20,False
0,1,4,0,19,False
0,1,4,0,15,False
0,2,2,1,18,False
0,1,3,1,16,False
0,2,3,1,18,False
0,2,4,1,17,False
0,1,4,0,16,False
0,3,3,1,20,False
0,0,2,0,17,False
0,6,2,1,18,False
0,2,1,0,15,False
0,1,2,0,18,False
0,1,2,0,16,False
0,1,3,0,27,False
0,1,3,1,48,False
0,1,24,1,21,False
0,1,4,0,14,False
0,1,8,0,16,False
0,1,3,0,12,False
0,1,2,1,34,False
0,1,2,1,27,False
0,1,2,1,21,False
0,1,3,1,17,True
