Neha Narula,Julie Lythcott-Haims,Michael Shellenberger,Michael Murphy,Iraola,isPartial
0,0,0,69,5,False
0,0,0,53,14,False
0,0,0,59,6,False
0,0,0,57,13,False
0,0,0,68,9,False
0,0,0,41,13,False
0,0,0,74,8,False
0,0,0,55,18,False
0,0,0,56,10,False
0,0,3,67,3,False
0,0,0,97,3,False
0,0,0,54,11,False
0,0,3,55,7,False
0,0,6,55,7,False
0,0,2,57,4,False
0,0,3,71,6,False
0,0,2,55,7,False
0,0,0,61,5,False
0,0,0,50,6,False
0,0,0,77,2,False
0,0,2,47,9,False
0,0,2,41,12,False
2,0,0,52,12,False
0,0,0,47,7,False
0,0,0,61,4,False
0,0,0,33,6,False
0,0,2,41,12,False
0,0,0,40,6,False
0,0,0,51,10,False
0,0,0,46,6,False
0,0,2,41,9,False
0,0,0,53,7,False
0,0,0,39,6,False
0,0,1,43,5,False
0,0,0,54,8,False
0,1,0,51,12,False
0,0,1,34,9,False
1,0,1,46,12,False
1,0,0,37,11,False
0,0,0,37,5,False
0,0,0,35,8,False
1,0,2,39,8,False
0,0,0,40,4,False
0,0,1,37,7,False
0,0,1,40,9,False
0,0,2,83,10,False
0,0,2,43,5,False
0,0,2,38,9,False
0,0,1,40,7,False
0,0,1,47,9,False
0,0,1,45,7,False
0,0,0,39,11,False
0,0,1,45,8,False
0,0,0,36,6,False
0,0,1,42,7,False
1,0,1,40,13,False
0,0,0,39,11,False
0,0,1,35,10,False
0,0,1,30,10,False
1,0,0,37,10,False
0,0,0,39,9,False
1,0,1,36,10,False
0,0,1,34,9,False
1,0,1,44,10,False
0,0,1,33,10,False
0,0,0,68,7,False
0,0,0,76,9,False
0,0,1,49,9,False
0,0,0,46,12,False
0,0,0,38,11,False
1,0,0,39,11,False
0,0,0,100,11,False
0,0,0,63,12,False
1,0,0,47,8,False
0,0,0,51,7,False
0,0,0,43,9,False
1,0,0,42,9,False
0,0,0,38,9,False
0,0,0,38,6,False
0,0,0,36,8,False
1,0,0,38,10,False
0,0,0,38,10,False
0,0,0,36,13,False
0,0,0,39,10,False
0,0,0,42,8,False
0,0,0,32,10,False
0,0,1,33,11,False
0,0,1,32,9,False
0,0,0,64,10,False
0,0,0,33,9,False
0,0,0,32,8,False
0,0,0,36,10,False
0,0,0,33,10,False
0,0,0,37,8,False
0,0,0,35,9,False
0,0,0,35,8,False
0,0,1,34,7,False
0,0,0,63,9,False
0,0,0,43,16,False
0,0,0,40,9,False
0,0,0,41,12,False
0,0,0,43,8,False
0,0,0,47,8,False
0,0,0,56,7,False
0,0,0,81,7,False
1,0,0,71,7,False
0,0,0,52,7,False
0,0,0,47,8,False
0,0,1,43,9,False
0,0,0,52,9,False
1,0,1,50,6,False
0,0,0,43,8,False
0,0,0,43,7,False
0,0,0,37,7,False
0,0,0,53,7,False
0,0,0,45,7,False
0,0,0,42,8,False
0,0,0,47,8,False
0,0,1,44,8,False
0,0,0,47,8,False
0,0,0,92,7,False
0,0,0,68,7,False
0,0,0,45,8,False
0,0,1,57,6,False
0,1,0,59,6,False
0,0,0,64,7,False
0,0,0,60,7,False
1,0,0,91,10,False
0,0,0,55,10,False
0,0,0,48,9,False
0,0,0,51,9,False
1,0,0,42,6,False
0,0,0,44,7,False
0,0,0,49,9,False
0,0,0,36,10,False
0,1,0,42,11,False
1,0,0,45,32,False
0,1,0,39,13,False
0,1,0,42,16,False
0,1,0,40,11,False
0,1,0,35,9,False
1,1,0,37,7,False
0,1,0,37,6,False
0,1,0,36,6,False
0,1,0,37,8,False
1,1,0,37,6,False
0,0,0,35,7,False
1,0,0,40,6,False
1,0,0,43,8,False
1,0,0,37,8,False
1,0,0,33,9,False
0,0,0,49,5,False
1,2,1,33,7,False
1,1,1,34,8,False
0,1,0,31,9,False
0,1,0,33,6,False
0,1,0,33,6,False
1,0,0,34,7,False
1,0,0,32,7,False
1,0,0,41,6,False
1,0,0,39,6,False
2,0,0,31,6,False
0,0,0,33,5,False
1,0,0,37,5,False
1,0,0,31,5,False
1,2,0,33,4,False
0,1,0,34,5,False
1,1,1,33,4,False
1,1,1,34,5,False
1,1,1,31,6,False
1,1,1,29,5,False
1,1,1,28,4,False
1,1,2,42,6,False
1,1,1,31,5,False
1,0,0,48,5,False
1,1,1,36,5,False
1,1,1,35,5,False
1,1,0,34,6,False
1,1,0,31,5,False
0,1,0,31,5,False
0,1,1,36,5,False
1,1,2,37,5,False
1,1,5,35,5,False
1,1,1,31,5,False
1,0,2,41,7,False
1,1,3,37,5,False
1,0,1,40,6,False
1,0,3,32,6,False
0,0,2,31,5,False
1,0,2,34,5,False
0,0,1,34,5,False
0,0,2,34,5,False
0,0,2,31,8,False
1,0,1,31,16,False
1,1,0,26,7,False
0,0,1,32,4,False
1,0,1,45,4,False
1,1,5,50,6,False
1,0,18,37,10,False
1,0,4,34,8,False
2,1,3,30,6,False
2,0,2,29,5,True
