Melissa Walker,Jim Hemerling,Trevor Copp and Jeff Fox,Todd Coleman,Iraola,isPartial
35,0,0,14,28,False
14,0,0,35,37,False
23,0,0,17,17,False
18,0,0,27,31,False
29,0,0,17,27,False
15,0,0,0,35,False
24,0,0,36,28,False
15,0,0,17,39,False
17,0,0,10,31,False
21,0,0,10,21,False
18,0,0,11,14,False
29,0,0,20,33,False
9,0,0,9,26,False
18,0,0,18,23,False
26,0,0,15,18,False
11,0,0,11,17,False
19,0,0,19,17,False
11,0,0,10,15,False
28,0,0,12,15,False
27,0,0,15,15,False
18,0,0,13,29,False
25,0,0,0,31,False
13,0,0,15,27,False
27,0,0,6,23,False
13,0,0,16,16,False
13,0,0,11,20,False
14,0,0,11,38,False
21,0,0,15,19,False
17,0,0,9,25,False
12,5,0,11,26,False
7,0,0,10,29,False
11,0,0,6,24,False
9,0,0,17,20,False
14,0,0,4,20,False
17,0,0,9,21,False
11,0,0,11,32,False
7,0,0,12,23,False
15,4,0,7,30,False
13,0,0,7,34,False
17,0,0,9,21,False
12,3,0,13,22,False
29,0,0,12,28,False
18,0,0,8,16,False
16,0,0,14,21,False
28,0,0,7,30,False
15,2,0,16,27,False
14,0,0,17,16,False
14,0,0,8,26,False
10,0,0,12,22,False
8,0,0,10,27,False
11,0,0,11,26,False
20,0,0,11,32,False
12,0,0,8,29,False
15,0,0,9,18,False
11,4,0,8,21,False
18,0,0,15,34,False
12,0,0,12,33,False
12,0,0,6,29,False
8,2,0,2,28,False
12,0,0,7,27,False
15,0,0,6,28,False
12,0,0,7,29,False
15,0,0,5,23,False
18,0,0,10,29,False
19,0,0,5,28,False
13,0,0,12,23,False
11,0,0,9,25,False
11,0,0,22,26,False
15,0,0,20,37,False
13,0,0,25,32,False
13,0,0,14,32,False
13,0,0,13,32,False
11,0,0,14,35,False
12,0,0,14,23,False
10,0,0,13,25,False
13,0,0,11,26,False
15,0,0,95,26,False
13,0,0,50,27,False
10,0,0,8,18,False
12,0,0,6,23,False
11,1,0,4,33,False
11,0,0,5,33,False
14,0,0,5,41,False
12,0,0,5,29,False
13,0,0,8,26,False
11,0,0,8,31,False
14,0,0,5,39,False
12,0,0,9,29,False
10,0,0,8,31,False
11,0,0,6,28,False
15,0,0,7,24,False
13,0,0,7,34,False
11,0,0,7,32,False
8,0,0,7,25,False
11,0,0,11,27,False
8,0,0,8,23,False
10,0,0,7,24,False
14,0,0,6,25,False
11,0,0,6,55,False
12,0,0,6,27,False
12,0,0,7,39,False
13,0,0,5,26,False
9,0,0,8,24,False
14,0,0,6,24,False
11,0,0,8,25,False
9,0,0,6,25,False
11,0,0,8,20,False
10,0,0,7,24,False
9,0,0,22,25,False
11,0,0,7,25,False
10,1,0,7,21,False
7,0,0,10,25,False
8,0,0,9,21,False
11,0,0,6,22,False
13,0,0,8,23,False
11,0,0,8,23,False
7,0,0,3,25,False
8,0,0,7,24,False
10,0,0,4,24,False
33,0,0,9,24,False
12,0,0,10,24,False
9,0,0,8,23,False
11,0,0,7,26,False
9,0,0,6,18,False
10,0,0,6,21,False
7,0,0,5,19,False
9,0,0,6,20,False
9,0,0,5,29,False
12,0,0,6,30,False
9,0,0,8,26,False
13,0,0,8,26,False
13,0,0,8,19,False
13,0,0,7,22,False
17,0,0,7,25,False
17,0,0,7,31,False
27,0,0,9,36,False
12,0,0,5,100,False
16,0,0,6,40,False
14,0,0,10,48,False
11,0,0,13,33,False
10,0,0,13,27,False
8,0,0,7,22,False
10,0,0,6,20,False
11,1,0,6,22,False
8,0,0,5,24,False
10,0,0,5,18,False
9,0,0,4,21,False
9,0,0,6,20,False
8,0,0,5,26,False
11,0,0,6,24,False
10,0,0,5,27,False
7,0,0,5,16,False
10,0,0,6,22,False
9,2,0,7,22,False
6,1,0,7,27,False
8,1,0,5,20,False
8,1,0,5,17,False
8,1,0,4,19,False
8,1,0,4,18,False
7,1,0,3,17,False
6,0,0,5,19,False
7,0,0,5,18,False
6,0,0,6,17,False
7,1,0,5,15,False
6,0,0,6,14,False
8,1,0,5,14,False
9,0,0,5,15,False
7,0,0,4,11,False
8,1,0,6,16,False
8,1,0,6,18,False
8,0,0,4,17,False
6,1,0,4,12,False
6,0,0,2,16,False
7,1,0,4,17,False
7,1,0,3,15,False
9,1,0,7,16,False
5,1,0,5,17,False
6,0,0,4,19,False
7,1,0,4,15,False
8,1,0,4,15,False
7,1,0,4,15,False
7,1,0,5,18,False
7,1,0,3,15,False
7,1,0,4,16,False
6,0,0,3,19,False
5,0,0,4,15,False
7,0,0,6,19,False
6,1,0,6,19,False
6,0,0,5,15,False
6,1,0,6,16,False
6,0,0,5,17,False
9,0,0,5,15,False
7,1,0,4,25,False
5,0,0,6,46,False
5,1,0,5,20,False
7,1,0,5,13,False
5,1,0,6,13,False
6,0,0,4,16,False
6,1,0,4,28,False
7,0,0,6,26,False
6,1,0,5,19,False
9,1,0,4,16,True
