Sofia Jawed-Wessel,George Tulevski,Dan Bricklin,Alejandro Sánchez Alvarado,Iraola,isPartial
0,0,23,0,28,False
0,0,28,0,37,False
0,0,34,0,17,False
0,0,27,0,31,False
0,12,11,0,27,False
0,0,11,0,35,False
0,0,18,0,28,False
0,0,11,0,39,False
0,0,10,0,31,False
0,0,10,0,21,False
0,0,11,0,14,False
0,0,15,0,33,False
0,0,14,0,26,False
0,0,12,0,23,False
0,0,15,0,18,False
0,0,0,0,17,False
0,0,7,0,17,False
0,0,10,0,15,False
0,0,0,0,15,False
0,0,11,0,15,False
0,0,10,0,29,False
0,0,13,0,31,False
0,0,9,0,27,False
0,0,12,0,23,False
0,0,8,0,16,False
0,0,13,0,20,False
0,0,10,5,38,False
0,0,8,5,19,False
0,0,5,0,25,False
0,0,10,0,26,False
0,0,7,0,29,False
0,0,5,0,24,False
0,0,7,0,20,False
0,0,10,0,20,False
0,0,4,0,21,False
0,0,12,0,32,False
0,0,5,0,23,False
0,0,4,0,30,False
0,0,5,0,34,False
0,0,3,0,21,False
0,0,7,0,22,False
0,0,0,3,28,False
0,0,3,0,16,False
0,0,6,0,21,False
0,0,6,0,30,False
0,0,2,0,27,False
0,0,2,0,16,False
0,0,5,0,26,False
0,2,4,2,22,False
0,0,4,0,27,False
0,0,6,2,26,False
0,0,2,0,32,False
0,0,6,0,29,False
0,0,4,0,18,False
0,0,3,0,21,False
0,2,2,0,34,False
0,0,3,2,33,False
0,0,5,0,29,False
0,0,4,0,28,False
0,0,2,0,27,False
0,0,3,0,28,False
0,0,3,0,29,False
0,2,2,2,23,False
0,0,3,0,29,False
0,0,6,0,28,False
0,0,2,0,23,False
0,2,2,2,25,False
0,0,5,0,26,False
0,0,2,1,37,False
0,0,6,0,32,False
0,0,2,0,32,False
0,0,2,0,32,False
0,1,2,0,35,False
0,0,7,0,23,False
0,0,2,2,25,False
0,0,3,0,26,False
0,0,3,0,26,False
0,0,3,0,27,False
0,0,3,0,18,False
0,0,6,0,23,False
0,0,4,1,33,False
0,0,4,0,33,False
0,0,6,0,41,False
0,0,2,0,29,False
0,0,2,1,26,False
0,0,3,1,31,False
0,0,3,0,39,False
0,0,2,0,29,False
0,0,4,0,31,False
0,0,2,1,28,False
0,0,2,0,24,False
0,0,3,0,34,False
0,0,3,0,32,False
0,0,4,0,25,False
0,0,2,0,27,False
0,0,3,0,23,False
0,0,2,0,24,False
0,0,1,1,25,False
0,0,2,1,55,False
0,0,2,0,27,False
0,0,1,0,39,False
0,0,2,1,26,False
0,0,2,1,24,False
0,0,1,0,24,False
0,0,1,1,25,False
0,0,2,0,25,False
0,0,3,0,20,False
0,0,1,0,24,False
0,0,2,0,25,False
1,0,2,0,25,False
0,0,1,1,21,False
0,0,2,1,25,False
0,1,2,0,21,False
0,0,1,0,22,False
0,0,1,0,23,False
0,0,1,1,23,False
0,0,1,0,25,False
0,0,2,1,24,False
0,0,2,0,24,False
0,0,1,0,24,False
0,0,1,0,24,False
1,0,1,0,23,False
0,0,2,0,26,False
0,0,1,0,18,False
0,0,1,0,21,False
0,0,1,0,19,False
0,1,1,0,20,False
0,0,2,0,29,False
0,0,2,0,30,False
0,0,1,0,26,False
0,0,1,0,26,False
0,0,1,1,19,False
0,0,1,0,22,False
0,0,3,1,25,False
0,0,1,0,31,False
0,0,1,0,36,False
0,0,1,1,100,False
0,0,1,0,40,False
0,0,1,0,48,False
0,0,2,0,33,False
0,0,3,0,27,False
0,0,2,1,22,False
0,0,2,0,20,False
0,0,1,0,22,False
0,0,1,0,24,False
0,0,1,0,18,False
0,0,1,0,21,False
0,0,1,0,20,False
0,0,0,1,26,False
0,0,0,0,24,False
0,0,1,0,27,False
0,0,1,0,16,False
0,0,1,1,22,False
0,0,1,0,22,False
0,0,1,0,27,False
0,0,1,0,20,False
2,1,3,1,17,False
1,0,2,0,19,False
1,1,2,0,18,False
0,0,2,0,17,False
0,0,2,0,19,False
1,0,1,0,18,False
2,0,1,1,17,False
0,0,2,0,15,False
1,0,1,0,14,False
0,0,2,0,14,False
0,0,1,0,15,False
0,0,0,1,11,False
0,0,1,0,16,False
0,0,1,0,18,False
0,0,1,0,17,False
0,0,1,0,12,False
0,0,1,0,16,False
0,0,1,0,17,False
0,0,1,0,15,False
0,0,1,1,16,False
0,0,1,0,17,False
0,0,1,1,19,False
0,0,1,0,15,False
0,0,1,0,15,False
0,0,1,0,15,False
0,0,1,0,18,False
0,0,1,1,15,False
0,0,1,0,16,False
0,1,2,0,19,False
0,0,1,0,15,False
0,0,1,0,19,False
0,0,1,0,19,False
0,0,1,0,15,False
0,0,2,0,16,False
0,1,1,0,17,False
0,0,1,0,15,False
0,0,2,0,25,False
0,0,2,0,46,False
0,0,1,0,20,False
0,0,1,0,13,False
0,0,1,0,13,False
0,0,1,0,16,False
0,0,1,0,28,False
0,0,1,0,26,False
0,0,1,0,19,False
0,1,1,0,16,True
