Tod Machover + Dan Ellsey,Yochai Benkler,Ernest Madu,Amy Tan,Iraola,isPartial
0,5,0,78,7,False
0,5,0,100,14,False
0,0,0,89,8,False
0,4,0,98,9,False
0,0,0,99,9,False
0,0,0,54,8,False
6,4,0,56,8,False
0,0,0,35,14,False
3,3,0,69,8,False
0,0,0,77,7,False
0,3,0,75,3,False
0,0,0,58,5,False
3,0,0,62,7,False
0,3,0,68,9,False
2,3,0,76,7,False
3,3,0,61,8,False
0,2,0,63,6,False
0,2,0,33,8,False
2,2,0,25,7,False
0,2,0,37,5,False
0,0,0,64,9,False
0,0,0,76,8,False
2,2,0,73,6,False
0,0,0,49,8,False
2,4,0,66,5,False
0,2,0,56,6,False
0,2,0,61,10,False
2,4,0,66,6,False
5,2,0,61,10,False
2,4,0,27,10,False
2,2,0,27,10,False
1,3,0,32,6,False
1,3,0,53,7,False
1,3,0,58,6,False
1,2,0,41,7,False
1,1,0,39,7,False
1,0,0,49,6,False
1,2,0,49,8,False
1,2,0,40,8,False
2,2,0,40,7,False
1,2,0,36,9,False
1,2,0,35,7,False
1,3,0,21,8,False
1,1,0,29,7,False
2,4,0,46,9,False
1,2,0,40,6,False
1,2,0,39,8,False
0,1,0,30,8,False
1,1,0,30,7,False
1,2,0,37,6,False
1,1,0,37,8,False
1,2,0,41,8,False
1,2,0,35,9,False
1,1,0,29,6,False
1,1,0,21,5,False
1,1,0,23,10,False
1,1,0,44,10,False
1,1,0,40,9,False
1,2,0,28,10,False
1,1,0,29,9,False
1,2,0,28,8,False
1,2,0,39,8,False
1,1,0,30,8,False
1,1,0,34,10,False
0,2,0,32,9,False
0,1,0,24,9,False
1,2,0,15,9,False
1,1,0,16,10,False
0,1,0,42,12,False
1,1,0,36,9,False
1,2,0,30,11,False
1,2,0,25,10,False
2,1,0,24,10,False
0,1,0,32,7,False
0,1,0,29,9,False
0,1,0,30,8,False
1,1,0,25,7,False
1,1,0,18,9,False
1,1,0,17,6,False
0,1,0,20,7,False
1,2,0,34,8,False
1,1,0,28,10,False
1,1,0,25,13,False
0,1,0,20,11,False
0,1,0,24,10,False
1,1,0,26,13,False
1,1,0,26,12,False
1,1,0,24,10,False
0,1,0,20,11,False
1,0,0,20,10,False
0,1,0,23,8,False
1,1,0,18,11,False
0,1,0,30,11,False
0,1,0,26,9,False
1,1,0,22,8,False
0,1,0,23,7,False
1,1,0,27,9,False
0,1,0,28,10,False
0,1,0,25,15,False
1,1,0,24,10,False
0,1,0,21,15,False
0,1,0,16,7,False
0,1,0,15,7,False
0,1,0,16,8,False
0,1,0,31,8,False
0,0,0,27,7,False
0,0,0,21,8,False
0,0,0,16,8,False
0,1,0,20,7,False
0,1,0,23,7,False
1,1,0,22,6,False
0,1,0,23,7,False
0,0,0,19,7,False
0,0,0,14,7,False
0,1,0,13,7,False
1,1,0,16,8,False
0,1,0,29,8,False
1,1,0,27,7,False
0,1,0,38,8,False
0,0,0,28,8,False
0,1,0,24,7,False
1,0,0,33,8,False
0,0,0,30,8,False
0,1,0,25,7,False
0,0,0,23,8,False
0,0,0,16,7,False
0,0,0,15,8,False
0,0,0,26,10,False
0,1,0,35,11,False
1,0,0,30,8,False
0,0,0,18,8,False
0,0,0,18,7,False
0,0,0,18,8,False
0,1,0,23,8,False
0,1,0,23,10,False
0,0,0,24,13,False
0,0,0,17,29,False
0,0,0,14,13,False
0,0,0,13,15,False
0,0,0,15,11,False
0,0,0,30,8,False
0,0,0,25,7,False
0,0,0,17,7,False
0,0,0,15,7,False
1,0,0,15,7,False
0,1,0,19,6,False
0,0,0,16,7,False
0,0,0,14,6,False
0,0,0,14,8,False
0,0,0,11,8,False
0,0,0,10,8,False
0,0,0,15,6,False
0,0,0,28,6,False
0,0,0,20,9,False
0,0,0,15,9,False
0,0,0,13,8,False
0,0,0,15,5,False
0,1,0,18,6,False
0,1,0,19,5,False
0,1,0,16,5,False
0,0,0,14,6,False
0,1,0,11,5,False
0,0,0,10,5,False
0,0,0,11,6,False
0,0,0,26,5,False
0,0,0,27,5,False
0,0,0,18,5,False
0,0,0,14,4,False
0,0,0,16,5,False
0,0,0,17,6,False
0,0,0,15,5,False
1,0,0,16,4,False
0,0,0,15,6,False
0,0,0,10,5,False
0,0,0,9,5,False
0,0,0,14,6,False
0,0,0,26,6,False
0,0,0,21,6,False
0,1,0,16,6,False
1,0,0,12,6,False
0,0,0,15,5,False
0,0,0,16,5,False
0,0,0,14,5,False
0,0,0,14,5,False
0,0,0,12,5,False
0,1,0,9,5,False
0,0,0,9,7,False
0,0,0,12,6,False
0,0,0,24,6,False
0,0,0,19,5,False
0,0,0,14,5,False
0,0,0,10,5,False
0,0,0,13,8,False
0,0,0,15,15,False
0,0,0,13,6,False
0,0,0,14,5,False
0,0,0,13,5,False
0,0,0,10,4,False
0,0,0,10,10,False
0,0,0,12,8,False
0,0,0,24,6,False
0,1,0,17,6,True
