Giorgia Lupi,Ari Wallach,Jonathan Marks,Todd Scott,Iraola,isPartial
0,0,17,79,22,False
0,0,0,100,30,False
0,0,20,55,14,False
0,0,14,36,25,False
0,9,9,40,21,False
0,0,9,86,27,False
0,0,15,74,22,False
0,0,9,84,31,False
0,0,21,49,25,False
0,0,13,56,17,False
0,0,8,25,11,False
0,0,20,60,26,False
0,0,7,69,20,False
0,0,15,53,18,False
0,0,12,72,14,False
0,0,7,43,13,False
0,0,12,40,14,False
0,0,9,46,12,False
0,0,12,51,12,False
0,0,6,71,12,False
0,0,7,52,23,False
0,0,8,47,25,False
5,5,10,37,22,False
0,0,7,43,18,False
0,0,6,55,13,False
0,0,7,64,16,False
0,0,4,42,30,False
4,0,11,45,15,False
0,0,11,42,20,False
0,0,7,53,21,False
0,0,8,53,23,False
4,0,8,33,19,False
0,3,10,36,16,False
0,0,11,49,16,False
3,0,9,37,16,False
0,0,6,37,25,False
0,0,6,32,18,False
0,0,4,28,24,False
0,0,11,37,27,False
0,0,9,36,17,False
0,0,7,35,18,False
0,0,4,40,22,False
0,2,5,31,12,False
0,0,3,34,17,False
0,0,4,37,24,False
0,0,8,26,21,False
0,0,6,28,13,False
2,0,8,35,21,False
0,0,4,43,18,False
0,0,6,34,21,False
0,0,7,38,21,False
0,0,6,39,25,False
0,0,6,38,23,False
2,2,9,31,14,False
2,0,6,36,17,False
0,0,5,31,27,False
0,2,6,34,27,False
0,3,8,36,23,False
1,0,10,25,22,False
0,0,6,26,21,False
0,0,6,30,22,False
0,0,7,33,23,False
1,0,6,28,18,False
0,0,4,35,23,False
1,1,7,27,22,False
1,1,7,27,18,False
0,0,4,22,20,False
1,0,6,27,21,False
1,1,9,24,30,False
0,0,7,21,25,False
1,2,7,23,25,False
0,2,5,27,25,False
0,0,8,33,28,False
0,0,7,22,18,False
1,1,7,21,20,False
1,1,8,24,21,False
1,0,5,22,21,False
1,0,8,26,21,False
0,1,7,21,14,False
1,1,4,32,18,False
0,0,6,26,26,False
1,1,6,23,27,False
1,2,7,32,32,False
0,2,7,25,23,False
1,0,7,33,21,False
2,1,6,25,25,False
1,0,5,20,31,False
0,0,5,27,23,False
0,0,4,25,25,False
0,0,5,28,22,False
1,0,7,28,19,False
0,0,5,26,27,False
0,1,8,29,26,False
1,1,9,28,20,False
1,1,9,22,21,False
1,0,6,20,18,False
0,0,6,30,19,False
1,0,4,22,20,False
1,1,4,23,44,False
0,1,6,22,22,False
0,1,5,21,31,False
1,0,5,28,20,False
0,1,5,24,19,False
0,0,4,38,19,False
0,1,4,24,20,False
0,0,7,33,20,False
1,1,7,26,16,False
0,0,7,23,19,False
0,0,3,22,20,False
0,1,4,22,20,False
0,0,6,23,17,False
0,0,5,22,20,False
0,0,4,23,17,False
1,1,3,24,17,False
1,0,3,25,18,False
1,0,5,32,18,False
0,1,6,22,20,False
1,0,5,35,19,False
1,0,6,25,19,False
0,0,5,21,19,False
1,0,4,19,19,False
1,0,5,56,19,False
1,0,5,32,21,False
1,0,4,29,15,False
1,0,4,24,17,False
0,0,3,22,15,False
0,0,5,24,16,False
1,0,3,20,23,False
0,0,5,23,24,False
0,0,3,24,21,False
1,0,3,19,20,False
1,0,6,19,15,False
0,0,3,23,17,False
1,0,4,17,20,False
0,0,3,23,25,False
1,0,4,19,29,False
0,0,3,19,80,False
1,0,6,20,32,False
0,0,2,19,38,False
0,0,3,21,26,False
1,0,4,22,22,False
0,0,5,18,18,False
0,0,4,18,16,False
0,0,4,22,17,False
0,0,3,19,19,False
1,0,4,22,14,False
1,0,4,20,17,False
0,0,4,21,16,False
0,0,3,18,21,False
0,0,4,21,19,False
1,0,2,18,21,False
0,0,2,17,13,False
1,0,3,18,17,False
0,0,4,16,18,False
1,0,3,15,22,False
1,0,4,17,16,False
1,1,3,16,14,False
1,0,3,17,15,False
1,0,3,15,14,False
2,2,3,20,14,False
1,1,2,17,15,False
1,1,2,14,14,False
1,1,3,14,13,False
1,1,4,15,12,False
1,0,2,17,11,False
1,0,4,15,12,False
0,0,4,15,12,False
1,0,3,15,9,False
1,0,4,17,12,False
1,0,3,18,14,False
2,0,3,17,14,False
2,0,3,16,10,False
2,0,3,15,13,False
1,0,3,15,13,False
0,0,3,17,12,False
1,0,3,16,13,False
1,0,3,17,14,False
1,0,3,14,15,False
1,0,3,19,12,False
0,0,4,15,12,False
1,0,3,16,12,False
1,0,3,18,14,False
1,0,3,15,12,False
1,0,3,17,13,False
3,0,2,18,15,False
3,0,4,19,12,False
1,0,2,16,15,False
1,0,4,18,15,False
2,0,4,15,12,False
2,0,3,16,13,False
2,0,2,15,13,False
1,0,3,16,12,False
1,0,2,16,20,False
3,0,2,13,37,False
2,0,2,13,16,False
3,0,2,16,10,False
2,0,2,16,10,False
1,0,2,14,12,False
1,0,3,15,22,False
1,1,2,15,21,False
1,0,4,17,15,False
1,0,2,14,13,True
