Zubaida Bai,Siamak Hariri,Natasha Hurley-Walker,Amy Green,Iraola,isPartial
0,0,0,12,8,False
0,0,0,14,11,False
0,0,0,14,5,False
0,4,0,6,9,False
0,0,0,5,8,False
0,3,0,8,10,False
0,0,0,11,8,False
0,0,0,14,12,False
0,3,0,13,9,False
0,3,0,12,6,False
0,0,0,9,4,False
0,0,0,13,10,False
0,0,0,22,8,False
0,0,0,15,7,False
0,2,0,19,5,False
0,0,0,17,5,False
0,0,0,12,5,False
0,2,0,10,4,False
0,0,0,12,5,False
0,2,0,9,4,False
0,2,0,13,9,False
0,0,0,16,9,False
0,2,0,14,8,False
0,0,0,9,7,False
0,0,0,11,5,False
0,2,0,13,6,False
0,0,0,12,11,False
0,0,0,13,6,False
0,0,0,11,7,False
0,0,0,10,8,False
0,1,0,11,9,False
0,0,0,9,7,False
0,0,0,7,6,False
0,0,0,9,6,False
0,0,0,8,6,False
0,0,0,12,9,False
0,1,0,10,7,False
0,1,0,10,9,False
0,1,0,11,10,False
0,1,0,15,6,False
0,0,0,9,7,False
0,0,0,12,8,False
0,2,0,12,5,False
0,0,0,15,6,False
0,0,0,14,9,False
0,0,0,11,8,False
0,1,0,13,5,False
0,0,0,12,8,False
0,0,0,17,7,False
0,0,0,19,8,False
0,0,0,15,8,False
0,0,0,16,9,False
0,0,0,16,9,False
0,0,0,15,5,False
0,0,0,15,6,False
0,0,0,19,10,False
0,1,0,16,10,False
0,1,0,18,8,False
0,1,0,15,8,False
0,0,0,18,8,False
0,1,0,18,8,False
0,1,0,21,8,False
0,0,0,17,7,False
0,0,0,22,9,False
0,0,0,19,8,False
0,0,0,21,7,False
0,0,0,20,7,False
0,0,0,24,8,False
0,0,0,22,11,False
0,0,0,20,9,False
0,0,0,19,9,False
0,0,0,19,9,False
0,0,0,21,10,False
0,0,0,21,7,False
0,0,0,18,7,False
0,0,0,19,8,False
0,0,0,16,8,False
0,0,0,15,8,False
0,0,0,16,5,False
0,0,0,17,7,False
0,0,0,16,10,False
0,0,0,15,10,False
0,0,0,18,12,False
0,0,0,18,9,False
0,0,0,18,8,False
0,0,0,18,9,False
0,0,0,16,12,False
0,0,0,19,9,False
0,0,0,20,9,False
0,0,0,19,8,False
0,0,0,41,7,False
0,0,0,32,10,False
0,0,0,18,10,False
0,0,0,18,7,False
0,0,0,18,8,False
0,0,0,18,7,False
0,0,0,20,7,False
0,0,0,18,7,False
0,0,0,16,16,False
0,0,0,16,8,False
1,0,0,17,12,False
0,0,0,16,8,False
0,0,0,18,7,False
0,0,0,18,7,False
0,0,0,20,7,False
0,0,0,65,7,False
0,0,0,100,6,False
0,0,0,60,7,False
0,0,0,41,7,False
0,0,0,48,7,False
0,0,0,37,6,False
0,0,0,30,7,False
0,0,0,24,6,False
0,0,0,24,6,False
0,0,0,21,7,False
0,0,0,47,7,False
0,0,0,20,8,False
0,0,0,22,7,False
0,0,0,26,7,False
0,0,0,29,7,False
0,0,0,21,7,False
0,0,0,19,7,False
0,0,0,23,8,False
0,0,0,21,5,False
0,0,0,20,6,False
0,0,0,18,6,False
0,0,0,19,6,False
0,0,0,19,9,False
0,0,0,19,9,False
0,0,0,16,8,False
0,0,0,17,8,False
0,0,0,17,6,False
0,0,0,18,6,False
0,0,0,17,7,False
0,0,0,16,9,False
0,0,0,16,11,False
0,0,0,13,30,False
0,0,0,18,12,False
0,0,0,21,14,False
0,0,0,18,10,False
0,0,0,16,8,False
0,0,0,16,7,False
0,0,0,14,6,False
0,0,0,16,6,False
0,0,0,17,7,False
0,0,0,15,5,False
0,0,0,13,6,False
0,0,0,13,6,False
0,0,0,13,8,False
0,0,0,13,7,False
0,0,0,12,8,False
0,0,0,12,5,False
0,0,0,13,6,False
0,0,0,13,7,False
0,0,0,11,8,False
0,0,0,12,6,False
0,0,0,12,5,False
0,0,0,13,6,False
0,0,0,15,5,False
0,0,0,12,5,False
0,0,0,13,6,False
0,0,0,10,5,False
0,0,0,12,5,False
0,0,0,12,4,False
0,0,0,10,4,False
0,0,0,9,4,False
0,0,0,11,5,False
0,0,0,9,3,False
0,0,0,10,5,False
0,0,0,11,5,False
0,0,0,9,5,False
0,0,0,10,4,False
0,0,0,10,5,False
0,0,0,9,5,False
0,0,0,10,4,False
0,0,0,9,5,False
0,0,0,10,5,False
0,0,0,9,6,False
0,0,0,9,4,False
0,0,0,9,5,False
0,0,0,11,4,False
0,0,0,13,5,False
0,0,0,11,5,False
0,0,0,10,5,False
0,0,0,9,6,False
0,0,0,9,5,False
0,0,0,10,6,False
0,0,0,10,6,False
0,0,0,11,4,False
0,0,0,12,5,False
0,0,0,10,5,False
0,0,0,11,4,False
0,0,0,10,7,False
0,0,0,11,14,False
0,0,0,9,6,False
0,0,0,10,4,False
0,0,0,12,4,False
0,0,0,10,5,False
0,0,0,11,8,False
0,0,0,10,8,False
0,0,0,11,6,False
0,0,0,13,5,True
