His Holiness Pope Francis,Serena Williams and Gayle King,Lisa Genova,Deborah Lipstadt,Iraola,isPartial
0,0,0,0,15,False
0,0,14,43,44,False
0,0,0,0,18,False
0,0,0,0,42,False
0,0,12,0,30,False
0,0,0,0,42,False
0,0,0,13,25,False
0,0,0,0,58,False
0,0,0,11,32,False
0,0,0,0,11,False
0,0,0,11,11,False
0,0,0,0,36,False
0,0,0,9,22,False
0,0,0,19,23,False
0,0,0,28,12,False
0,0,0,9,18,False
0,0,0,15,23,False
0,0,0,16,16,False
0,0,0,32,20,False
0,0,0,15,8,False
0,0,0,0,28,False
0,0,0,13,39,False
0,0,0,7,39,False
0,0,0,13,22,False
0,0,0,14,14,False
0,0,0,20,20,False
0,0,0,17,40,False
0,0,0,8,19,False
0,0,10,5,32,False
0,0,0,5,21,False
0,0,0,0,28,False
0,0,0,0,21,False
0,0,0,9,18,False
0,0,0,4,16,False
0,0,4,8,24,False
0,0,0,12,39,False
0,0,0,18,29,False
0,0,4,11,38,False
0,0,0,5,35,False
0,0,0,3,17,False
0,0,0,3,24,False
0,0,3,6,25,False
0,0,0,3,12,False
0,0,0,0,23,False
0,0,0,0,28,False
0,0,0,5,33,False
0,0,2,5,17,False
0,0,3,5,29,False
0,0,2,3,22,False
0,0,0,4,30,False
0,0,0,4,23,False
0,0,7,4,36,False
0,0,2,11,26,False
0,0,2,4,18,False
0,0,2,3,22,False
0,0,4,4,41,False
0,0,3,4,35,False
0,0,4,5,33,False
0,0,2,2,31,False
0,0,2,5,31,False
0,0,7,3,29,False
0,0,6,7,30,False
0,0,6,4,29,False
0,0,6,4,31,False
0,0,9,5,32,False
0,0,4,3,23,False
0,0,6,3,27,False
0,0,10,2,29,False
0,0,6,3,39,False
0,0,9,3,36,False
0,0,8,7,33,False
0,0,3,1,33,False
0,0,9,3,39,False
0,0,5,4,24,False
0,0,9,2,21,False
0,0,6,2,28,False
0,0,5,2,30,False
0,0,6,4,28,False
0,0,2,2,18,False
0,0,5,4,26,False
0,0,5,2,31,False
0,0,10,0,32,False
0,0,6,1,41,False
0,0,4,3,31,False
0,0,19,3,26,False
0,0,11,3,31,False
0,0,15,2,36,False
0,0,12,3,28,False
0,0,7,4,33,False
0,0,7,3,28,False
0,0,4,4,25,False
0,0,11,1,33,False
0,0,9,3,32,False
0,0,12,4,25,False
0,0,6,4,28,False
0,0,8,4,25,False
0,0,8,3,22,False
0,0,8,2,27,False
0,0,8,2,52,False
0,0,8,3,28,False
0,0,7,2,37,False
0,0,7,2,26,False
0,0,4,2,24,False
0,0,7,2,23,False
0,0,14,3,23,False
0,0,14,3,23,False
0,0,10,1,21,False
0,0,10,1,24,False
0,0,12,2,28,False
0,0,8,2,29,False
2,0,7,2,20,False
0,0,10,2,24,False
0,0,7,1,23,False
1,0,6,1,24,False
0,0,7,1,22,False
1,0,8,3,23,False
1,0,6,3,24,False
1,0,7,1,24,False
1,0,7,1,25,False
1,0,7,1,26,False
1,0,7,1,22,False
1,0,7,1,24,False
1,0,7,1,27,False
0,0,9,1,20,False
1,0,7,2,20,False
1,0,6,1,21,False
1,0,9,1,22,False
1,0,5,5,30,False
1,0,10,4,33,False
1,0,7,3,28,False
1,0,7,2,29,False
2,0,11,3,19,False
2,0,41,1,22,False
1,0,45,2,27,False
1,0,36,2,33,False
0,0,24,2,36,False
0,0,29,2,100,False
0,0,19,0,40,False
0,0,18,2,49,False
0,0,13,1,35,False
1,0,16,1,28,False
0,0,13,2,23,False
2,0,10,2,19,False
1,0,11,1,19,False
0,0,17,0,24,False
1,0,15,2,19,False
2,0,13,2,22,False
0,0,9,2,20,False
1,0,8,1,24,False
0,0,9,9,25,False
0,0,9,3,27,False
0,0,8,4,16,False
0,0,6,9,22,False
0,0,8,24,24,False
0,0,6,8,29,False
0,0,5,15,19,False
1,0,5,38,19,False
1,0,7,21,21,False
0,0,6,12,21,False
1,0,7,24,19,False
0,0,11,22,17,False
1,0,10,14,19,False
0,0,12,9,17,False
0,0,8,9,14,False
1,0,8,7,15,False
0,0,7,6,14,False
1,0,9,8,15,False
1,0,10,7,12,False
0,0,11,7,16,False
1,0,9,7,20,False
1,0,16,7,17,False
0,0,13,10,14,False
0,0,9,9,18,False
0,0,7,7,16,False
0,0,6,10,17,False
0,0,9,7,17,False
1,0,10,5,17,False
0,0,10,7,19,False
0,0,7,6,16,False
0,0,9,7,17,False
1,0,11,12,15,False
0,0,10,9,17,False
0,0,9,8,15,False
1,0,6,4,15,False
0,0,6,14,21,False
0,0,5,4,15,False
1,0,6,6,19,False
0,0,7,4,18,False
1,0,5,11,16,False
1,0,7,3,16,False
1,0,5,5,17,False
1,0,7,12,17,False
0,0,8,12,25,False
1,0,6,7,50,False
0,0,4,4,21,False
0,0,4,8,13,False
1,0,5,5,12,False
0,0,6,5,18,False
0,0,5,3,31,False
0,0,5,4,26,False
0,0,5,3,19,False
1,0,6,3,16,True
