Laura Galante,Karim Abouelnaga,Carolyn Jones,Jorge Drexler,Iraola,isPartial
0,0,5,8,4,False
0,0,3,8,6,False
0,0,5,31,3,False
0,0,9,19,5,False
0,0,3,21,4,False
0,0,24,19,5,False
0,0,15,18,4,False
0,0,11,24,6,False
0,0,9,18,5,False
2,0,6,17,3,False
0,0,3,19,2,False
0,0,3,18,5,False
1,0,7,23,4,False
0,0,5,69,3,False
0,0,5,100,3,False
0,0,5,46,3,False
0,0,4,42,3,False
0,0,3,36,2,False
0,0,6,37,2,False
1,0,5,25,2,False
1,0,3,24,4,False
1,0,3,24,5,False
0,0,3,21,4,False
1,0,4,22,3,False
0,0,3,21,2,False
1,0,5,24,3,False
0,0,3,18,6,False
2,0,4,20,3,False
0,0,7,17,4,False
1,0,16,16,4,False
0,0,7,16,4,False
1,0,5,18,4,False
0,0,6,46,3,False
0,0,5,40,3,False
1,0,3,34,3,False
0,0,4,29,5,False
0,0,7,20,3,False
0,0,3,29,5,False
0,0,4,30,5,False
0,0,7,37,3,False
0,0,6,25,3,False
0,0,5,23,4,False
0,0,7,21,2,False
0,0,6,20,3,False
0,0,5,33,5,False
0,0,5,30,4,False
0,0,7,22,2,False
0,0,5,21,4,False
0,0,5,20,3,False
0,0,4,20,4,False
0,0,4,21,4,False
0,0,5,31,5,False
0,0,3,34,4,False
0,0,5,24,3,False
0,0,5,29,3,False
0,0,5,21,5,False
1,0,4,21,5,False
0,0,5,18,4,False
1,0,4,18,4,False
0,0,4,16,4,False
0,0,3,15,4,False
0,0,3,15,4,False
0,0,3,18,3,False
0,0,5,22,4,False
0,0,4,25,4,False
0,0,3,22,3,False
0,0,4,23,4,False
0,0,5,20,4,False
0,0,3,22,6,False
0,0,6,20,5,False
0,0,7,21,5,False
0,0,3,17,5,False
0,0,3,18,5,False
0,0,3,22,3,False
0,0,4,37,4,False
0,0,4,39,4,False
0,0,4,32,4,False
0,0,3,29,4,False
0,0,3,33,3,False
0,0,4,33,3,False
0,0,4,45,5,False
0,0,4,31,5,False
0,0,5,27,6,False
0,0,3,22,4,False
0,0,4,23,4,False
0,0,4,24,5,False
0,0,3,22,6,False
1,0,4,24,4,False
0,0,3,25,5,False
0,0,4,25,4,False
0,0,5,26,4,False
0,0,4,28,5,False
0,0,3,28,5,False
0,0,6,37,4,False
0,0,5,30,4,False
0,0,4,23,3,False
0,0,5,23,4,False
0,0,3,28,4,False
0,0,3,26,8,False
0,0,4,25,4,False
0,0,4,27,6,False
0,0,3,22,4,False
0,0,4,18,4,False
0,0,4,20,4,False
0,0,3,20,4,False
0,0,6,18,4,False
0,0,3,17,3,False
0,0,3,19,4,False
0,0,4,16,4,False
0,0,4,18,4,False
0,0,3,18,3,False
0,0,4,22,4,False
0,0,4,24,3,False
0,0,4,24,3,False
0,0,4,19,3,False
0,0,4,17,3,False
0,0,5,16,4,False
0,0,7,14,4,False
0,0,6,13,4,False
0,0,4,11,4,False
0,0,5,11,4,False
0,0,4,16,4,False
0,0,5,22,4,False
0,0,5,24,3,False
0,0,5,26,3,False
0,0,4,18,3,False
0,0,5,16,3,False
0,0,6,15,4,False
0,0,6,17,5,False
0,0,5,15,4,False
0,0,5,16,4,False
1,0,8,14,3,False
0,0,4,15,3,False
0,0,4,15,4,False
0,0,5,18,5,False
0,0,4,14,5,False
0,0,4,19,15,False
0,0,4,12,6,False
0,0,5,11,7,False
0,0,5,12,5,False
0,0,5,13,4,False
0,0,7,11,3,False
0,0,5,12,3,False
0,0,3,9,3,False
0,0,4,7,4,False
0,0,4,8,3,False
0,0,4,8,3,False
0,0,4,8,3,False
0,0,3,8,4,False
0,0,3,7,4,False
0,0,4,10,4,False
0,0,3,8,2,False
0,0,4,8,3,False
0,0,5,10,3,False
0,0,3,8,4,False
0,0,4,7,3,False
0,0,3,7,3,False
0,0,3,8,3,False
0,0,3,6,3,False
0,0,4,7,3,False
1,0,3,10,3,False
0,0,3,9,3,False
0,0,2,11,2,False
0,0,4,10,2,False
0,0,3,13,2,False
0,2,6,15,2,False
0,1,4,13,2,False
0,0,3,12,2,False
0,0,3,11,2,False
0,0,3,15,3,False
0,0,3,12,3,False
0,0,4,17,2,False
0,0,3,12,2,False
0,0,3,11,3,False
0,0,4,10,2,False
0,0,4,9,2,False
0,0,3,11,3,False
0,0,6,9,3,False
0,0,4,18,2,False
0,0,3,11,2,False
0,0,3,9,2,False
0,0,4,10,3,False
0,0,3,10,2,False
0,0,3,10,2,False
0,0,4,9,3,False
0,0,5,11,2,False
0,0,3,10,3,False
0,0,4,10,3,False
0,0,4,10,2,False
0,0,9,9,2,False
0,0,5,10,3,False
0,0,4,8,2,False
0,0,4,9,4,False
0,0,4,9,7,False
0,0,4,19,3,False
0,0,5,12,2,False
0,0,5,9,2,False
0,0,4,7,2,False
0,0,3,8,4,False
0,0,4,6,4,False
0,0,4,7,3,False
0,0,6,6,2,True
