Paul Stamets,Paul Ewald,Michael Moschen,Joshua Klein,Iraola,isPartial
10,0,0,10,16,False
0,0,0,10,31,False
0,19,0,13,19,False
10,10,10,10,20,False
0,13,9,9,20,False
9,9,26,9,17,False
13,9,9,13,18,False
8,8,8,0,33,False
8,8,0,11,18,False
15,8,8,0,16,False
8,0,0,8,8,False
7,0,7,14,11,False
13,0,6,13,15,False
11,7,16,7,20,False
7,6,0,6,15,False
13,10,9,9,19,False
6,5,6,22,13,False
8,0,6,13,19,False
0,6,8,6,17,False
8,5,14,5,11,False
5,5,12,5,20,False
5,7,14,5,19,False
5,6,7,5,14,False
5,15,5,9,18,False
8,7,7,6,12,False
8,4,6,4,14,False
4,4,13,3,24,False
0,10,8,6,14,False
10,13,6,5,23,False
5,7,5,4,23,False
4,4,9,4,22,False
0,5,5,5,15,False
10,10,6,5,16,False
3,3,7,3,15,False
5,3,6,3,17,False
3,7,9,3,17,False
4,5,3,0,15,False
3,5,5,3,17,False
5,2,2,3,18,False
4,3,2,4,17,False
2,6,2,4,21,False
6,2,4,2,17,False
6,0,4,6,19,False
4,2,2,2,16,False
5,3,4,2,21,False
4,5,4,2,14,False
4,2,16,3,18,False
2,2,5,7,18,False
10,3,2,0,16,False
2,3,3,3,14,False
5,2,3,2,17,False
3,2,5,5,18,False
12,3,5,7,20,False
11,2,6,6,13,False
11,2,2,4,11,False
5,4,2,4,23,False
6,1,4,4,23,False
8,2,3,3,21,False
13,3,1,2,23,False
5,1,1,4,21,False
9,2,1,2,18,False
9,3,2,2,18,False
5,3,2,4,18,False
7,4,2,2,23,False
5,3,2,2,20,False
4,4,1,4,21,False
9,2,2,2,20,False
6,2,2,3,23,False
8,1,4,2,26,False
5,2,4,1,22,False
5,3,3,1,26,False
8,1,2,4,24,False
8,1,2,4,23,False
9,2,1,4,15,False
8,1,4,2,20,False
11,2,2,2,18,False
8,1,2,3,17,False
8,1,2,2,21,False
5,1,1,3,14,False
7,1,4,2,17,False
7,3,2,3,18,False
8,1,3,2,22,False
6,2,4,2,31,False
4,1,3,4,24,False
7,2,2,2,22,False
7,1,2,3,30,False
6,1,2,3,28,False
6,2,1,3,24,False
4,1,1,0,26,False
6,1,1,4,23,False
8,1,1,3,17,False
7,2,1,1,25,False
6,1,2,2,25,False
8,2,3,2,21,False
8,2,2,2,18,False
6,1,2,3,16,False
6,2,3,2,19,False
7,1,1,2,23,False
8,2,3,3,34,False
5,1,1,2,22,False
7,1,1,1,34,False
9,1,1,7,15,False
9,2,1,5,16,False
5,1,1,2,18,False
5,1,2,6,19,False
7,2,1,2,15,False
6,1,1,1,17,False
7,0,1,2,18,False
7,1,1,2,17,False
9,2,1,2,17,False
7,2,1,3,13,False
10,1,1,3,15,False
6,1,1,2,16,False
6,1,1,2,16,False
6,1,1,2,16,False
6,1,1,1,19,False
5,1,1,2,19,False
6,1,0,1,16,False
8,1,1,2,17,False
6,2,1,1,17,False
7,1,1,2,17,False
7,2,1,2,19,False
9,1,1,1,19,False
7,2,1,1,16,False
6,0,1,1,18,False
7,1,1,2,16,False
5,0,1,2,17,False
6,1,1,1,22,False
9,1,0,1,25,False
7,2,0,1,19,False
8,1,1,1,19,False
7,1,0,2,15,False
8,1,2,2,17,False
7,1,1,1,18,False
21,1,1,2,24,False
28,2,1,2,30,False
17,1,0,2,66,False
12,1,1,2,31,False
12,0,1,2,33,False
7,1,0,1,26,False
8,0,1,2,18,False
7,1,1,1,17,False
7,0,1,1,16,False
6,1,1,2,15,False
8,1,1,2,17,False
10,1,1,2,13,False
8,1,1,1,16,False
5,1,1,2,13,False
6,1,0,1,19,False
4,1,1,1,19,False
4,1,1,1,19,False
6,1,1,1,13,False
7,1,1,1,14,False
11,1,1,1,19,False
5,1,0,2,21,False
6,1,0,2,18,False
5,1,0,1,11,False
5,1,0,2,13,False
5,1,1,2,12,False
6,1,1,3,12,False
6,1,1,1,14,False
4,1,1,2,12,False
5,1,0,1,12,False
5,1,1,1,13,False
6,1,1,1,11,False
13,1,1,1,12,False
100,0,0,2,11,False
36,1,0,1,8,False
32,1,0,1,12,False
25,1,0,2,13,False
22,1,1,2,11,False
20,0,0,1,10,False
21,0,1,2,13,False
26,1,0,2,12,False
23,1,1,1,11,False
26,1,0,2,13,False
29,1,2,1,14,False
30,0,0,1,14,False
23,1,0,1,13,False
22,1,0,2,13,False
27,0,1,2,11,False
25,1,0,2,12,False
23,1,0,2,10,False
23,1,0,1,12,False
22,0,0,1,11,False
22,1,2,1,12,False
23,1,2,1,15,False
21,1,0,1,13,False
23,0,1,1,13,False
22,1,1,1,11,False
83,0,1,1,12,False
40,1,0,1,11,False
36,0,1,4,19,False
32,1,0,1,35,False
30,0,0,1,14,False
32,0,1,1,11,False
27,1,0,1,11,False
21,0,0,2,10,False
23,0,0,1,22,False
25,0,1,1,19,False
25,1,0,1,15,False
24,1,1,1,13,True
