Rhiannon Giddens,Michael Bierut,Michael Patrick Lynch,Justin Davidson,Iraola,isPartial
0,0,0,0,22,False
0,0,0,0,30,False
0,0,0,14,14,False
0,11,0,0,25,False
0,0,0,0,22,False
0,9,0,0,28,False
0,10,0,10,23,False
0,0,0,9,31,False
0,8,0,8,25,False
0,0,0,8,17,False
0,17,0,13,11,False
0,8,0,0,26,False
0,7,0,0,21,False
0,7,0,0,18,False
6,6,6,6,14,False
0,7,7,7,14,False
6,6,6,6,14,False
0,0,0,8,12,False
0,6,6,9,12,False
0,6,0,6,12,False
0,5,0,9,23,False
0,5,0,5,25,False
8,5,0,5,22,False
0,5,5,5,18,False
4,0,0,9,13,False
0,0,0,4,16,False
0,4,0,4,31,False
0,0,0,8,15,False
4,4,0,4,20,False
0,4,0,4,21,False
0,5,0,8,24,False
0,0,0,4,20,False
0,3,0,6,16,False
3,10,0,5,16,False
0,6,3,5,17,False
3,13,0,0,26,False
3,7,0,6,19,False
0,3,3,6,24,False
0,8,0,3,27,False
0,3,0,0,17,False
0,2,0,5,18,False
2,2,2,6,22,False
0,2,2,4,12,False
0,4,0,3,17,False
0,4,0,5,24,False
2,3,2,6,21,False
0,3,0,3,13,False
4,4,2,3,21,False
2,5,2,2,18,False
0,2,2,6,22,False
2,3,0,3,21,False
2,2,2,3,25,False
2,3,0,2,23,False
0,2,3,2,14,False
2,4,2,4,17,False
3,3,2,4,27,False
2,5,2,3,27,False
1,6,0,3,23,False
1,2,0,3,23,False
1,4,1,4,21,False
0,2,1,3,22,False
1,8,1,4,23,False
2,1,2,2,18,False
0,2,3,2,24,False
2,2,1,2,23,False
1,2,0,4,18,False
2,1,1,3,20,False
1,2,2,5,21,False
1,2,0,4,30,False
1,5,0,4,25,False
1,5,2,5,26,False
1,3,1,2,25,False
1,5,0,2,28,False
2,5,0,2,19,False
3,4,1,4,20,False
1,2,1,7,21,False
2,2,0,6,21,False
1,1,0,3,21,False
2,2,1,3,14,False
1,2,1,3,18,False
1,2,1,5,26,False
2,3,2,3,27,False
1,4,1,4,33,False
1,4,1,3,23,False
1,2,1,4,21,False
2,3,1,5,25,False
1,4,0,3,31,False
1,2,1,4,23,False
1,4,0,3,25,False
2,1,1,3,22,False
1,1,0,3,19,False
1,2,1,4,27,False
1,2,1,5,26,False
1,4,1,4,20,False
1,3,1,4,22,False
1,2,1,4,18,False
1,3,0,5,19,False
1,1,1,3,20,False
1,4,1,2,44,False
2,3,0,3,22,False
1,2,1,6,32,False
1,1,1,3,21,False
1,1,1,3,19,False
1,3,1,3,19,False
1,2,1,3,20,False
0,2,0,4,20,False
1,2,1,3,16,False
2,2,1,2,20,False
1,3,1,5,20,False
1,3,0,3,20,False
2,2,0,4,17,False
2,3,1,4,20,False
1,2,1,3,17,False
1,2,1,3,17,False
1,1,0,5,19,False
2,2,0,5,19,False
2,3,0,4,20,False
2,4,1,5,19,False
1,2,0,4,20,False
12,2,0,4,20,False
8,2,0,5,19,False
5,3,1,3,19,False
4,4,0,3,21,False
3,3,0,4,15,False
1,3,0,3,17,False
3,1,1,5,15,False
3,2,0,5,16,False
3,2,1,3,24,False
3,2,2,3,24,False
3,2,1,3,21,False
23,2,0,3,21,False
24,3,1,4,15,False
31,2,1,3,17,False
55,2,0,4,20,False
29,3,1,41,25,False
57,5,1,85,29,False
27,3,1,14,80,False
19,2,0,7,32,False
25,2,1,7,38,False
16,2,1,8,26,False
20,4,1,7,22,False
14,10,0,7,18,False
18,5,1,6,16,False
33,6,0,6,18,False
100,6,1,8,19,False
20,5,0,6,14,False
14,5,1,7,17,False
17,4,1,5,16,False
10,3,0,5,21,False
9,3,1,5,20,False
10,3,0,5,22,False
6,4,1,5,13,False
20,4,0,7,17,False
29,4,0,5,18,False
32,5,1,5,22,False
22,3,0,2,16,False
27,5,1,5,14,False
44,4,1,3,15,False
40,5,1,4,14,False
24,4,1,3,14,False
35,4,0,3,15,False
35,2,1,8,14,False
32,2,1,4,13,False
26,3,0,3,12,False
24,4,1,2,11,False
31,4,0,3,12,False
25,6,1,4,12,False
17,3,1,3,9,False
15,5,1,4,12,False
15,4,1,3,14,False
16,4,1,3,14,False
22,5,1,3,10,False
19,2,0,5,13,False
18,3,0,19,13,False
33,3,0,39,12,False
13,3,0,19,13,False
12,4,1,17,14,False
9,5,1,24,15,False
13,4,1,15,12,False
11,2,0,13,12,False
12,4,0,8,12,False
16,3,0,7,14,False
16,3,1,9,12,False
15,3,0,6,13,False
37,2,0,5,15,False
16,2,0,4,12,False
23,3,1,4,15,False
20,2,0,6,15,False
77,3,1,7,12,False
27,4,0,5,13,False
24,2,0,6,14,False
25,2,0,6,12,False
20,2,1,6,20,False
21,3,0,7,37,False
17,2,0,7,16,False
14,3,0,5,10,False
15,2,1,6,10,False
26,2,1,6,13,False
16,1,0,5,22,False
12,2,1,5,21,False
11,2,0,4,15,False
13,2,0,5,13,True
