Manoush Zomorodi,Ronald Sullivan,Jack Conte,Peter Calthorpe,Iraola,isPartial
0,14,14,0,28,False
0,14,14,28,37,False
0,0,0,17,17,False
0,13,0,13,31,False
0,0,0,15,27,False
0,11,0,12,35,False
0,24,12,12,28,False
0,11,0,11,39,False
0,10,10,10,31,False
0,31,0,16,21,False
0,0,11,11,14,False
0,10,15,15,33,False
0,9,9,9,26,False
9,9,9,9,23,False
0,8,15,8,18,False
9,9,0,0,17,False
0,37,7,7,17,False
0,15,0,8,15,False
0,0,0,15,15,False
0,7,7,7,15,False
0,13,13,7,29,False
0,6,19,6,31,False
0,6,0,6,27,False
0,6,6,9,23,False
5,9,16,5,16,False
0,11,6,6,20,False
0,5,5,14,38,False
0,7,0,5,19,False
0,0,9,5,25,False
0,7,0,5,26,False
0,0,0,0,29,False
0,7,5,5,24,False
0,4,7,0,20,False
0,8,4,8,20,False
0,4,0,4,21,False
0,5,4,7,32,False
0,9,3,3,23,False
0,7,4,0,30,False
0,10,3,5,34,False
3,4,3,3,21,False
0,6,7,3,22,False
0,3,6,3,28,False
0,6,0,6,16,False
0,4,3,8,21,False
0,4,4,3,30,False
0,2,4,7,27,False
0,2,4,4,16,False
0,5,3,3,26,False
0,2,4,3,22,False
0,7,4,6,27,False
0,2,4,4,26,False
0,3,15,4,32,False
0,3,17,2,29,False
0,3,9,2,18,False
0,4,6,2,21,False
0,5,6,3,34,False
0,2,9,2,33,False
0,3,6,4,29,False
0,3,6,2,28,False
0,4,9,5,27,False
2,2,8,3,28,False
0,3,12,2,29,False
0,4,7,2,23,False
0,3,5,2,29,False
3,2,12,2,28,False
0,3,16,2,23,False
0,2,11,2,25,False
0,2,8,2,26,False
0,3,9,2,37,False
0,3,12,1,32,False
0,3,17,2,32,False
0,1,21,2,32,False
0,5,16,3,35,False
0,1,16,2,23,False
0,2,11,1,25,False
0,1,15,5,26,False
0,2,12,2,26,False
0,4,14,1,27,False
0,1,8,2,18,False
0,3,9,2,23,False
1,1,10,1,33,False
0,3,11,2,33,False
0,3,11,1,41,False
1,4,21,2,29,False
0,3,9,2,26,False
0,1,5,1,31,False
0,2,10,1,39,False
0,3,12,2,29,False
0,1,18,1,31,False
1,2,10,2,28,False
0,1,7,2,24,False
2,1,8,1,34,False
0,1,8,1,32,False
0,2,8,3,25,False
0,1,10,1,27,False
0,2,7,1,23,False
0,3,7,1,24,False
1,2,6,1,25,False
0,1,5,1,55,False
0,3,4,1,27,False
0,2,8,1,39,False
1,2,5,1,26,False
1,2,4,1,24,False
1,3,5,1,24,False
0,2,3,1,25,False
0,1,5,1,25,False
1,1,6,1,20,False
1,1,6,2,24,False
1,1,6,2,25,False
1,1,6,1,25,False
1,2,7,2,21,False
0,2,19,1,25,False
0,1,15,1,21,False
1,1,12,1,22,False
1,1,9,1,23,False
0,1,8,1,23,False
1,2,10,1,25,False
1,1,12,1,24,False
1,2,13,1,24,False
1,2,6,1,24,False
1,2,7,1,24,False
1,2,9,1,23,False
0,3,6,1,26,False
1,3,9,1,18,False
1,2,8,1,21,False
1,1,5,2,19,False
1,1,8,1,20,False
1,2,5,1,29,False
1,2,5,2,30,False
1,2,7,1,26,False
1,2,8,1,26,False
1,2,8,1,19,False
2,1,6,1,22,False
2,1,2,1,25,False
2,1,7,1,31,False
1,1,4,1,36,False
1,1,4,1,100,False
2,2,4,0,40,False
2,1,3,1,48,False
3,2,2,1,33,False
1,2,3,1,27,False
2,1,6,1,22,False
2,3,6,0,20,False
1,1,8,1,22,False
4,1,5,0,24,False
4,2,4,0,18,False
1,2,4,1,21,False
1,1,6,0,20,False
2,2,4,1,26,False
1,2,5,1,24,False
2,2,5,0,27,False
1,2,3,0,16,False
1,2,6,0,22,False
2,2,5,1,22,False
2,1,4,1,27,False
2,2,5,1,20,False
1,2,4,1,17,False
2,2,4,1,19,False
2,2,4,1,18,False
1,5,5,1,17,False
2,3,4,1,19,False
1,2,5,0,18,False
1,1,6,1,17,False
4,2,7,2,15,False
5,2,7,1,14,False
4,2,5,1,14,False
3,2,4,1,15,False
2,2,7,0,11,False
3,2,6,0,16,False
2,1,4,1,18,False
3,2,5,1,17,False
1,3,24,1,12,False
2,2,9,1,16,False
3,2,8,1,17,False
3,1,4,2,15,False
1,1,6,1,16,False
4,2,6,1,17,False
3,2,5,1,19,False
2,2,7,1,15,False
3,2,12,1,15,False
2,3,7,1,15,False
2,3,9,1,18,False
2,6,6,1,15,False
1,2,4,1,16,False
2,19,5,1,19,False
1,5,6,1,15,False
1,3,6,1,19,False
1,1,7,1,19,False
2,1,5,1,15,False
2,1,6,1,16,False
1,2,7,1,17,False
2,1,5,1,15,False
2,2,5,1,25,False
2,2,4,1,46,False
4,1,9,1,20,False
3,2,9,1,13,False
3,1,6,1,13,False
1,2,6,0,16,False
2,2,10,0,28,False
2,3,9,0,26,False
2,1,7,1,19,False
1,2,5,1,16,True
