Noriko Arai,Jennifer Granick,Chance Coughenour,Chetan Bhatt,Iraola,isPartial
0,0,0,0,15,False
0,14,0,14,44,False
0,18,0,0,18,False
0,0,0,0,42,False
0,0,0,0,30,False
0,0,0,0,42,False
0,0,0,0,25,False
0,0,0,0,58,False
0,0,0,0,32,False
0,0,0,0,11,False
0,11,0,0,11,False
0,0,0,0,36,False
0,0,0,0,22,False
0,9,0,0,23,False
0,0,0,0,12,False
0,0,0,0,18,False
0,8,0,0,23,False
0,0,0,0,16,False
0,8,0,0,20,False
0,8,0,0,8,False
7,7,0,7,28,False
0,0,0,0,39,False
0,6,0,0,39,False
0,6,0,0,22,False
0,0,0,0,14,False
0,6,0,6,20,False
0,5,0,0,40,False
0,0,0,0,19,False
0,5,0,0,32,False
5,0,0,5,21,False
0,0,0,5,28,False
5,0,0,5,21,False
0,0,0,0,18,False
0,0,0,0,16,False
0,0,0,4,24,False
0,8,0,0,39,False
0,4,0,0,29,False
0,0,0,0,38,False
0,0,0,0,35,False
0,0,0,3,17,False
0,0,0,0,24,False
0,0,0,0,25,False
0,3,0,0,12,False
0,0,0,0,23,False
0,4,0,0,28,False
3,5,0,0,33,False
0,2,0,0,17,False
0,0,0,0,29,False
0,5,0,2,22,False
0,2,0,0,30,False
0,0,0,0,23,False
0,2,0,2,36,False
0,2,0,0,26,False
0,2,0,0,18,False
0,4,0,0,22,False
0,3,0,2,41,False
0,0,0,2,35,False
2,0,0,2,33,False
0,2,0,0,31,False
0,2,0,2,31,False
0,2,0,0,29,False
0,0,0,0,30,False
0,0,0,0,29,False
0,2,0,0,31,False
0,0,0,0,32,False
0,0,0,2,23,False
0,2,0,0,27,False
0,2,0,0,29,False
0,0,0,0,39,False
0,0,0,0,36,False
1,1,0,1,33,False
0,1,0,0,33,False
0,1,0,1,39,False
0,0,0,3,24,False
0,1,0,2,21,False
0,1,0,0,28,False
0,0,0,0,30,False
0,0,0,1,28,False
0,0,0,1,18,False
0,2,0,1,26,False
0,1,0,3,31,False
0,0,1,0,32,False
0,0,0,0,41,False
0,0,0,1,31,False
0,1,0,2,26,False
0,1,0,1,31,False
1,1,0,1,36,False
0,2,0,1,28,False
0,0,0,1,33,False
0,1,0,0,28,False
0,1,0,2,25,False
0,0,0,1,33,False
1,1,0,1,32,False
0,2,0,1,25,False
0,1,0,1,28,False
0,0,0,0,25,False
1,0,0,1,22,False
1,0,0,1,27,False
1,1,0,1,52,False
0,0,0,0,28,False
0,1,0,1,37,False
1,1,0,1,26,False
0,1,0,1,24,False
0,0,0,1,23,False
0,0,0,1,23,False
1,0,0,1,23,False
0,1,0,2,21,False
1,0,0,1,24,False
1,0,0,1,28,False
1,0,0,1,29,False
0,1,0,1,20,False
0,0,0,1,24,False
0,1,0,1,23,False
0,1,0,1,24,False
1,1,0,1,22,False
0,1,0,2,23,False
0,0,1,1,24,False
0,1,0,2,24,False
1,1,0,1,25,False
0,1,0,1,26,False
0,1,0,1,22,False
0,1,0,3,24,False
0,1,0,3,27,False
0,0,0,13,20,False
0,2,0,5,20,False
1,1,0,3,21,False
0,1,0,2,22,False
0,1,0,1,30,False
1,1,0,2,33,False
0,0,0,3,28,False
0,1,0,2,29,False
0,0,0,4,19,False
0,0,0,1,22,False
1,1,0,1,27,False
0,0,0,2,33,False
0,0,0,1,36,False
0,0,0,1,100,False
0,0,0,2,40,False
0,0,0,1,49,False
0,2,0,1,35,False
0,1,0,1,28,False
0,1,0,1,23,False
0,1,0,2,19,False
0,1,0,2,19,False
0,0,0,2,24,False
0,0,0,1,19,False
0,1,0,2,22,False
0,0,0,1,20,False
0,0,0,0,24,False
0,0,0,1,25,False
0,0,1,1,27,False
0,0,0,0,16,False
0,0,0,1,22,False
0,0,0,0,24,False
0,0,0,2,29,False
0,0,0,0,19,False
0,1,0,1,19,False
0,1,0,2,21,False
0,0,0,1,21,False
2,0,0,2,19,False
1,0,0,1,17,False
0,0,0,1,19,False
0,0,0,1,17,False
1,0,0,1,14,False
2,1,0,4,15,False
0,0,0,1,14,False
0,0,0,1,15,False
1,0,0,1,12,False
0,0,0,1,16,False
0,0,0,1,20,False
0,1,0,2,17,False
0,0,0,1,14,False
1,0,0,2,18,False
0,0,0,2,16,False
0,0,0,2,17,False
0,0,0,1,17,False
0,0,0,1,17,False
0,1,0,2,19,False
0,0,0,1,16,False
0,0,0,2,17,False
0,0,0,1,15,False
0,1,0,1,17,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,1,21,False
0,0,0,1,15,False
0,0,0,1,19,False
0,0,0,1,18,False
0,0,0,2,16,False
1,0,0,1,16,False
0,0,0,1,17,False
1,0,0,2,17,False
1,1,0,1,25,False
1,0,0,1,50,False
0,0,0,1,21,False
0,1,0,1,13,False
0,0,0,1,12,False
0,0,0,1,18,False
1,0,0,0,31,False
1,0,0,1,26,False
0,0,0,1,19,False
0,0,0,1,16,True
