Nathan Myhrvold,Chris Jordan,Adam Grosser,Benjamin Zander,Iraola,isPartial
4,17,0,5,6,False
4,17,4,0,11,False
0,18,0,4,7,False
7,14,0,6,7,False
6,14,3,3,7,False
0,12,0,5,6,False
3,10,0,3,6,False
0,12,3,0,12,False
0,15,0,4,6,False
6,22,0,3,6,False
9,16,0,3,3,False
3,9,0,9,4,False
0,13,0,6,5,False
2,15,0,5,7,False
3,12,0,2,5,False
2,19,0,3,7,False
2,9,0,6,5,False
0,11,2,5,7,False
0,20,0,3,6,False
2,18,0,3,4,False
2,18,0,3,7,False
2,15,0,2,7,False
2,13,0,3,5,False
2,19,0,3,6,False
1,18,0,3,4,False
0,15,1,3,5,False
1,14,0,5,8,False
4,19,0,2,5,False
2,12,0,2,8,False
3,11,0,1,8,False
3,10,0,2,8,False
1,12,0,2,5,False
2,13,0,2,6,False
1,11,0,2,5,False
1,12,0,1,6,False
0,10,0,2,6,False
2,12,0,1,5,False
1,14,1,2,6,False
1,12,1,2,6,False
0,16,0,2,6,False
1,17,0,1,7,False
2,16,0,1,6,False
1,13,1,2,7,False
1,15,0,2,6,False
1,17,1,1,8,False
1,27,1,1,5,False
1,23,0,2,6,False
1,26,0,1,6,False
1,33,0,3,6,False
1,62,0,1,5,False
1,75,0,1,6,False
1,83,0,2,6,False
5,75,1,2,7,False
4,63,1,3,4,False
3,53,1,4,4,False
1,40,1,3,8,False
2,39,1,2,8,False
1,35,0,2,7,False
2,31,0,2,8,False
2,26,1,3,8,False
2,29,0,3,6,False
1,38,1,3,6,False
1,28,1,4,6,False
0,27,0,3,8,False
0,25,1,5,7,False
1,25,1,2,8,False
1,21,1,2,7,False
1,23,0,2,8,False
2,22,0,3,9,False
3,22,1,4,8,False
2,32,1,4,9,False
9,29,1,3,8,False
2,22,1,3,8,False
5,22,0,3,6,False
3,21,0,4,7,False
2,21,1,3,6,False
7,22,0,3,6,False
3,22,0,4,8,False
2,26,0,2,5,False
3,20,0,5,6,False
2,19,0,3,7,False
1,19,1,2,8,False
2,23,1,4,11,False
2,21,1,3,9,False
2,25,1,4,8,False
6,25,1,3,11,False
8,31,0,2,10,False
5,36,1,3,8,False
3,27,0,2,9,False
4,27,0,3,8,False
12,23,1,2,6,False
8,22,1,2,9,False
4,23,0,3,9,False
4,20,0,3,7,False
3,19,0,4,6,False
4,31,0,1,6,False
8,26,0,8,7,False
3,27,0,4,8,False
2,23,0,3,12,False
3,23,1,3,8,False
2,24,0,3,12,False
2,30,0,3,5,False
2,28,0,3,6,False
2,25,0,4,6,False
1,22,1,4,7,False
2,24,0,2,5,False
5,26,0,3,6,False
3,24,0,3,6,False
2,25,0,2,6,False
2,41,0,3,6,False
2,30,0,3,5,False
2,34,0,3,5,False
2,31,0,2,6,False
3,32,0,2,6,False
1,26,1,2,6,False
2,26,0,2,7,False
2,26,0,2,7,False
2,25,0,3,6,False
4,26,0,3,6,False
3,29,0,2,6,False
2,30,0,2,6,False
1,30,0,2,7,False
1,29,0,2,7,False
2,33,0,4,6,False
1,35,0,3,6,False
1,29,0,2,6,False
2,28,0,2,6,False
1,27,0,3,8,False
1,22,0,2,9,False
1,20,0,3,7,False
2,23,0,3,7,False
1,25,0,2,5,False
3,23,0,1,6,False
2,31,0,2,6,False
1,33,0,2,8,False
1,36,0,2,11,False
2,35,0,2,23,False
2,30,0,2,11,False
1,37,0,2,12,False
1,24,0,2,9,False
1,23,0,2,6,False
1,22,0,2,6,False
0,27,0,2,6,False
1,31,0,2,5,False
1,25,0,2,6,False
1,36,0,2,4,False
1,27,0,2,6,False
1,38,0,2,5,False
2,35,0,1,7,False
1,26,0,2,7,False
1,24,0,1,7,False
1,25,0,1,5,False
1,21,0,2,5,False
1,19,0,2,7,False
1,20,0,2,7,False
1,24,0,1,6,False
1,24,0,2,4,False
1,25,0,2,5,False
1,25,0,1,4,False
1,24,0,2,4,False
1,26,0,2,5,False
1,25,0,2,4,False
1,21,0,1,4,False
0,18,0,2,4,False
1,18,0,2,4,False
1,19,0,1,4,False
1,19,0,2,4,False
1,19,0,2,3,False
1,20,0,1,4,False
1,29,0,2,4,False
1,23,0,1,4,False
1,25,0,1,4,False
1,27,0,1,5,False
1,23,0,1,4,False
1,23,0,1,4,False
1,23,0,1,5,False
0,30,0,2,5,False
1,20,0,3,5,False
1,19,0,2,5,False
1,19,0,1,5,False
1,21,0,1,4,False
1,22,0,2,4,False
1,25,0,2,4,False
2,19,0,2,4,False
1,21,0,1,4,False
1,17,0,2,4,False
1,19,0,1,5,False
1,20,0,2,5,False
2,17,0,2,5,False
2,17,0,2,4,False
1,25,0,2,4,False
1,23,0,2,4,False
1,22,0,1,7,False
1,32,0,1,12,False
1,18,0,2,5,False
1,26,0,2,4,False
1,25,0,2,4,False
1,19,0,1,3,False
1,17,0,1,8,False
1,22,0,1,7,False
1,39,0,1,5,False
1,100,0,1,4,True
