Robert Lang,Bruno Bowden + Rufus Cappadocia,Patricia Burchat,Spencer Wells,Iraola,isPartial
72,0,0,29,16,False
83,0,11,25,32,False
44,0,0,18,20,False
76,0,0,10,21,False
12,0,0,12,21,False
48,0,0,33,18,False
40,0,0,9,18,False
52,0,0,20,34,False
37,0,0,21,19,False
27,0,0,22,16,False
63,0,0,16,8,False
60,0,0,23,11,False
46,0,0,13,15,False
37,0,7,12,21,False
27,0,0,23,16,False
48,0,0,39,20,False
44,0,0,15,13,False
21,0,0,27,19,False
45,0,0,20,18,False
30,0,0,21,11,False
39,0,0,21,21,False
39,0,0,16,19,False
60,0,0,31,15,False
43,0,0,21,19,False
33,0,0,32,13,False
49,0,0,22,14,False
33,0,0,15,25,False
42,0,0,26,15,False
28,0,0,11,24,False
37,0,0,22,24,False
32,0,0,8,23,False
37,0,0,18,15,False
28,0,0,15,17,False
39,0,0,12,15,False
21,0,3,23,18,False
44,0,0,19,18,False
38,0,0,7,15,False
73,0,0,7,18,False
47,0,0,14,19,False
37,0,0,10,17,False
51,0,0,10,22,False
35,0,0,17,18,False
44,0,0,10,20,False
34,0,0,39,17,False
24,0,0,15,22,False
37,0,0,13,14,False
27,0,0,13,18,False
42,0,0,16,18,False
63,0,2,11,17,False
42,0,0,15,15,False
31,0,0,17,18,False
27,0,0,11,19,False
33,0,0,12,20,False
39,0,0,9,13,False
26,0,0,11,11,False
36,0,2,7,24,False
100,0,1,12,24,False
43,0,0,11,22,False
46,0,1,10,24,False
56,0,1,13,22,False
51,0,0,12,19,False
53,0,0,14,19,False
37,0,0,12,18,False
53,0,1,9,24,False
36,0,0,11,20,False
28,0,1,11,22,False
40,0,0,9,21,False
30,0,1,10,24,False
56,0,1,15,28,False
33,0,1,16,23,False
32,0,0,18,27,False
37,0,2,12,25,False
35,0,1,11,24,False
29,0,1,8,16,False
32,0,0,8,21,False
37,0,1,10,19,False
30,0,0,13,18,False
29,0,0,24,22,False
25,0,0,14,14,False
28,0,1,12,17,False
23,0,1,14,19,False
31,0,0,13,23,False
22,0,0,15,32,False
36,0,0,11,25,False
44,0,1,10,23,False
26,0,0,9,31,False
24,0,0,8,29,False
30,0,0,11,25,False
29,0,1,10,27,False
26,0,2,9,23,False
23,0,1,9,18,False
19,0,1,10,26,False
19,0,0,15,26,False
23,0,1,13,21,False
27,0,1,9,18,False
26,0,1,14,17,False
36,0,0,16,20,False
24,0,0,12,24,False
38,0,1,9,36,False
22,0,2,7,23,False
22,0,1,11,35,False
20,0,0,7,16,False
22,0,1,10,17,False
22,0,1,10,18,False
17,0,0,9,19,False
21,0,0,10,16,False
21,0,0,9,18,False
26,0,0,12,18,False
28,0,0,12,18,False
26,0,0,10,17,False
20,0,0,14,14,False
18,0,0,12,16,False
17,0,1,9,16,False
18,0,0,9,16,False
18,0,0,10,16,False
17,0,0,8,20,False
16,0,0,10,20,False
17,0,1,10,17,False
16,0,0,10,18,False
22,0,0,14,18,False
26,0,0,8,18,False
20,0,0,7,20,False
21,0,0,10,19,False
20,0,0,10,17,False
18,0,0,6,19,False
15,0,0,7,17,False
18,0,1,7,18,False
18,0,0,10,23,False
17,0,0,9,26,False
14,0,0,10,20,False
16,0,1,9,20,False
23,0,0,11,16,False
22,0,0,8,18,False
19,0,0,7,18,False
18,0,0,11,25,False
15,0,0,9,32,False
13,0,0,9,69,False
14,0,0,8,32,False
15,0,0,8,35,False
15,0,0,7,27,False
15,0,0,8,18,False
14,0,0,8,17,False
14,0,0,8,17,False
20,0,0,10,16,False
18,0,0,5,17,False
14,0,0,7,13,False
16,0,0,7,16,False
14,0,0,7,14,False
15,0,0,7,20,False
14,0,1,6,20,False
15,0,0,8,20,False
13,0,0,6,14,False
12,0,0,6,15,False
14,0,0,7,20,False
14,0,1,6,22,False
15,0,0,7,19,False
21,0,0,6,12,False
14,0,1,8,14,False
24,0,0,9,13,False
16,0,0,8,13,False
16,0,0,8,15,False
16,0,0,4,13,False
16,0,0,8,12,False
11,0,0,7,13,False
12,0,0,5,12,False
11,0,0,8,13,False
15,0,0,7,12,False
18,0,0,9,8,False
20,0,0,8,12,False
14,0,0,6,13,False
13,0,0,6,12,False
13,0,0,6,10,False
11,0,0,5,13,False
12,0,0,6,12,False
10,0,0,7,12,False
13,0,0,6,14,False
13,0,0,5,14,False
13,0,0,5,14,False
11,0,0,5,14,False
15,0,0,7,13,False
18,0,0,7,11,False
10,0,0,6,13,False
11,0,0,8,11,False
10,0,0,7,12,False
14,0,0,6,12,False
8,0,0,6,12,False
10,0,0,5,16,False
11,0,0,5,13,False
12,0,0,6,14,False
11,0,0,6,11,False
14,0,0,6,13,False
13,0,1,8,12,False
18,0,0,5,20,False
12,0,0,7,36,False
15,0,0,6,15,False
15,0,0,6,11,False
16,0,0,5,11,False
11,0,0,8,10,False
13,0,0,7,23,False
11,0,0,6,20,False
11,0,0,5,15,False
10,0,0,6,13,True
