Eve Ensler,David Deutsch,Richard Dawkins,Steven Levitt,Iraola,isPartial
4,5,14,3,3,False
8,3,14,3,5,False
4,4,13,3,3,False
6,4,17,2,3,False
5,7,17,1,3,False
4,4,10,3,3,False
8,5,21,1,3,False
4,6,12,4,6,False
11,3,22,2,3,False
6,5,19,3,3,False
15,7,14,1,1,False
5,7,19,1,2,False
3,5,17,0,2,False
12,7,16,1,3,False
6,7,15,1,3,False
5,4,18,13,3,False
3,4,19,12,2,False
3,4,15,7,3,False
3,4,13,11,3,False
4,3,17,6,2,False
4,2,20,7,3,False
6,6,18,5,3,False
7,5,19,7,2,False
5,4,22,7,3,False
5,3,50,6,2,False
10,2,21,3,2,False
6,5,20,5,4,False
5,3,21,6,2,False
3,3,16,7,4,False
3,5,16,5,4,False
2,2,18,4,4,False
2,4,19,2,2,False
5,3,35,5,3,False
3,3,66,4,2,False
3,3,100,5,3,False
4,4,81,5,3,False
3,6,68,5,2,False
5,4,63,4,3,False
4,4,54,4,3,False
2,3,68,3,3,False
2,3,69,4,3,False
1,3,64,2,3,False
1,5,61,2,3,False
3,4,84,2,3,False
2,4,71,2,4,False
2,3,71,3,2,False
3,4,55,3,3,False
3,4,67,3,3,False
2,4,57,3,3,False
6,3,52,3,2,False
4,2,65,3,3,False
2,3,73,2,3,False
2,3,54,2,3,False
1,3,49,2,2,False
1,4,46,3,2,False
1,3,61,2,4,False
19,3,62,2,4,False
4,3,57,3,4,False
2,3,50,2,4,False
2,3,51,2,4,False
1,3,60,2,3,False
5,4,55,2,3,False
3,4,57,1,3,False
2,3,53,2,4,False
2,4,51,2,3,False
1,3,42,2,4,False
2,4,54,1,3,False
1,5,53,1,4,False
2,6,68,2,4,False
2,5,82,5,4,False
3,6,60,3,4,False
2,6,61,3,4,False
2,5,57,2,4,False
9,5,51,2,3,False
4,6,67,2,3,False
3,6,73,2,3,False
2,6,50,2,3,False
2,5,48,2,4,False
2,5,47,2,2,False
2,6,63,2,3,False
3,5,73,2,3,False
3,4,62,2,4,False
2,4,61,2,5,False
2,3,62,2,4,False
2,4,55,2,4,False
3,4,44,2,5,False
3,4,45,2,5,False
3,5,46,2,4,False
2,5,48,1,4,False
2,5,47,2,4,False
2,4,52,1,3,False
3,5,54,1,4,False
3,7,60,2,4,False
3,7,58,2,3,False
3,5,50,1,3,False
2,5,59,1,3,False
2,5,60,2,3,False
3,5,62,2,4,False
3,4,55,1,6,False
2,3,56,1,4,False
2,4,36,1,6,False
3,4,49,1,3,False
2,4,40,1,3,False
4,4,45,1,3,False
2,4,51,1,3,False
2,5,52,2,3,False
2,5,46,1,3,False
3,4,44,1,3,False
4,4,40,2,3,False
6,4,47,2,3,False
2,3,50,1,2,False
3,3,50,1,3,False
4,4,41,1,3,False
2,4,41,1,3,False
2,3,36,1,3,False
1,3,43,1,3,False
2,3,51,1,3,False
2,4,42,1,3,False
2,3,45,1,3,False
2,3,37,1,3,False
3,4,33,1,3,False
3,4,33,1,3,False
2,3,33,1,3,False
2,3,32,1,3,False
2,4,31,2,3,False
1,3,31,2,3,False
2,3,32,1,3,False
1,3,49,1,4,False
2,3,38,1,4,False
2,3,36,1,3,False
1,4,33,1,3,False
1,3,35,1,3,False
2,3,51,1,3,False
3,3,41,1,3,False
2,3,36,1,4,False
1,3,34,1,5,False
3,4,35,2,11,False
1,3,30,2,5,False
1,3,30,1,6,False
1,3,30,1,4,False
1,3,41,1,3,False
1,3,36,1,3,False
1,4,37,1,3,False
1,5,33,1,3,False
1,8,29,1,3,False
1,4,43,1,2,False
1,4,24,1,3,False
1,3,22,1,2,False
1,3,25,1,3,False
1,4,23,1,3,False
1,3,21,1,3,False
1,3,18,1,2,False
1,3,21,1,2,False
2,3,21,1,3,False
1,4,22,1,3,False
1,3,20,1,3,False
1,5,21,1,2,False
1,4,20,1,2,False
1,3,21,1,2,False
1,3,22,1,2,False
1,3,18,1,2,False
1,3,17,1,2,False
0,3,23,1,2,False
1,3,23,1,2,False
1,3,19,1,2,False
1,3,20,1,2,False
1,4,18,1,2,False
0,4,17,1,1,False
1,4,17,1,2,False
2,4,17,1,2,False
1,4,21,1,2,False
1,3,16,1,2,False
1,4,17,1,2,False
1,4,13,1,2,False
0,3,16,1,2,False
0,3,15,1,2,False
1,4,14,1,2,False
2,3,14,0,2,False
1,4,14,1,2,False
1,4,14,1,2,False
0,4,15,1,2,False
1,4,14,0,2,False
1,3,14,0,2,False
0,4,13,1,2,False
2,4,11,0,2,False
4,4,11,1,2,False
1,4,12,0,3,False
1,4,12,1,2,False
1,4,16,0,2,False
1,3,22,1,2,False
1,4,16,1,2,False
0,3,13,0,2,False
1,3,12,0,3,False
1,3,15,1,6,False
1,4,12,1,2,False
1,5,14,1,2,False
1,4,15,1,2,False
1,4,19,1,2,False
1,4,13,0,4,False
1,3,12,1,3,False
1,3,13,1,2,False
1,4,18,0,2,True
