Andy Hobsbawm,Gregory Petsko,Richard Preston,Philip Rosedale,Iraola,isPartial
0,16,52,0,24,False
0,16,42,0,47,False
0,19,58,0,29,False
0,15,75,0,30,False
13,0,61,0,30,False
0,0,30,0,26,False
0,14,41,0,27,False
12,25,38,0,50,False
0,0,19,0,27,False
0,0,63,0,24,False
0,12,32,12,12,False
0,11,44,0,17,False
0,10,35,0,23,False
0,0,44,10,31,False
0,0,43,8,23,False
0,0,70,0,29,False
0,0,56,0,20,False
0,8,42,0,28,False
0,0,23,0,26,False
0,0,36,0,17,False
0,0,55,15,30,False
0,0,49,0,28,False
0,0,42,7,21,False
7,0,51,0,28,False
0,6,63,6,18,False
6,6,58,0,21,False
0,0,21,5,36,False
0,0,40,0,21,False
0,0,48,0,35,False
0,0,26,0,35,False
0,0,28,8,34,False
0,5,27,10,22,False
0,7,39,5,25,False
4,0,22,22,22,False
0,0,30,9,26,False
0,0,20,8,26,False
0,4,38,8,22,False
0,0,29,10,26,False
4,4,26,5,28,False
0,4,43,9,25,False
3,0,56,13,31,False
3,3,38,8,26,False
3,3,27,9,29,False
3,3,30,11,25,False
0,0,35,8,33,False
3,0,26,5,21,False
0,0,24,4,27,False
0,3,26,9,27,False
3,0,26,3,24,False
5,5,27,8,21,False
0,2,27,6,27,False
0,0,17,10,27,False
2,0,21,7,30,False
0,2,34,5,19,False
0,0,27,3,16,False
2,2,24,2,35,False
2,4,25,4,36,False
0,2,19,4,32,False
2,0,14,2,36,False
0,3,24,6,32,False
0,2,23,4,28,False
2,0,20,4,28,False
0,2,20,3,27,False
0,3,21,4,35,False
2,2,17,2,30,False
2,3,23,3,33,False
0,2,17,2,30,False
0,0,19,2,35,False
0,0,16,3,40,False
2,2,19,2,33,False
2,3,18,2,39,False
0,0,14,3,36,False
0,0,16,2,36,False
0,1,23,2,24,False
0,0,16,4,31,False
0,0,18,2,27,False
1,3,19,2,26,False
0,0,21,7,32,False
0,1,16,3,21,False
1,1,15,3,25,False
1,2,21,3,28,False
0,1,14,3,34,False
2,6,18,5,46,False
0,2,15,2,37,False
1,1,17,1,33,False
2,1,17,4,45,False
0,1,20,5,43,False
1,1,16,5,36,False
1,1,18,2,40,False
4,1,16,2,34,False
1,1,19,3,26,False
0,1,17,4,38,False
0,1,15,1,38,False
1,1,20,2,31,False
0,1,15,5,27,False
0,1,19,2,24,False
1,1,20,2,29,False
0,1,15,1,35,False
1,2,17,2,52,False
0,2,19,1,33,False
1,1,16,3,52,False
0,0,13,1,24,False
1,2,16,2,25,False
0,3,19,2,27,False
1,2,18,1,28,False
1,1,15,1,23,False
0,1,13,1,26,False
1,1,17,1,27,False
0,1,14,1,26,False
0,1,17,1,25,False
0,1,14,1,21,False
0,1,17,1,23,False
0,1,14,1,24,False
0,1,11,2,24,False
0,1,15,1,24,False
1,1,17,2,29,False
0,1,15,1,29,False
1,1,19,1,25,False
0,1,12,1,27,False
0,1,14,2,26,False
1,1,15,1,26,False
1,1,14,1,29,False
1,1,13,1,28,False
0,1,14,2,24,False
1,1,13,2,27,False
1,1,14,2,25,False
1,1,16,2,26,False
0,0,29,1,34,False
1,1,17,1,38,False
0,0,42,1,29,False
0,0,19,2,29,False
1,0,13,1,23,False
0,1,17,2,26,False
0,1,16,1,27,False
1,1,11,1,36,False
0,1,10,1,46,False
1,1,12,1,100,False
1,0,11,1,47,False
1,0,10,1,50,False
0,1,15,1,39,False
0,1,12,1,27,False
0,0,11,2,25,False
1,0,11,1,25,False
0,0,12,1,23,False
0,1,9,1,25,False
0,1,12,1,19,False
0,0,12,1,24,False
1,1,12,1,20,False
0,0,13,1,29,False
1,1,10,1,29,False
1,1,10,1,29,False
1,0,9,2,20,False
1,1,10,1,21,False
1,0,9,2,30,False
0,0,11,1,32,False
0,0,11,1,27,False
0,0,9,1,17,False
0,1,11,1,20,False
0,0,10,2,19,False
0,0,9,1,19,False
0,0,10,1,22,False
0,0,9,0,19,False
0,0,8,0,18,False
0,0,31,1,19,False
0,0,13,1,17,False
0,0,12,1,19,False
0,0,9,1,17,False
0,0,9,1,12,False
0,0,9,1,18,False
0,0,8,1,19,False
0,0,9,1,17,False
0,0,11,0,15,False
0,0,11,1,20,False
0,1,8,1,18,False
0,0,9,1,17,False
0,0,14,2,20,False
0,0,8,1,21,False
0,1,9,1,21,False
0,1,10,1,20,False
0,0,7,1,20,False
0,0,9,0,17,False
0,2,7,1,19,False
0,0,10,1,16,False
0,0,9,1,18,False
0,0,14,1,17,False
0,0,8,1,18,False
0,0,9,1,23,False
0,0,11,0,20,False
0,0,10,0,20,False
0,0,11,1,17,False
0,0,10,0,18,False
0,0,12,1,17,False
0,0,10,1,29,False
0,1,11,1,53,False
0,0,13,1,21,False
0,0,16,1,16,False
0,0,11,2,17,False
0,1,8,1,15,False
0,0,17,1,34,False
0,1,9,1,29,False
0,0,8,0,22,False
0,0,11,0,19,True
