Dennis vanEngelsdorp,Jay Walker,Benjamin Wallace,Penelope Boston,Iraola,isPartial
0,39,16,16,24,False
0,32,0,0,47,False
0,39,0,0,29,False
0,20,0,15,30,False
0,13,20,0,30,False
0,52,13,0,26,False
0,23,14,0,27,False
0,21,0,12,50,False
0,19,12,0,27,False
0,24,24,0,24,False
0,24,12,0,12,False
0,22,11,0,17,False
0,23,19,0,23,False
0,37,15,0,31,False
0,26,26,9,23,False
0,29,10,10,29,False
0,28,0,8,20,False
0,17,13,8,28,False
0,26,13,9,26,False
0,36,14,8,17,False
0,15,15,7,30,False
0,24,14,0,28,False
0,40,7,0,21,False
0,32,14,0,28,False
0,24,12,0,18,False
0,33,8,0,21,False
0,21,11,5,36,False
0,23,6,0,21,False
0,25,8,5,35,False
0,24,6,0,35,False
0,28,11,6,34,False
0,24,5,0,22,False
0,10,5,0,25,False
0,21,4,7,22,False
0,16,4,0,26,False
0,18,9,0,26,False
0,16,8,4,22,False
0,14,6,8,26,False
0,17,5,4,28,False
4,19,13,4,25,False
0,13,4,3,31,False
3,21,0,6,26,False
0,16,5,3,29,False
0,13,6,3,25,False
0,10,3,6,33,False
0,31,4,4,21,False
0,16,7,3,27,False
0,16,3,6,27,False
0,17,9,3,24,False
3,18,9,4,21,False
0,14,4,4,27,False
0,14,8,2,27,False
0,18,6,5,30,False
0,17,8,2,19,False
0,12,4,2,16,False
0,16,2,2,35,False
0,24,2,4,36,False
0,44,4,2,32,False
0,22,3,0,36,False
0,27,8,4,32,False
0,21,8,2,28,False
0,19,7,5,28,False
0,19,4,3,27,False
2,29,10,2,35,False
0,25,5,3,30,False
0,17,5,7,33,False
0,17,3,3,30,False
2,22,2,5,35,False
0,21,3,2,40,False
2,28,4,5,33,False
0,19,4,2,39,False
2,29,3,3,36,False
1,22,3,1,36,False
0,23,4,3,24,False
0,17,6,2,31,False
0,24,2,1,27,False
1,23,5,1,26,False
1,34,3,2,32,False
0,18,3,2,21,False
0,26,2,4,25,False
1,27,3,2,28,False
0,18,4,2,34,False
0,24,5,2,46,False
0,22,3,3,37,False
0,29,3,2,33,False
0,19,6,3,45,False
1,17,4,2,43,False
0,24,6,3,36,False
1,28,4,2,40,False
0,25,2,2,34,False
1,22,3,3,26,False
0,19,3,1,38,False
0,20,3,2,38,False
0,19,4,3,31,False
0,25,3,1,27,False
0,20,4,1,24,False
0,22,3,2,29,False
1,18,4,3,35,False
1,20,4,1,52,False
0,21,5,1,33,False
0,19,3,2,52,False
0,30,3,2,24,False
0,21,3,2,25,False
0,19,4,2,27,False
0,20,5,1,28,False
0,16,5,1,23,False
1,20,4,2,26,False
0,21,3,2,27,False
0,20,2,1,26,False
0,21,3,2,25,False
1,17,5,1,21,False
1,21,3,4,23,False
1,19,4,2,24,False
0,17,4,2,24,False
1,23,4,1,24,False
1,29,3,2,29,False
1,19,3,1,29,False
1,19,3,2,25,False
1,22,3,1,27,False
1,87,2,1,26,False
1,29,2,1,26,False
1,28,4,1,29,False
1,19,3,1,28,False
0,24,3,2,24,False
1,27,2,1,27,False
0,22,4,2,25,False
1,21,3,2,26,False
1,24,5,1,34,False
0,17,6,1,38,False
2,19,7,1,29,False
0,20,5,1,29,False
1,17,4,1,23,False
1,18,2,1,26,False
1,21,3,2,27,False
1,20,3,2,36,False
1,33,2,1,46,False
1,20,3,1,100,False
1,20,5,1,47,False
1,22,3,1,50,False
1,31,3,1,39,False
0,21,4,1,27,False
0,29,4,1,25,False
0,25,2,1,25,False
0,27,2,2,23,False
1,23,4,1,25,False
1,23,4,1,19,False
0,23,4,1,24,False
1,21,2,1,20,False
1,19,3,1,29,False
0,22,2,1,29,False
1,22,3,1,29,False
0,20,4,1,20,False
1,22,6,1,21,False
1,18,7,1,30,False
0,22,4,1,32,False
0,25,3,1,27,False
0,25,2,1,17,False
0,19,3,3,20,False
0,18,3,2,19,False
1,25,3,1,19,False
1,24,2,1,22,False
0,18,2,1,19,False
0,24,4,1,18,False
0,27,2,1,19,False
0,20,3,1,17,False
0,18,3,1,19,False
0,18,2,1,17,False
0,21,3,1,12,False
0,20,3,1,18,False
0,18,3,2,19,False
0,17,3,1,17,False
0,16,3,1,15,False
0,19,3,1,20,False
0,15,3,1,18,False
1,16,2,1,17,False
0,18,3,1,20,False
0,17,2,1,21,False
0,15,3,2,21,False
0,18,3,1,20,False
0,15,2,1,20,False
1,14,3,1,17,False
0,15,2,2,19,False
0,15,3,1,16,False
0,19,2,1,18,False
0,16,1,1,17,False
0,13,3,1,18,False
0,12,4,1,23,False
0,17,2,1,20,False
0,16,3,0,20,False
0,16,2,1,17,False
1,13,2,1,18,False
0,13,2,1,17,False
1,14,2,1,29,False
0,16,3,1,53,False
0,18,2,1,21,False
0,17,3,1,16,False
0,17,2,1,17,False
0,18,2,0,15,False
0,15,2,1,34,False
0,16,2,1,29,False
0,15,3,1,22,False
0,15,2,1,19,True
