Brenda Laurel,Willie Smits,Nalini Nadkarni,Mike Rowe,Iraola,isPartial
4,0,0,100,3,False
3,0,0,28,5,False
2,0,0,8,3,False
2,0,0,7,3,False
0,0,0,4,3,False
1,0,0,5,3,False
2,2,0,6,3,False
1,0,0,2,6,False
2,0,1,3,3,False
0,0,0,4,3,False
1,0,0,3,1,False
1,1,0,2,2,False
0,0,0,3,3,False
2,0,1,4,4,False
2,2,0,5,3,False
2,0,0,4,3,False
1,0,0,2,2,False
1,1,0,3,3,False
1,0,0,3,3,False
1,0,1,6,2,False
2,0,0,10,3,False
2,1,0,10,3,False
2,0,0,9,2,False
1,1,0,9,3,False
1,1,0,13,2,False
1,0,0,10,2,False
1,0,1,9,4,False
1,0,0,8,2,False
2,0,0,4,4,False
1,1,0,12,4,False
1,0,0,27,4,False
2,0,0,26,3,False
1,1,1,24,3,False
0,0,0,12,3,False
0,1,0,14,3,False
1,1,0,16,3,False
0,0,0,25,3,False
0,0,0,23,3,False
1,0,1,28,3,False
1,0,0,15,3,False
1,0,0,11,4,False
0,0,0,36,3,False
1,0,0,44,3,False
0,0,1,39,3,False
0,0,0,37,4,False
1,0,1,32,2,False
1,0,0,21,3,False
0,0,0,22,3,False
1,0,0,28,3,False
0,1,0,28,2,False
1,0,0,18,3,False
0,0,0,19,3,False
0,3,0,20,3,False
1,0,0,22,2,False
1,0,0,21,2,False
0,1,0,17,4,False
0,0,0,22,4,False
0,0,0,17,4,False
0,0,0,18,4,False
0,0,0,20,4,False
0,1,0,21,3,False
0,1,0,18,3,False
1,1,1,19,3,False
0,0,0,15,4,False
0,0,0,14,3,False
0,0,0,17,4,False
0,0,0,16,4,False
0,0,0,21,4,False
0,0,0,20,5,False
0,0,0,31,4,False
0,0,0,24,4,False
1,0,0,31,4,False
0,0,0,28,4,False
0,0,0,29,3,False
0,0,0,21,4,False
0,0,0,24,3,False
0,0,1,17,3,False
0,0,0,13,4,False
0,0,0,33,2,False
0,0,0,27,3,False
0,0,0,20,3,False
0,0,0,20,4,False
0,0,1,25,5,False
0,0,0,25,4,False
0,0,0,20,4,False
0,0,0,16,5,False
0,0,0,14,5,False
0,1,0,18,4,False
0,0,0,17,5,False
0,0,0,15,4,False
0,0,0,11,3,False
0,0,0,13,4,False
0,0,0,14,4,False
0,0,0,16,4,False
0,0,0,16,3,False
0,0,0,20,3,False
0,0,0,18,3,False
0,0,0,19,4,False
0,0,0,10,6,False
0,0,0,11,4,False
0,0,0,9,6,False
0,0,0,12,3,False
0,0,0,15,3,False
0,0,0,19,3,False
0,0,0,22,3,False
0,0,0,14,3,False
0,0,0,13,3,False
0,0,0,10,3,False
0,0,0,8,3,False
0,0,0,9,3,False
0,0,0,9,2,False
0,0,0,11,3,False
0,0,0,8,3,False
0,0,0,8,3,False
0,0,0,18,3,False
0,0,0,18,3,False
0,0,0,10,3,False
0,0,0,16,3,False
0,0,0,17,3,False
0,0,0,11,3,False
0,0,0,9,3,False
0,0,0,34,3,False
0,0,0,14,3,False
0,0,0,17,3,False
0,0,0,29,3,False
0,0,0,21,3,False
0,0,0,26,3,False
0,0,0,27,4,False
0,0,0,25,4,False
0,0,0,34,3,False
0,0,0,24,3,False
0,0,0,18,3,False
0,0,0,18,3,False
0,0,0,13,3,False
0,0,0,11,4,False
0,0,0,18,5,False
0,0,0,13,12,False
0,0,0,14,5,False
0,0,0,13,6,False
0,0,0,10,5,False
0,0,0,12,3,False
0,0,0,13,3,False
0,0,0,13,3,False
0,0,0,12,3,False
0,0,0,11,3,False
0,0,0,7,2,False
0,0,0,7,3,False
0,0,0,12,2,False
0,0,0,12,3,False
0,0,0,14,3,False
0,0,0,11,3,False
0,0,0,9,2,False
0,0,0,23,2,False
0,0,0,21,3,False
0,0,0,20,4,False
0,0,0,20,3,False
0,0,0,18,2,False
0,0,0,15,2,False
0,0,0,19,2,False
0,0,0,16,2,False
0,0,0,20,3,False
0,0,0,11,2,False
0,0,0,13,2,False
0,0,0,18,2,False
0,0,0,17,2,False
0,0,0,15,2,False
0,0,0,11,2,False
0,0,0,14,1,False
0,0,0,18,2,False
0,0,0,12,2,False
0,0,0,14,2,False
0,0,0,14,2,False
0,0,0,16,2,False
0,0,0,14,2,False
0,0,0,13,2,False
0,0,0,13,2,False
0,0,0,14,2,False
0,0,0,9,2,False
0,0,0,12,2,False
0,0,0,12,2,False
0,0,0,11,2,False
0,0,0,14,2,False
0,0,0,10,2,False
0,0,0,13,2,False
0,0,0,8,2,False
0,0,0,7,2,False
0,0,0,9,3,False
0,0,0,9,2,False
0,0,0,8,2,False
0,0,2,19,2,False
0,2,1,13,2,False
0,0,0,10,2,False
0,0,0,13,3,False
0,0,1,11,6,False
0,0,0,13,2,False
0,0,0,13,2,False
0,0,0,13,2,False
0,0,0,9,2,False
0,0,0,27,4,False
0,0,0,12,3,False
0,0,0,10,3,False
0,0,0,10,2,True
