Tim Berners-Lee,Dan Ariely,Adam Savage,Bruce McCall,Iraola,isPartial
57,4,18,4,7,False
39,4,7,9,13,False
47,5,13,19,8,False
77,0,8,10,8,False
25,4,0,7,8,False
30,0,0,5,7,False
38,0,5,4,8,False
35,3,5,10,14,False
49,3,6,5,8,False
35,0,8,3,7,False
25,3,8,8,3,False
32,0,5,3,5,False
36,3,4,3,6,False
47,3,13,3,9,False
35,0,13,2,6,False
20,3,6,3,8,False
21,2,6,2,5,False
24,0,6,7,8,False
17,2,11,6,7,False
29,2,20,2,5,False
34,2,15,3,8,False
39,2,10,2,8,False
29,3,16,3,6,False
28,2,8,2,8,False
31,3,18,0,5,False
29,4,18,2,6,False
20,3,12,2,10,False
16,2,15,0,6,False
37,0,11,4,10,False
23,3,7,4,10,False
9,2,9,2,9,False
16,1,15,1,6,False
28,1,14,3,7,False
25,3,10,2,6,False
29,2,13,1,7,False
12,3,7,2,7,False
24,2,14,1,6,False
18,2,19,1,7,False
19,1,13,3,8,False
16,2,14,3,7,False
18,1,14,2,9,False
19,2,13,1,7,False
11,3,12,0,8,False
12,0,12,1,7,False
20,2,11,1,9,False
23,1,9,1,6,False
18,3,12,1,7,False
11,1,12,1,7,False
18,1,15,1,7,False
15,5,17,1,6,False
23,8,12,1,7,False
23,8,10,1,8,False
18,6,53,1,8,False
12,7,31,1,5,False
12,5,19,2,5,False
10,6,24,1,10,False
26,7,18,1,10,False
15,8,13,1,9,False
12,6,16,2,10,False
13,6,15,1,9,False
12,8,14,1,8,False
16,8,15,1,8,False
33,10,18,2,7,False
18,7,16,1,10,False
20,17,15,2,8,False
12,11,23,1,9,False
11,8,20,1,8,False
13,9,17,1,10,False
19,8,16,1,11,False
32,10,14,1,9,False
21,10,15,1,11,False
16,8,20,1,10,False
25,8,32,1,10,False
18,6,18,1,7,False
22,11,19,1,9,False
14,8,22,1,8,False
19,10,23,1,7,False
14,14,23,0,9,False
10,13,23,1,6,False
12,8,21,1,7,False
24,9,18,1,8,False
17,13,18,0,9,False
27,10,29,1,13,False
11,7,22,0,10,False
17,10,19,1,9,False
16,11,13,1,13,False
20,10,13,1,12,False
16,10,16,1,10,False
15,9,17,1,11,False
11,8,19,0,10,False
9,9,22,1,7,False
21,12,14,0,11,False
47,10,18,1,10,False
25,10,29,1,9,False
17,9,20,1,8,False
12,8,21,0,7,False
19,9,22,1,8,False
17,9,16,1,10,False
13,6,25,1,15,False
16,10,24,1,9,False
12,9,27,0,14,False
11,13,23,0,7,False
100,11,25,0,7,False
27,11,22,1,7,False
25,9,27,1,8,False
17,10,24,1,7,False
14,12,16,0,7,False
14,11,18,1,7,False
25,12,15,1,7,False
16,11,16,0,7,False
22,14,15,1,6,False
18,22,17,0,7,False
18,14,19,1,7,False
14,10,19,1,7,False
13,10,28,1,7,False
10,10,25,1,8,False
15,11,17,1,8,False
15,11,17,1,7,False
18,12,25,3,7,False
11,10,18,1,7,False
14,10,22,1,7,False
14,12,18,1,8,False
50,13,21,0,8,False
15,11,16,1,7,False
13,11,20,0,8,False
20,8,17,1,7,False
9,8,36,1,7,False
12,8,28,1,9,False
18,8,20,1,11,False
20,11,16,1,8,False
13,10,20,1,8,False
12,8,22,1,6,False
15,8,22,1,7,False
14,9,20,0,8,False
15,7,18,0,10,False
11,9,23,1,13,False
11,11,20,1,28,False
12,9,16,1,13,False
8,8,30,0,14,False
10,9,21,1,11,False
15,9,27,1,8,False
15,9,28,0,7,False
14,10,25,0,7,False
13,8,27,0,6,False
16,8,28,1,7,False
10,8,17,0,5,False
9,8,40,0,7,False
10,7,27,0,6,False
9,7,21,1,8,False
20,8,20,0,8,False
8,7,24,0,8,False
24,7,21,0,6,False
9,8,17,0,6,False
8,11,20,0,8,False
6,12,18,1,9,False
6,10,32,0,8,False
7,10,33,0,5,False
7,10,43,0,6,False
12,10,23,0,5,False
11,9,27,0,5,False
6,8,21,0,6,False
5,7,16,0,5,False
5,7,16,0,5,False
5,8,19,1,5,False
6,7,21,1,5,False
7,9,20,1,5,False
7,10,24,0,5,False
5,8,24,0,3,False
6,10,24,0,5,False
6,10,15,0,5,False
9,9,15,0,5,False
6,11,15,0,4,False
6,8,16,0,5,False
4,9,25,0,5,False
5,7,19,0,5,False
4,6,16,0,6,False
7,8,16,0,6,False
9,7,15,0,6,False
9,9,16,0,6,False
5,7,21,0,5,False
6,7,21,0,5,False
6,6,19,0,5,False
23,22,13,0,4,False
6,13,15,0,5,False
6,9,22,0,5,False
5,7,36,0,5,False
3,7,25,0,6,False
5,8,25,0,5,False
6,9,20,0,6,False
6,8,15,0,5,False
13,7,15,0,5,False
5,8,18,0,5,False
5,7,19,0,8,False
6,8,23,0,15,False
5,7,18,0,6,False
5,8,23,0,5,False
5,8,23,0,5,False
4,7,27,0,4,False
6,7,75,0,10,False
4,6,22,0,8,False
6,5,19,0,6,False
7,4,19,0,5,True
