Kamal Meattle,John Wooden,Nathan Wolfe,C.K. Williams,Iraola,isPartial
0,8,0,1,1,False
0,8,0,1,1,False
0,13,0,1,2,False
0,9,0,1,1,False
0,11,0,0,1,False
0,5,1,1,1,False
0,4,0,0,1,False
0,5,1,1,2,False
0,6,0,0,1,False
0,7,0,0,1,False
0,7,1,0,0,False
0,7,0,1,1,False
0,6,0,1,1,False
0,7,0,0,1,False
0,11,0,1,1,False
0,5,0,0,1,False
0,5,1,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,9,0,1,2,False
0,11,0,0,1,False
0,5,0,0,2,False
0,5,0,0,2,False
0,5,0,0,2,False
0,4,0,0,1,False
0,5,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,10,0,0,1,False
0,13,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,9,0,0,1,False
0,8,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,2,False
0,6,0,0,2,False
0,6,0,0,1,False
0,7,0,0,1,False
0,7,0,0,2,False
0,6,0,0,1,False
0,5,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,5,0,0,2,False
0,9,0,0,1,False
0,8,0,0,2,False
0,10,0,0,2,False
0,7,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,6,0,0,1,False
0,100,0,0,1,False
0,10,0,0,1,False
0,9,0,0,1,False
0,16,0,0,1,False
0,15,0,0,1,False
0,10,0,0,2,False
0,11,0,0,2,False
0,9,0,0,1,False
0,8,0,0,2,False
0,10,0,0,2,False
0,9,0,0,1,False
0,6,0,0,2,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,2,False
0,6,0,0,2,False
0,7,0,0,1,False
0,9,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,2,False
0,7,0,0,1,False
0,6,0,0,2,False
0,5,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,2,False
0,5,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,2,False
0,9,0,0,2,False
0,4,0,0,4,False
0,4,0,0,2,False
0,4,0,0,2,False
0,5,0,0,2,False
0,5,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,4,0,0,2,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,False
0,3,0,0,1,True
