Erik Hersman,Nate Silver,Ben Katchor,Alex Tabarrok,Iraola,isPartial
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,1,False
0,1,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,2,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,2,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,0,False
0,1,0,0,1,False
0,2,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,0,0,0,1,False
0,1,0,0,1,False
0,0,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,0,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,2,0,0,1,False
0,7,0,0,1,False
0,17,0,0,1,False
0,62,0,0,1,False
0,100,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,4,0,0,1,False
0,5,0,0,0,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,2,0,0,1,False
0,3,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,9,0,0,1,False
0,3,0,0,1,False
0,2,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,2,0,0,1,False
0,3,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,2,False
0,1,0,0,1,False
0,1,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,2,0,0,1,False
0,3,0,0,1,False
0,5,0,0,1,False
0,10,0,0,0,False
0,11,0,0,1,False
0,6,0,0,0,False
0,6,0,0,1,False
0,5,0,0,1,False
0,13,0,0,1,False
0,18,0,0,0,False
0,28,0,0,0,False
0,56,0,0,1,False
0,61,0,0,1,False
0,2,0,0,1,False
0,1,0,0,0,False
0,1,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,3,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,3,0,0,0,False
0,1,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,1,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,3,0,0,0,False
0,8,0,0,0,False
0,10,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,3,0,0,0,False
0,3,0,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,4,0,0,0,False
0,4,0,0,0,False
0,5,0,0,0,False
0,5,0,0,1,False
0,6,0,0,1,False
0,9,0,0,1,False
0,18,0,0,0,True
