Mae Jemison,Tom Shannon,Louise Fresco,Nandan Nilekani,Iraola,isPartial
21,4,0,2,4,False
100,6,2,2,7,False
26,6,0,0,4,False
11,2,2,0,5,False
7,5,0,3,5,False
2,7,0,8,4,False
4,4,0,2,4,False
2,6,2,2,8,False
6,8,2,2,4,False
10,5,0,2,4,False
12,4,0,4,2,False
7,5,0,2,2,False
29,3,0,0,3,False
84,6,5,0,5,False
32,7,1,1,3,False
14,3,1,2,4,False
10,5,0,1,3,False
4,4,3,3,4,False
3,5,1,2,4,False
2,8,0,2,2,False
7,5,2,2,4,False
12,6,0,3,4,False
12,4,3,3,3,False
7,5,1,3,4,False
21,4,0,3,3,False
71,3,1,2,3,False
26,6,0,2,5,False
8,2,0,2,3,False
6,5,2,2,5,False
3,4,1,1,5,False
1,3,1,1,5,False
2,5,2,2,3,False
7,4,1,2,4,False
11,4,1,2,3,False
8,4,1,1,4,False
5,2,1,1,4,False
17,3,1,2,3,False
51,3,1,1,4,False
18,3,1,1,4,False
9,2,1,2,4,False
6,3,1,1,5,False
2,4,1,2,4,False
1,3,0,2,4,False
1,4,0,1,4,False
5,4,0,1,5,False
7,2,0,2,3,False
6,3,1,1,4,False
3,3,0,1,4,False
11,3,2,1,4,False
43,5,1,1,3,False
12,3,1,1,4,False
7,4,1,1,4,False
4,2,1,1,4,False
2,3,0,1,3,False
1,2,0,1,2,False
1,2,1,1,5,False
4,2,1,1,5,False
6,3,1,1,5,False
5,2,0,4,5,False
4,2,0,4,5,False
9,2,1,3,4,False
43,2,1,3,4,False
14,2,0,8,4,False
5,2,1,3,5,False
4,3,1,3,4,False
1,2,0,13,5,False
1,2,0,21,5,False
1,2,0,7,5,False
3,2,0,7,6,False
6,2,0,5,5,False
4,3,1,4,6,False
3,2,0,4,5,False
10,2,0,4,5,False
33,4,0,4,4,False
13,2,0,4,5,False
5,2,0,4,4,False
4,2,1,3,4,False
1,3,0,2,5,False
1,2,0,3,3,False
2,3,1,3,4,False
3,2,0,3,4,False
4,2,0,2,5,False
3,3,1,3,7,False
2,2,1,2,6,False
8,2,1,3,5,False
27,2,0,3,7,False
10,2,0,3,6,False
4,2,0,2,5,False
4,2,0,2,6,False
1,2,1,3,5,False
2,2,0,3,4,False
1,2,0,6,6,False
2,2,0,4,6,False
3,3,0,3,5,False
2,2,0,4,4,False
2,2,0,3,4,False
9,3,0,2,4,False
27,2,0,2,5,False
8,2,1,3,8,False
3,2,0,1,5,False
4,2,0,1,8,False
2,1,0,2,4,False
1,3,0,3,4,False
2,2,0,2,4,False
3,2,0,2,4,False
4,2,2,1,4,False
3,2,1,1,4,False
2,2,1,2,4,False
6,2,0,2,4,False
28,2,1,2,4,False
9,2,1,2,3,False
3,2,0,2,3,False
3,2,0,1,4,False
2,2,0,2,4,False
2,2,0,2,4,False
1,2,0,2,4,False
3,2,0,4,4,False
3,2,1,2,4,False
3,2,1,2,4,False
2,2,0,8,4,False
5,2,1,4,4,False
25,2,1,6,4,False
8,2,0,16,4,False
4,2,0,11,4,False
3,2,0,12,4,False
1,2,0,3,4,False
1,2,0,2,4,False
1,2,0,2,5,False
2,2,0,1,6,False
4,2,1,1,4,False
3,2,1,1,4,False
2,2,0,1,3,False
6,2,0,1,4,False
23,2,0,1,4,False
9,2,0,1,5,False
5,2,0,1,7,False
4,2,0,1,15,False
3,1,0,1,7,False
2,2,0,1,8,False
2,2,0,1,6,False
3,2,0,2,4,False
4,1,0,1,4,False
3,2,0,1,4,False
3,2,0,2,3,False
6,2,0,2,4,False
30,2,0,1,3,False
10,2,0,1,4,False
4,2,0,2,3,False
4,1,0,1,4,False
2,2,0,1,4,False
2,2,0,1,4,False
3,2,0,2,3,False
3,2,0,1,3,False
5,2,0,1,4,False
3,2,0,2,5,False
3,2,0,3,4,False
8,3,0,2,3,False
30,4,0,2,3,False
12,2,0,1,3,False
4,1,0,1,3,False
5,2,0,1,3,False
3,1,0,1,3,False
2,2,0,2,3,False
2,2,0,18,3,False
4,2,0,5,3,False
6,3,0,2,3,False
4,2,0,5,3,False
4,2,0,1,2,False
8,3,0,2,3,False
34,3,0,2,3,False
15,2,0,2,3,False
7,2,0,1,2,False
6,1,0,2,3,False
3,2,0,2,3,False
2,2,0,1,3,False
3,2,0,1,3,False
4,2,0,1,3,False
6,2,0,1,3,False
5,2,0,1,3,False
4,2,0,1,3,False
9,2,0,2,2,False
46,2,0,1,3,False
21,2,0,2,2,False
7,1,0,1,3,False
7,1,0,1,3,False
4,1,0,2,3,False
3,1,0,2,3,False
3,1,0,2,3,False
5,2,0,2,3,False
5,1,0,3,3,False
7,2,0,2,3,False
4,1,0,1,3,False
10,2,0,1,4,False
40,2,0,1,8,False
13,2,0,1,3,False
4,2,0,1,2,False
4,3,0,1,3,False
5,2,0,1,2,False
3,1,0,1,5,False
4,2,0,1,4,False
6,2,0,1,3,False
7,2,0,1,3,True
