Naturally 7,Ray Anderson,Mary Roach,Joachim de Posada,Iraola,isPartial
32,12,6,0,6,False
27,27,5,0,12,False
38,13,0,0,7,False
30,13,8,0,8,False
29,9,8,0,8,False
22,11,3,0,7,False
19,14,7,0,7,False
19,19,8,0,13,False
15,13,3,0,7,False
17,9,9,0,6,False
19,18,5,0,3,False
34,15,4,3,4,False
16,16,100,0,6,False
15,18,53,0,8,False
7,9,20,0,6,False
9,11,16,2,7,False
11,11,14,0,5,False
6,9,10,0,7,False
7,10,6,0,7,False
13,10,6,0,4,False
8,12,5,0,8,False
7,13,15,2,7,False
9,19,15,0,5,False
10,14,13,0,7,False
7,14,18,0,5,False
6,16,9,0,5,False
5,11,6,1,9,False
5,11,6,1,5,False
4,14,7,1,9,False
7,10,5,0,9,False
11,11,5,1,9,False
10,14,7,3,6,False
8,13,6,4,6,False
16,14,3,1,6,False
20,10,6,2,7,False
44,9,5,1,7,False
44,6,7,0,6,False
97,9,6,1,7,False
55,11,4,1,7,False
36,12,6,0,6,False
23,14,5,1,8,False
19,12,4,1,7,False
16,10,3,1,7,False
15,11,5,1,6,False
15,14,4,0,8,False
26,13,5,1,5,False
27,10,5,1,7,False
23,9,5,0,7,False
33,11,5,0,6,False
26,11,6,1,6,False
34,10,6,0,7,False
19,12,18,0,7,False
24,11,9,1,8,False
38,12,9,1,5,False
37,11,7,1,4,False
14,12,6,1,9,False
16,12,5,1,9,False
17,11,6,1,8,False
13,10,4,1,9,False
27,11,6,1,8,False
35,11,7,0,7,False
35,14,6,1,7,False
26,11,4,0,7,False
26,12,7,0,9,False
23,11,15,1,8,False
27,13,6,1,8,False
16,12,7,0,8,False
13,12,7,0,9,False
18,12,6,1,10,False
21,15,4,0,8,False
25,16,4,0,10,False
19,14,5,0,9,False
20,13,6,0,9,False
20,13,6,1,6,False
25,14,6,0,8,False
25,12,5,1,7,False
32,11,6,1,7,False
23,11,9,0,8,False
29,11,6,1,5,False
30,13,20,1,6,False
22,7,10,0,7,False
29,14,7,0,9,False
23,14,6,0,12,False
27,14,8,0,9,False
21,12,6,0,8,False
30,13,5,1,12,False
23,9,7,1,11,False
18,9,9,1,9,False
12,10,6,0,10,False
16,9,6,1,9,False
12,10,6,0,7,False
16,17,8,0,10,False
13,10,6,0,10,False
14,10,6,0,8,False
13,11,6,0,7,False
18,10,4,1,6,False
16,12,6,0,8,False
13,11,6,0,9,False
14,10,5,0,13,False
16,9,8,0,9,False
16,12,8,0,13,False
12,10,5,0,6,False
10,12,6,0,6,False
11,8,7,0,7,False
12,12,7,0,7,False
11,12,7,0,6,False
14,9,7,0,7,False
17,10,6,0,7,False
9,13,6,0,7,False
10,11,9,1,6,False
8,9,8,0,5,False
12,9,31,0,6,False
14,9,10,0,6,False
9,11,9,0,6,False
12,11,11,0,6,False
8,9,10,1,7,False
13,9,8,0,7,False
11,9,8,0,6,False
11,10,6,0,7,False
11,12,7,0,7,False
12,12,8,0,7,False
10,10,8,0,8,False
10,9,8,0,7,False
10,10,9,0,6,False
16,9,8,0,7,False
8,10,7,0,6,False
11,10,8,0,7,False
9,8,8,0,9,False
10,11,7,0,10,False
8,10,8,0,7,False
11,11,7,0,7,False
13,10,7,0,6,False
9,9,7,0,7,False
7,9,7,0,7,False
10,8,8,0,9,False
10,7,7,0,12,False
8,7,4,0,26,False
6,8,5,1,12,False
7,7,6,0,13,False
7,7,7,0,10,False
8,7,6,0,7,False
6,7,6,0,6,False
7,8,6,0,6,False
6,7,6,0,6,False
7,7,7,0,7,False
7,9,5,0,5,False
6,6,5,0,6,False
5,7,6,0,5,False
6,5,6,0,8,False
5,6,11,0,7,False
5,8,7,0,7,False
4,6,7,0,5,False
6,6,6,0,5,False
6,7,5,0,8,False
6,5,5,0,8,False
7,5,5,0,7,False
6,6,6,0,4,False
6,7,5,0,5,False
6,6,5,0,5,False
5,6,4,0,5,False
7,6,5,0,6,False
4,5,5,0,5,False
5,6,5,0,5,False
5,6,7,0,5,False
5,6,4,0,4,False
9,6,5,0,5,False
6,8,5,0,4,False
5,6,4,0,3,False
5,6,4,0,5,False
5,6,4,0,5,False
7,5,4,0,4,False
4,6,4,0,4,False
4,4,3,0,5,False
3,5,3,0,5,False
5,4,4,0,4,False
4,6,4,0,5,False
5,5,4,0,5,False
5,4,4,0,5,False
5,5,4,0,5,False
6,6,4,0,5,False
4,5,3,0,4,False
7,5,4,0,5,False
8,4,3,0,4,False
5,4,3,0,5,False
6,5,4,0,4,False
3,4,3,0,5,False
3,5,4,0,6,False
4,4,3,0,5,False
5,5,3,0,5,False
5,5,3,0,4,False
6,4,3,0,5,False
4,4,4,0,4,False
4,4,3,0,7,False
4,4,4,0,14,False
3,4,3,0,6,False
4,4,3,0,4,False
4,5,3,0,4,False
3,4,3,0,4,False
3,4,3,0,9,False
3,4,3,0,8,False
4,4,3,0,6,False
4,4,2,0,5,True
