Michelle Obama,Kaki King,Liz Coleman,Yann Arthus-Bertrand,Iraola,isPartial
0,2,0,1,0,False
0,2,0,1,0,False
0,1,0,1,1,False
0,1,0,1,0,False
0,0,0,1,0,False
0,0,0,1,0,False
1,0,0,1,0,False
1,0,0,0,1,False
0,1,0,1,0,False
0,2,0,1,0,False
0,3,0,1,0,False
0,5,0,1,0,False
0,3,0,1,0,False
0,3,0,0,0,False
0,3,0,0,0,False
0,2,0,1,0,False
0,2,0,1,0,False
0,2,0,1,0,False
0,2,0,0,0,False
0,1,0,0,0,False
0,1,0,1,0,False
0,1,0,0,0,False
0,1,0,0,0,False
0,1,0,1,0,False
0,1,0,0,0,False
0,1,0,0,0,False
0,1,0,0,1,False
0,1,0,0,0,False
0,1,0,0,1,False
0,1,0,1,1,False
0,1,0,0,0,False
0,2,0,0,0,False
0,1,0,0,0,False
1,1,0,1,0,False
0,1,0,0,0,False
1,1,0,0,0,False
2,1,0,0,0,False
2,1,0,1,0,False
1,1,0,0,0,False
1,1,0,1,0,False
2,1,0,0,0,False
1,1,0,0,0,False
1,1,0,0,0,False
2,1,0,0,0,False
1,1,0,0,0,False
1,1,0,0,0,False
1,1,0,0,0,False
1,1,0,0,0,False
7,1,0,0,0,False
24,2,0,0,0,False
8,3,0,0,0,False
7,3,0,0,0,False
11,2,0,0,0,False
34,2,0,0,0,False
9,1,0,0,0,False
35,1,0,0,1,False
19,2,0,0,0,False
33,2,0,0,0,False
70,1,0,0,0,False
14,1,0,0,0,False
86,1,0,0,0,False
31,2,0,0,0,False
26,1,0,0,0,False
43,1,0,0,0,False
22,1,0,0,0,False
22,2,0,4,0,False
21,1,0,1,0,False
19,1,0,0,0,False
16,1,0,0,1,False
19,1,0,1,0,False
100,1,0,0,1,False
24,1,0,0,0,False
20,1,0,0,0,False
16,1,0,0,0,False
14,2,0,0,0,False
14,2,0,0,0,False
15,2,0,0,0,False
8,1,0,0,0,False
9,1,0,0,0,False
18,1,0,0,0,False
11,1,0,0,0,False
12,1,0,0,0,False
14,1,0,0,1,False
8,1,0,0,1,False
18,1,0,0,0,False
16,1,0,0,1,False
12,1,0,0,1,False
11,1,0,0,0,False
21,1,0,0,1,False
13,1,0,0,0,False
8,1,0,0,0,False
8,1,0,0,1,False
11,1,0,0,1,False
10,1,0,0,0,False
13,1,0,0,0,False
12,1,0,0,0,False
17,1,0,0,0,False
17,1,0,0,0,False
13,1,0,0,1,False
15,0,0,0,0,False
13,0,0,0,1,False
11,0,0,0,0,False
14,1,0,0,0,False
14,1,0,0,0,False
63,1,0,0,0,False
21,1,0,0,0,False
29,1,0,0,0,False
10,1,0,0,0,False
51,0,0,0,0,False
32,0,0,0,0,False
17,1,0,0,0,False
14,0,0,0,0,False
9,0,0,0,0,False
13,0,0,0,0,False
7,0,0,0,0,False
8,0,0,0,0,False
8,0,0,0,0,False
9,0,0,0,0,False
10,0,0,0,0,False
21,0,0,0,0,False
25,0,0,0,0,False
19,0,0,0,0,False
15,0,0,0,0,False
13,0,0,0,0,False
15,0,0,0,0,False
10,0,0,0,0,False
11,0,0,0,0,False
10,0,0,0,0,False
12,0,0,0,0,False
14,0,0,0,0,False
12,0,0,0,0,False
11,0,0,0,0,False
16,0,0,0,0,False
10,0,0,0,0,False
23,0,0,0,0,False
17,0,0,0,1,False
15,0,0,0,1,False
14,0,0,0,1,False
11,0,0,0,1,False
9,0,0,0,1,False
14,0,0,1,0,False
12,0,0,0,0,False
11,0,0,0,0,False
13,0,0,0,0,False
15,0,0,0,0,False
13,0,0,0,0,False
19,0,0,0,0,False
11,0,0,0,0,False
16,0,0,0,0,False
14,0,0,0,0,False
81,0,0,0,0,False
19,0,0,0,0,False
27,0,0,0,0,False
49,0,0,0,0,False
56,0,0,0,0,False
30,0,0,0,0,False
83,0,0,0,0,False
23,0,0,0,0,False
15,0,0,0,0,False
15,0,0,0,0,False
16,0,0,0,0,False
9,0,0,0,0,False
10,0,0,0,0,False
12,0,0,0,0,False
12,0,0,0,0,False
11,0,0,0,0,False
9,0,0,0,0,False
8,0,0,0,0,False
12,0,0,0,0,False
22,0,0,0,0,False
13,0,0,0,0,False
10,0,0,0,0,False
10,0,0,0,0,False
7,0,0,0,0,False
9,0,0,0,0,False
7,0,0,0,0,False
14,0,0,0,0,False
10,0,0,0,0,False
45,0,0,0,0,False
54,0,0,0,0,False
25,0,0,0,0,False
27,0,0,0,0,False
21,0,0,0,0,False
18,0,0,0,0,False
15,0,0,0,0,False
16,0,0,0,0,False
15,0,0,0,0,False
16,0,0,0,0,False
12,0,0,0,0,False
12,0,0,0,0,False
12,0,0,0,0,False
12,0,0,0,0,False
14,0,0,0,0,False
15,0,0,0,1,False
12,0,0,0,0,False
16,0,0,0,0,False
31,0,0,0,0,False
20,0,0,0,0,False
18,0,0,0,0,False
42,0,0,0,0,False
13,0,0,0,0,False
17,0,0,0,0,True
