id,title,count
7,Do schools kill creativity?,19645
1,Do schools kill creativity?,4573
9,Do schools kill creativity?,6073
3,Do schools kill creativity?,3253
11,Do schools kill creativity?,387
2,Do schools kill creativity?,242
8,Do schools kill creativity?,7346
22,Do schools kill creativity?,10581
21,Do schools kill creativity?,300
24,Do schools kill creativity?,10704
23,Do schools kill creativity?,4439
25,Do schools kill creativity?,1174
26,Do schools kill creativity?,209
10,Do schools kill creativity?,24924
7,Averting the climate crisis,544
3,Averting the climate crisis,139
2,Averting the climate crisis,62
1,Averting the climate crisis,58
21,Averting the climate crisis,258
11,Averting the climate crisis,113
8,Averting the climate crisis,443
10,Averting the climate crisis,413
22,Averting the climate crisis,132
9,Averting the climate crisis,56
24,Averting the climate crisis,268
23,Averting the climate crisis,116
26,Averting the climate crisis,131
25,Averting the climate crisis,203
7,Simplicity sells,964
3,Simplicity sells,45
9,Simplicity sells,183
1,Simplicity sells,60
21,Simplicity sells,104
11,Simplicity sells,78
8,Simplicity sells,395
10,Simplicity sells,230
22,Simplicity sells,166
2,Simplicity sells,27
25,Simplicity sells,146
24,Simplicity sells,230
23,Simplicity sells,54
26,Simplicity sells,142
3,Greening the ghetto,760
1,Greening the ghetto,291
2,Greening the ghetto,32
7,Greening the ghetto,59
9,Greening the ghetto,105
21,Greening the ghetto,36
11,Greening the ghetto,53
8,Greening the ghetto,380
10,Greening the ghetto,1070
22,Greening the ghetto,132
24,Greening the ghetto,460
23,Greening the ghetto,230
26,Greening the ghetto,35
25,Greening the ghetto,85
9,The best stats you've ever seen,3202
7,The best stats you've ever seen,1390
1,The best stats you've ever seen,942
3,The best stats you've ever seen,318
11,The best stats you've ever seen,110
2,The best stats you've ever seen,72
21,The best stats you've ever seen,67
8,The best stats you've ever seen,5433
10,The best stats you've ever seen,2893
22,The best stats you've ever seen,4606
23,The best stats you've ever seen,3736
24,The best stats you've ever seen,2542
25,The best stats you've ever seen,248
26,The best stats you've ever seen,61
7,Why we do what we do,1102
3,Why we do what we do,721
21,Why we do what we do,377
2,Why we do what we do,301
1,Why we do what we do,706
9,Why we do what we do,397
11,Why we do what we do,285
8,Why we do what we do,1038
10,Why we do what we do,5211
22,Why we do what we do,1350
24,Why we do what we do,2423
25,Why we do what we do,441
23,Why we do what we do,669
26,Why we do what we do,335
3,Letting go of God,477
7,Letting go of God,2484
9,Letting go of God,320
21,Letting go of God,225
1,Letting go of God,277
2,Letting go of God,72
8,Letting go of God,226
10,Letting go of God,438
22,Letting go of God,316
11,Letting go of God,193
24,Letting go of God,311
25,Letting go of God,308
26,Letting go of God,290
